,test_id,kcid,lmc_prior_code,lengthscale_prior_code,weight,y0,y3,y4
0,0,0,2,1,unweighted,0.4798,0.9143,0.8958
1,0,0,2,1,linear,0.7327,0.9143,0.8958
2,0,0,2,1,quadratic,0.8441,0.9143,0.8958
0,3,0,2,1,unweighted,0.7078,0.885,0.8943
1,3,0,2,1,linear,0.8554,0.885,0.8943
2,3,0,2,1,quadratic,0.9183,0.885,0.8943
0,0,0,2,1,unweighted,0.4733,0.9425,0.9167
1,0,0,2,1,linear,0.7414,0.9425,0.9167
2,0,0,2,1,quadratic,0.8564,0.9425,0.9167
0,3,0,2,1,unweighted,0.7094,0.9054,0.9287
1,3,0,2,1,linear,0.8547,0.9054,0.9287
2,3,0,2,1,quadratic,0.9183,0.9054,0.9287
0,0,0,2,1,unweighted,0.4802,0.9342,0.8958
1,0,0,2,1,linear,0.7338,0.9342,0.8958
2,0,0,2,1,quadratic,0.8462,0.9342,0.8958
0,3,0,2,1,unweighted,0.7267,0.888,0.9375
1,3,0,2,1,linear,0.8603,0.888,0.9375
2,3,0,2,1,quadratic,0.919,0.888,0.9375
0,0,0,2,1,unweighted,0.5087,0.9154,0.8656
1,0,0,2,1,linear,0.7551,0.9154,0.8656
2,0,0,2,1,quadratic,0.8633,0.9154,0.8656
0,3,0,2,1,unweighted,0.7052,0.8966,0.8226
1,3,0,2,1,linear,0.8464,0.8966,0.8226
2,3,0,2,1,quadratic,0.9089,0.8966,0.8226
0,0,0,2,1,unweighted,0.4882,0.9425,0.8863
1,0,0,2,1,linear,0.7369,0.9425,0.8863
2,0,0,2,1,quadratic,0.8475,0.9425,0.8863
0,3,0,2,1,unweighted,0.638,0.9253,0.8846
1,3,0,2,1,linear,0.8174,0.9253,0.8846
2,3,0,2,1,quadratic,0.8948,0.9253,0.8846
0,0,0,2,1,unweighted,0.4903,0.9524,0.8768
1,0,0,2,1,linear,0.7355,0.9524,0.8768
2,0,0,2,1,quadratic,0.8456,0.9524,0.8768
0,3,0,2,1,unweighted,0.7209,0.8591,0.8711
1,3,0,2,1,linear,0.8582,0.8591,0.8711
2,3,0,2,1,quadratic,0.9161,0.8591,0.8711
0,0,0,2,1,unweighted,0.482,0.9334,0.8974
1,0,0,2,1,linear,0.7418,0.9334,0.8974
2,0,0,2,1,quadratic,0.8548,0.9334,0.8974
0,3,0,2,1,unweighted,0.7194,0.9143,0.8958
1,3,0,2,1,linear,0.8534,0.9143,0.8958
2,3,0,2,1,quadratic,0.9127,0.9143,0.8958
0,0,0,2,1,unweighted,0.4552,0.9342,0.8974
1,0,0,2,1,linear,0.714,0.9342,0.8974
2,0,0,2,1,quadratic,0.8307,0.9342,0.8974
0,3,0,2,1,unweighted,0.6774,0.8979,0.8593
1,3,0,2,1,linear,0.8304,0.8979,0.8593
2,3,0,2,1,quadratic,0.898,0.8979,0.8593
0,0,0,2,1,unweighted,0.4822,0.9433,0.8768
1,0,0,2,1,linear,0.731,0.9433,0.8768
2,0,0,2,1,quadratic,0.8398,0.9433,0.8768
0,3,0,2,1,unweighted,0.7149,0.8865,0.9366
1,3,0,2,1,linear,0.8498,0.8865,0.9366
2,3,0,2,1,quadratic,0.9131,0.8865,0.9366
0,0,0,2,1,unweighted,0.5088,0.9425,0.9167
1,0,0,2,1,linear,0.7474,0.9425,0.9167
2,0,0,2,1,quadratic,0.8524,0.9425,0.9167
0,3,0,2,1,unweighted,0.753,0.8554,0.857
1,3,0,2,1,linear,0.878,0.8554,0.857
2,3,0,2,1,quadratic,0.9299,0.8554,0.857
0,0,1,2,1,unweighted,0.4673,0.9334,0.8636
1,0,1,2,1,linear,0.721,0.9334,0.8636
2,0,1,2,1,quadratic,0.8351,0.9334,0.8636
0,3,1,2,1,unweighted,0.7051,0.8572,0.8958
1,3,1,2,1,linear,0.8488,0.8572,0.8958
2,3,1,2,1,quadratic,0.9123,0.8572,0.8958
0,0,1,2,1,unweighted,0.4583,0.9518,0.8974
