,test_id,kcid,lmc_prior_code,lengthscale_prior_code,y1,y2
0,0.0,0.0,2.0,1.0,6.383187294006348,6.3855156898498535
1,0.0,0.0,2.0,1.0,6.417876720428467,6.436873435974121
2,0.0,0.0,2.0,1.0,6.364221572875977,6.366719722747803
3,0.0,0.0,2.0,1.0,6.378171920776367,6.375370025634766
4,0.0,0.0,2.0,1.0,6.40114688873291,6.383528709411621
5,0.0,0.0,2.0,1.0,6.391094207763672,6.384603500366211
6,0.0,0.0,2.0,1.0,6.3606743812561035,6.378623008728027
7,0.0,0.0,2.0,1.0,6.384415626525879,6.407363414764404
8,0.0,0.0,2.0,1.0,6.386626720428467,6.393767833709717
9,0.0,0.0,2.0,1.0,6.3889594078063965,6.406611442565918
10,0.0,0.0,2.0,1.0,6.394091606140137,6.399627208709717
11,0.0,0.0,2.0,1.0,6.427477836608887,6.434841632843018
12,0.0,0.0,2.0,1.0,6.404211044311523,6.431646823883057
13,0.0,0.0,2.0,1.0,6.411667823791504,6.409778594970703
14,0.0,0.0,2.0,1.0,6.389303207397461,6.404102325439453
15,0.0,0.0,2.0,1.0,6.353052139282227,6.347927570343018
16,0.0,0.0,2.0,1.0,6.400791168212891,6.381815433502197
17,0.0,0.0,2.0,1.0,6.372594833374023,6.352254867553711
18,0.0,0.0,2.0,1.0,6.4221510887146,6.42341947555542
19,0.0,0.0,2.0,1.0,6.368165493011475,6.370987415313721
