run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
822,141.5,60000.0,0.0,180.0,BehaviorType.ATTACK,47347.30971552462,42132.99341265541,1,60000.0,0.0,180.0,BehaviorType.ATTACK,34387.46801433692,53341.2948223481,1,BOTH_SURVIVED,True,47250.0,21.3,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,93.89999999999894,47.500000000000405,47.500000000000405,93.89999999999894,0.0
823,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,69138.77355392688,63471.225910834044,1,60000.0,0.0,180.0,BehaviorType.ATTACK,47508.89657001809,45503.07876981866,1,BOTH_SURVIVED,True,59790.0,0.4,True,47413.6,21.9,0.2,0.2,74.00000000000007,74.00000000000007,19.0,0.0,27.50000000000012,27.50000000000012,0.0,19.0
824,122.1,60000.0,0.0,180.0,BehaviorType.ATTACK,58954.102495865285,865.2523546122393,1,60000.0,0.0,180.0,BehaviorType.ATTACK,39786.60708790182,48645.393250776295,1,BOTH_SURVIVED,True,58890.0,1.9,True,39736.609,39.1,0.2,0.2,0.0,0.0,0.0,78.6999999999998,43.300000000000345,43.300000000000345,78.6999999999998,0.0
825,133.7,60000.0,0.0,180.0,BehaviorType.ATTACK,40946.48849763909,49603.406972484896,1,60000.0,0.0,180.0,BehaviorType.ATTACK,52033.14644574281,58080.50347686387,1,BOTH_SURVIVED,True,40896.947,32.6,True,51930.0,13.5,0.2,0.2,91.69999999999906,91.69999999999906,0.0,2.0000000000000004,39.9000000000003,39.9000000000003,2.0000000000000004,0.0
826,118.0,60000.0,0.0,180.0,BehaviorType.ATTACK,23236.168853819232,14686.958652173116,1,60000.0,0.0,180.0,BehaviorType.ATTACK,36541.442709836716,34386.94053916433,0,VIPER_WIN,True,23165.588,62.8,True,36450.0,39.3,0.2,0.2,0.0,0.0,0.0,47.400000000000404,70.40000000000028,70.40000000000028,47.500000000000405,0.0
827,145.8,60000.0,0.0,180.0,BehaviorType.ATTACK,44740.48963675542,53695.09519586637,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35249.385084400106,31898.824483319957,1,BOTH_SURVIVED,True,44670.0,25.6,True,35189.805,41.6,0.2,0.2,79.99999999999973,79.99999999999973,13.799999999999967,0.0,51.90000000000047,51.90000000000047,0.0,13.799999999999967
828,122.0,60000.0,0.0,180.0,BehaviorType.ATTACK,59013.09436007137,54411.80750881198,1,60000.0,0.0,180.0,BehaviorType.ATTACK,54655.006079244544,44587.26561689641,1,BOTH_SURVIVED,True,58950.0,1.8,True,54572.227,9.1,0.2,0.2,0.0,0.0,94.4999999999989,0.0,27.40000000000012,27.40000000000012,0.0,94.4999999999989
829,63.3,60000.0,0.0,180.0,BehaviorType.ATTACK,60722.300779406316,21707.419654842244,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35980.25409008401,29774.49597044063,0,VIPER_WIN,True,59790.0,0.4,True,35906.75,46.4,0.2,0.2,0.0,0.0,0.0,0.0,63.20000000000063,63.10000000000063,0.0,0.0
830,143.3,60000.0,0.0,180.0,BehaviorType.ATTACK,53936.9848784905,54027.149600752586,1,60000.0,0.0,180.0,BehaviorType.ATTACK,46279.38593762118,24192.271813381336,1,BOTH_SURVIVED,True,53850.0,10.3,True,46208.039,23.1,0.2,0.2,0.0,0.0,106.7999999999982,0.0,36.40000000000025,36.40000000000025,0.0,106.7999999999982
831,300.0,60000.0,0.0,180.0,BehaviorType.ATTACK,25818.16546928006,25429.88608351377,0,60000.0,0.0,180.0,BehaviorType.ATTACK,54954.50389220155,61585.79598385146,1,COBRA_WIN,True,25747.25,66.1,True,54870.0,8.6,0.2,233.29999999999103,0.0,0.0,0.0,0.0,66.70000000000049,66.80000000000048,0.0,0.0
