,run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE,viper_p_NEUTRAL,viper_p_DEFENSIVE,viper_p_HEADON,viper_p_OFFENSIVE,cobra_p_NEUTRAL,cobra_p_DEFENSIVE,cobra_p_HEADON,cobra_p_OFFENSIVE,lognorm_viper_launch_range,lognorm_viper_briefed_launch_range,lognorm_viper_briefed_evasion_range,lognorm_cobra_launch_range,lognorm_cobra_briefed_launch_range,lognorm_cobra_briefed_evasion_range,norm_viper_launch_range,norm_viper_briefed_launch_range,norm_viper_briefed_evasion_range,norm_cobra_launch_range,norm_cobra_briefed_launch_range,norm_cobra_briefed_evasion_range,briefed_evasion_range_diff,launch_range_diff,briefed_launch_range_diff,time_at_launch_diff,viper_launch_cobra_evade_diff,viper_evade_cobra_launch_diff
122,123,144.5,60000.0,0.0,180.0,BehaviorType.ATTACK,34535.59357905647,47837.89874955615,1,60000.0,0.0,180.0,BehaviorType.ATTACK,45513.5959790781,28808.032767223645,1,2,1,34477.278,44.0,1,45450.0,24.3,0.0,0.0,95.59999999999884,0.0,49.000000000000426,49.000000000000426,0.0,95.59999999999884,9.991087535063926e-05,0.6610020542229065,0.33879812402639214,9.991087535063926e-05,9.991087535063929e-05,9.991087535063929e-05,0.33879812402639226,0.6610020542229066,0.49963103342826837,0.43601097057927557,0.9426380763482618,0.746085882416124,0.6552532707257142,0.8732991644163076,0.5766466190563797,0.2907082657131253,0.6841139260940097,0.7601645732635346,0.5097931873614522,0.4113650198539263,0.27234005015554624,-0.1835179542071549,-0.21959911132559767,19.7,5727.560811832824,2324.3027704780543
123,124,71.2,60000.0,0.0,180.0,BehaviorType.ATTACK,46411.32875747544,5846.100305465406,0,60000.0,0.0,180.0,BehaviorType.ATTACK,52616.25017880468,24855.43308093133,1,0,1,46303.324,22.9,1,52530.0,12.5,0.0,0.0,0.0,0.0,71.20000000000024,71.30000000000024,0.0,0.0,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,0.767669678835159,0.6719745091204512,0.6244985383598363,0.8801344774515226,0.7716409691021994,0.8522181561492903,0.774436353297319,0.5282652270336846,0.08241610177832911,0.8785770433677309,0.6523701220135589,0.35479861009523267,-0.27204619550659115,-0.10414069007041193,-0.1241205075676044,10.399999999999999,21555.895676544114,-46770.14987333927
124,125,75.5,60000.0,0.0,180.0,BehaviorType.ATTACK,67481.63505526715,34294.20331568715,0,60000.0,0.0,180.0,BehaviorType.ATTACK,65865.6028249409,27193.920048163112,1,0,1,59790.0,0.4,1,59790.0,0.4,0.0,0.0,0.0,0.0,75.5,75.6,0.0,0.0,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,1.0,0.9708174693080941,0.8922632111111628,1.0,0.9518972442169031,0.8650625062887943,1.0,0.9497463280347271,0.4900471707345476,1.0,0.9183343704889531,0.3882651441494012,0.10161351125600876,0.0,0.032326394978058004,0.0,40287.71500710404,-31571.39950925375
125,126,65.8,60000.0,0.0,180.0,BehaviorType.ATTACK,57190.88982557482,14542.066861798898,1,60000.0,0.0,180.0,BehaviorType.ATTACK,23098.794049427477,36263.23916766737,0,3,1,57090.0,4.9,0,-1.0,-1.0,0.0,0.0,0.0,0.0,65.90000000000055,65.80000000000055,0.0,0.0,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,0.9580014833282869,0.8387168979025812,0.7624173237733327,,0.11090752793547985,0.9061753587928965,0.9548427020789082,0.743894805601637,0.20702005662523326,0.0,0.0598439627340251,0.5180579039184694,-0.3108558494689099,0.9548427020789082,0.6819632263565882,5.9,20927.65065790745,-8556.72718762858
126,127,79.3,60000.0,0.0,180.0,BehaviorType.ATTACK,41631.682739120224,7814.7724581176035,1,60000.0,0.0,180.0,BehaviorType.ATTACK,24678.558428455264,28972.14918943499,0,3,1,41550.0,30.8,1,24622.582,62.1,0.0,0.0,0.0,4.100000000000001,75.20000000000002,75.20000000000002,4.200000000000001,0.0,9.985410974583664e-05,9.985410974583664e-05,0.946914130250557,0.05288616152995133,9.998000399920014e-05,0.051692057553180425,0.9481079824388212,9.998000399920014e-05,0.6692239994579801,0.5852049441198752,0.6684258647947449,0.178537264305451,0.16400281539635547,0.8741106379339479,0.6949373651552909,0.4326552991218753,0.11062508055352584,0.41182756602164206,0.09155576459015959,0.41371372134756174,-0.30278726321647537,0.28310979913364887,0.33912281097762165,-31.3,12659.533549685235,-16863.78597033766
127,128,127.6,60000.0,0.0,180.0,BehaviorType.ATTACK,48276.55236373305,45014.62801193167,1,60000.0,0.0,180.0,BehaviorType.ATTACK,55677.262962646506,29970.31405796417,1,2,1,48182.339,19.8,1,55590.0,7.4,0.0,0.0,83.19999999999955,0.0,44.50000000000036,44.50000000000036,0.0,83.19999999999955,9.990172676533249e-05,0.6513968390968353,0.34840335744963413,9.990172676533249e-05,9.990172676533249e-05,9.990172676533249e-05,0.34840335744963413,0.6513968390968353,0.8038235424173686,0.7034325791616612,0.933431489306596,0.93255969373144,0.8170252851356029,0.87894919165818,0.8058627385392451,0.5655763362348348,0.6436594582401368,0.9297553143449683,0.7138161402735892,0.4279986496077565,0.21530205312970369,-0.12389257580572322,-0.14804054612851292,12.4,18306.23830576888,-10662.634950714833
128,129,113.3,60000.0,0.0,180.0,BehaviorType.ATTACK,27107.271288976124,11460.627352527732,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35192.44324100181,50708.73645261159,0,3,1,27023.392,55.1,1,35130.0,41.5,0.0,0.0,0.0,46.000000000000384,67.30000000000047,67.30000000000047,46.10000000000039,0.0,9.989185582492876e-05,9.989185582492876e-05,0.5933558602840029,0.4064443560043473,9.998000399919941e-05,0.40592058110884477,0.5938794588831569,9.998000399919941e-05,0.27823175739317024,0.2426526428730875,0.7263771620837378,0.5076054202902329,0.44884166701997874,0.9540709368002078,0.4519809335853222,0.14211538750984137,0.16286630476920255,0.5875633456540282,0.3026089041215665,0.7247901772175014,-0.5616871926870527,-0.13558241206870603,-0.1617322087282465,13.600000000000001,-23601.46516363547,-23731.81588847408
129,130,116.5,60000.0,0.0,180.0,BehaviorType.ATTACK,26056.03669296369,13615.76745983708,1,60000.0,0.0,180.0,BehaviorType.ATTACK,44204.99420208263,38816.97742823046,0,3,1,25992.092,60.3,1,44130.0,26.5,0.0,0.0,0.0,44.00000000000036,72.50000000000017,72.50000000000017,44.10000000000036,0.0,9.989427498621586e-05,9.989427498621586e-05,0.621659651201774,0.37814056024825365,9.99800039991997e-05,0.3776068820570664,0.6221931579349352,9.99800039991997e-05,0.24286703953155767,0.21107471359516813,0.7524560507781495,0.7187959063864446,0.631838858607205,0.9158965274717056,0.43473251827198073,0.12108695495287644,0.19374717107432218,0.7380876720576676,0.4835246369297704,0.5546049403827085,-0.36065933376223724,-0.30335515378568684,-0.36304373011256574,33.8,-12760.940735266766,-30589.226742245548
130,131,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,43724.66162055414,68825.84892559685,1,60000.0,0.0,180.0,BehaviorType.ATTACK,63165.20054837146,56573.449115134696,1,2,0,-1.0,-1.0,1,59790.0,0.4,0.0,0.0,95.19999999999888,0.0,25.50000000000009,25.50000000000009,0.0,95.19999999999888,9.989718707413318e-05,0.7885748100710918,0.21122539555475997,9.989718707413318e-05,9.989718707413318e-05,9.989718707413318e-05,0.21122539555475997,0.7885748100710918,,0.6243660988345117,0.9976925162266964,1.0,0.9182982810703593,0.9697042975778869,0.0,0.47452232425435537,0.9848489368743518,1.0,0.8641271589178671,0.8087212013320306,0.17534643607080558,-1.0,-0.38887995435589995,-1.4,-12848.787494580552,5660.648377225385
131,132,170.8,60000.0,0.0,180.0,BehaviorType.ATTACK,29756.029831123506,15615.469793772378,1,60000.0,0.0,180.0,BehaviorType.ATTACK,31032.21451347064,60766.40908448581,1,2,1,29670.003,50.6,1,30930.0,48.5,45.20000000000037,45.20000000000037,0.0,53.00000000000048,72.70000000000016,72.70000000000016,53.00000000000048,0.0,0.264455723208003,9.993149894674013e-05,0.42535245746065703,0.3100918878323931,0.26445572320800304,0.31009188783239316,0.42535245746065714,9.993149894674014e-05,0.363151086072723,0.31708539813221376,0.7731957755675363,0.3897076024565113,0.34787055250468923,0.9799174580263215,0.49624530447726245,0.19509998350250618,0.22240077935475483,0.5173186599989965,0.21909749518293858,0.868727453053059,-0.6461637240335277,-0.02107335552173406,-0.025528234729682603,2.1000000000000014,-31010.379253362302,-15416.744719698263
132,133,129.3,60000.0,0.0,180.0,BehaviorType.ATTACK,25187.39811870198,58391.64774594758,1,60000.0,0.0,180.0,BehaviorType.ATTACK,54643.59073309466,12592.385448773728,1,2,0,-1.0,-1.0,1,54570.0,9.1,0.0,0.0,95.29999999999886,0.0,34.100000000000215,34.100000000000215,0.0,95.29999999999886,9.990275513718892e-05,0.7363288913050262,0.2634713031846994,9.990275513718892e-05,9.990275513718892e-05,9.990275513718892e-05,0.2634713031846994,0.7363288913050262,,0.18400511175272607,0.9728099583671124,0.915412324436237,0.8019846790496563,0.7550847125823498,0.0,0.10371109256732716,0.8353379280370876,0.9126958906858892,0.6930664580026734,0.17929979101251936,0.6554419985237605,-0.9126958906858892,-0.5892286670609146,-10.1,12595.012669928254,3748.0570128529216
133,134,67.7,60000.0,0.0,180.0,BehaviorType.ATTACK,55026.560388376514,36157.12295404952,0,60000.0,0.0,180.0,BehaviorType.ATTACK,66443.06284773514,11586.635432621448,1,0,1,54933.761,8.5,1,59790.0,0.4,0.0,0.0,0.6,0.0,67.10000000000048,67.10000000000048,0.0,0.7,9.998000399919945e-05,0.008860857075261398,0.9909391829167402,9.998000399919945e-05,9.983257030970443e-05,9.983257030970443e-05,0.9894779125230745,0.010322422336306215,0.9230091010181236,0.8079165079180288,0.9002691481625678,1.0,0.9589031418038457,0.7431941596792473,0.9187797661855462,0.7006005154652418,0.5167408284203459,1.0,0.9299261610532901,0.16490631025458075,0.35163294424377006,-0.08122023381445376,-0.228370672839051,8.1,43439.924955755065,-30285.939893685623
