,test_id,kcid,lmc_prior_code,lengthscale_prior_code,y1,y2
0,0.0,0.0,2.0,1.0,6.366640567779541,6.370450973510742
1,0.0,0.0,2.0,1.0,6.359146595001221,6.366766452789307
2,0.0,0.0,2.0,1.0,6.3859124183654785,6.385002136230469
3,0.0,0.0,2.0,1.0,6.3816938400268555,6.3943071365356445
4,0.0,0.0,2.0,1.0,6.394041538238525,6.3696393966674805
5,0.0,0.0,2.0,1.0,6.35416841506958,6.36808443069458
6,0.0,0.0,2.0,1.0,6.3889570236206055,6.391079425811768
7,0.0,0.0,2.0,1.0,6.358668804168701,6.362010955810547
8,0.0,0.0,2.0,1.0,6.3598246574401855,6.373905658721924
9,0.0,0.0,2.0,1.0,6.371425628662109,6.380721569061279
10,0.0,0.0,2.0,1.0,6.410886287689209,6.3996992111206055
11,0.0,0.0,2.0,1.0,6.354788780212402,6.355408191680908
12,0.0,0.0,2.0,1.0,6.382507801055908,6.380381107330322
13,0.0,0.0,2.0,1.0,6.366379737854004,6.376035213470459
14,0.0,0.0,2.0,1.0,6.363973617553711,6.364500522613525
15,0.0,0.0,2.0,1.0,6.358758449554443,6.353457927703857
16,0.0,0.0,2.0,1.0,6.357818603515625,6.354950428009033
17,0.0,0.0,2.0,1.0,6.366148471832275,6.37204647064209
18,0.0,0.0,2.0,1.0,6.3660478591918945,6.361477375030518
19,0.0,0.0,2.0,1.0,6.355170249938965,6.354579925537109
