run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
1,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49033.93725458354,10213.270504915983,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49229.051760138645,34239.0847397806,0,VIPER_WIN,True,48950.0,1.8,True,49130.0,1.5
2,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49963.83785472549,3628.5627465252214,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49974.176594752025,39669.307328734234,1,BOTH_SURVIVED,True,49790.0,0.4,True,49790.0,0.4
3,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49081.936759576914,31665.658852604633,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49400.465591844266,48092.3187474741,1,BOTH_SURVIVED,True,49010.0,1.7,True,49310.0,1.2
4,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49664.5357001614,43095.07287189724,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49612.7024276362,19880.460223436876,1,BOTH_SURVIVED,True,49550.0,0.8,True,49550.0,0.8
5,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49945.12452521958,34174.93726916546,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49028.4331957207,24643.8045114745,1,COBRA_WIN,True,49790.0,0.4,True,48950.0,1.8
6,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49194.55084046768,31706.194789445508,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49724.35595861295,11931.684979526164,1,COBRA_WIN,True,49130.0,1.5,True,49610.0,0.7
7,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49787.87375125458,25538.352460297676,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49436.7574797308,25759.119331250058,0,VIPER_WIN,True,49670.0,0.6,True,49370.0,1.1
8,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49890.190055453415,16439.74427973443,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49620.693855636295,23335.422640665365,0,VIPER_WIN,True,49790.0,0.4,True,49550.0,0.8
9,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49376.37738822761,21086.2419605557,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49641.04556708156,37199.40782354708,1,BOTH_SURVIVED,True,49310.0,1.2,True,49550.0,0.8
10,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49214.281016956054,23214.399016226074,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49792.97898300984,12018.287480091089,1,COBRA_WIN,True,49130.0,1.5,True,49730.0,0.5
11,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49513.058273831586,49067.12033896399,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49521.62917811367,12751.791117546163,1,BOTH_SURVIVED,True,49430.0,1.0,True,49430.0,1.0
12,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49590.05738604925,17924.13689597432,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49022.760036278516,42890.88494683625,1,BOTH_SURVIVED,True,49490.0,0.9,True,48950.0,1.8
13,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49968.93792324214,13457.33141748195,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49311.46692430259,46457.84766318205,1,BOTH_SURVIVED,True,49790.0,0.4,True,49250.0,1.3
14,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49495.148147107524,9881.879416216421,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49629.64066151772,26333.778839717932,1,COBRA_WIN,True,49430.0,1.0,True,49550.0,0.8
15,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49212.375129003245,20989.793186105293,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49001.380237967016,11333.990494151036,0,VIPER_WIN,True,49130.0,1.5,True,48890.0,1.9
16,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49988.76877006125,4949.2729097504625,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49889.33984157882,5273.223682919881,0,MUTUAL_KILL,True,49790.0,0.4,True,49790.0,0.4
17,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49976.055750300504,15435.172689267356,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49061.74839367105,25054.642225952917,0,VIPER_WIN,True,49790.0,0.4,True,48950.0,1.8
18,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49435.05520662027,29654.796010305567,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49196.03221948397,21943.892247186315,1,COBRA_WIN,True,49370.0,1.1,True,49130.0,1.5
19,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49697.23571988724,15907.37895343693,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49858.613596203606,39820.78759026804,1,BOTH_SURVIVED,True,49610.0,0.7,True,49790.0,0.4
20,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49045.670946410995,22059.912260066965,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49451.58388606078,12395.076780076048,1,COBRA_WIN,True,48950.0,1.8,True,49370.0,1.1
21,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49076.73744476701,26793.49036155178,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49059.75694004367,6101.365770519501,1,COBRA_WIN,True,49010.0,1.7,True,48950.0,1.8
22,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49600.16636497033,40158.019252448925,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49847.867254734985,4284.176496487479,1,BOTH_SURVIVED,True,49490.0,0.9,True,49730.0,0.5
23,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49092.09485219092,44080.337262438035,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49457.327038123265,14035.077878288088,1,BOTH_SURVIVED,True,49010.0,1.7,True,49370.0,1.1
24,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49256.05341834559,15193.886245695909,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49134.65495694904,39595.94787243716,1,BOTH_SURVIVED,True,49190.0,1.4,True,49070.0,1.6
25,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49051.88840392112,44766.84005800252,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49047.48475057235,235.82335890149352,1,BOTH_SURVIVED,True,48950.0,1.8,True,48950.0,1.8
26,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49358.743385394606,27080.889323340867,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49943.43022834521,17282.589046890007,1,COBRA_WIN,True,49250.0,1.3,True,49790.0,0.4
27,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49532.484377307184,10551.791478293138,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49514.0568782667,42356.25547471096,1,BOTH_SURVIVED,True,49430.0,1.0,True,49430.0,1.0
28,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49816.96209636568,6214.151479741326,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49779.869030124384,46032.12906854301,1,BOTH_SURVIVED,True,49730.0,0.5,True,49670.0,0.6
29,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49720.82217416332,22992.517603255907,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49092.559870816454,35702.13756301479,0,VIPER_WIN,True,49610.0,0.7,True,49010.0,1.7
30,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49669.551992714296,2386.0563166282823,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49389.22555347184,13448.239104358705,0,VIPER_WIN,True,49550.0,0.8,True,49310.0,1.2
31,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49686.108190565064,26249.53234330877,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49426.06187085766,7689.027047829927,0,VIPER_WIN,True,49610.0,0.7,True,49310.0,1.2
32,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49256.28545235245,22500.85590135002,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49798.86669317276,8590.670295405445,1,COBRA_WIN,True,49190.0,1.4,True,49730.0,0.5
33,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49144.16614188611,20161.82785370152,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49247.36499301656,21477.377167223684,1,COBRA_WIN,True,49070.0,1.6,True,49130.0,1.5
34,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49589.216690058485,13120.184066932228,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49305.55193878344,44149.9150891165,1,BOTH_SURVIVED,True,49490.0,0.9,True,49190.0,1.4
35,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49607.85950093902,10669.268441631884,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49771.925710635005,23975.940849376082,1,COBRA_WIN,True,49490.0,0.9,True,49670.0,0.6
