run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
48,300.0,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49492.06978020161,30689.1160063753,1,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49561.14801150272,31377.637834262605,1,BOTH_SURVIVED,True,49430.0,1.0,True,49490.0,0.9
49,300.0,50000.0,0.003,179.997,BehaviorType.ATTACK,49557.31873596604,25638.506464408307,0,50000.0,0.003,179.997,BehaviorType.ATTACK,49801.54891886948,25832.54203697215,1,COBRA_WIN,True,49490.0,0.9,True,49730.0,0.5
50,300.0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49384.204777083134,27716.098233173252,0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49690.62751064558,19277.835881376213,1,COBRA_WIN,True,49310.0,1.2,True,49610.0,0.7
51,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49819.44273736681,8846.291000519403,1,50000.0,0.002,179.998,BehaviorType.ATTACK,49377.103096402054,38823.849965525515,1,BOTH_SURVIVED,True,49730.0,0.5,True,49310.0,1.2
52,300.0,50000.0,-0.005,-179.995,BehaviorType.ATTACK,49869.5375543378,27647.523535549302,1,50000.0,-0.005,-179.995,BehaviorType.ATTACK,49328.006920304244,27670.5276748226,1,BOTH_SURVIVED,True,49790.0,0.4,True,49250.0,1.3
53,300.0,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49903.09021761922,23374.486863904203,1,50000.0,-0.003,-179.997,BehaviorType.ATTACK,49933.724784942,46142.13476237677,1,BOTH_SURVIVED,True,49790.0,0.4,True,49790.0,0.4
54,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49956.816344017665,46655.45327895776,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49764.01229369221,48052.22206932731,1,BOTH_SURVIVED,True,49790.0,0.4,True,49670.0,0.6
55,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49010.157702875025,47718.89432409975,1,50000.0,0.002,179.998,BehaviorType.ATTACK,49776.15702525184,26678.95915948944,1,BOTH_SURVIVED,True,48950.0,1.8,True,49670.0,0.6
56,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49250.43295717426,29162.370742187264,0,50000.0,0.002,179.998,BehaviorType.ATTACK,49007.974790812434,6649.726653519821,1,COBRA_WIN,True,49190.0,1.4,True,48890.0,1.9
57,300.0,50000.0,-0.006999999999999999,-179.993,BehaviorType.ATTACK,49392.73927322718,23731.249875864778,0,50000.0,-0.006999999999999999,-179.993,BehaviorType.ATTACK,49987.79431520705,26019.898655983696,1,COBRA_WIN,True,49310.0,1.2,True,49790.0,0.4
58,300.0,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49072.61779422014,14600.604795977062,1,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49660.4451184742,42207.74425794156,1,BOTH_SURVIVED,True,49010.0,1.7,True,49550.0,0.8
