run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
1,151.9,50000.0,0.0,180.0,BehaviorType.ATTACK,31075.722488444226,22169.576051967444,1,50000.0,0.0,180.0,BehaviorType.ATTACK,26803.726140842326,43228.46227653645,1,BOTH_SURVIVED,True,31010.0,31.7,True,26693.778,38.9,0.2,0.2,93.09999999999899,93.09999999999899,0.0,0.7999999999999999,57.90000000000055,57.90000000000055,0.7999999999999999,0.0
2,67.6,50000.0,0.0,180.0,BehaviorType.ATTACK,46522.60357321232,20495.600420098155,1,50000.0,0.0,180.0,BehaviorType.ATTACK,35487.455589544676,36569.43807609626,0,VIPER_WIN,True,46430.0,6.0,True,35421.834,24.8,0.2,0.2,0.0,0.0,0.0,21.400000000000034,46.000000000000384,46.000000000000384,21.500000000000036,0.0
3,58.8,50000.0,0.0,180.0,BehaviorType.ATTACK,44887.24315916437,4759.837209311884,1,50000.0,0.0,180.0,BehaviorType.ATTACK,29233.09295384783,23712.207310046495,0,VIPER_WIN,True,44810.0,8.7,True,29154.434,37.2,0.2,0.2,0.0,0.0,0.0,0.0,58.700000000000564,58.60000000000056,0.0,0.0
4,121.6,50000.0,0.0,180.0,BehaviorType.ATTACK,32700.509983802294,81.42940424156752,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49266.48173265582,23864.293573146006,1,BOTH_SURVIVED,True,32632.87,31.8,True,49190.0,1.4,0.2,0.2,36.50000000000025,36.50000000000025,0.0,18.699999999999996,66.30000000000051,66.30000000000051,18.699999999999996,0.0
5,61.1,50000.0,0.0,180.0,BehaviorType.ATTACK,44960.89926376029,16087.82589108662,0,50000.0,0.0,180.0,BehaviorType.ATTACK,45279.1486863856,21693.677102715796,1,COBRA_WIN,True,44870.0,8.6,True,45170.0,8.1,0.2,0.2,0.0,0.0,0.0,0.0,60.900000000000595,61.0000000000006,0.0,0.0
6,128.2,50000.0,0.0,180.0,BehaviorType.ATTACK,45346.227457854475,25130.94950447187,1,50000.0,0.0,180.0,BehaviorType.ATTACK,32015.476470787773,19082.510215228554,1,BOTH_SURVIVED,True,45230.0,8.0,True,31926.365,31.5,0.2,0.2,31.500000000000178,31.500000000000178,37.10000000000026,0.0,59.500000000000576,59.500000000000576,0.0,37.10000000000026
7,85.0,50000.0,0.0,180.0,BehaviorType.ATTACK,34642.78563530841,6860.781681070305,1,50000.0,0.0,180.0,BehaviorType.ATTACK,21802.563478796812,39810.696045364486,0,VIPER_WIN,True,34550.0,25.8,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,32.800000000000196,52.00000000000047,52.00000000000047,32.9000000000002,0.0
8,141.5,50000.0,0.0,180.0,BehaviorType.ATTACK,28314.20734052708,232.6137249663962,1,50000.0,0.0,180.0,BehaviorType.ATTACK,37349.87510637437,12170.651393146953,1,BOTH_SURVIVED,True,28223.792,36.5,True,37250.0,21.3,0.2,0.2,62.200000000000614,62.200000000000614,0.0,5.4999999999999964,73.70000000000009,73.70000000000009,5.4999999999999964,0.0
9,100.0,50000.0,0.0,180.0,BehaviorType.ATTACK,39207.77102612065,47124.56629115071,0,50000.0,0.0,180.0,BehaviorType.ATTACK,30308.35019390886,21932.552910453058,1,COBRA_WIN,True,39110.0,18.2,True,30197.211,33.2,0.2,0.2,0.0,0.0,55.60000000000052,0.0,44.20000000000036,44.20000000000036,0.0,55.70000000000052
10,126.1,50000.0,0.0,180.0,BehaviorType.ATTACK,25741.431281670848,22274.64885277674,1,50000.0,0.0,180.0,BehaviorType.ATTACK,46555.649411521095,26727.517544501872,1,BOTH_SURVIVED,True,25688.251,45.4,True,46490.0,5.9,0.2,0.2,59.90000000000058,59.90000000000058,0.0,7.599999999999989,58.50000000000056,58.50000000000056,7.599999999999989,0.0
