,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,time_to_converge,iterations_to_converge
0,0.0,0.0,2.0,1.0,0.0,12.089098,394.0
1,0.0,0.0,2.0,1.0,0.0,17.178034,525.0
2,0.0,0.0,2.0,1.0,0.0,7.584934,246.0
3,0.0,0.0,2.0,1.0,0.0,15.998746,525.0
4,0.0,0.0,2.0,1.0,0.0,7.462905,246.0
5,0.0,0.0,2.0,1.0,0.0,12.60936,394.0
6,0.0,0.0,2.0,1.0,0.0,18.99928,628.0
7,0.0,0.0,2.0,1.0,0.0,15.781066,525.0
8,0.0,0.0,2.0,1.0,0.0,15.826586,525.0
9,0.0,0.0,2.0,1.0,0.0,19.298279,647.0
10,0.0,0.0,2.0,1.0,1.0,12.533194,419.0
11,0.0,0.0,2.0,1.0,1.0,10.622426,356.0
12,0.0,0.0,2.0,1.0,1.0,16.651655,556.0
13,0.0,0.0,2.0,1.0,1.0,14.657988,487.0
14,0.0,0.0,2.0,1.0,1.0,16.859163,564.0
15,0.0,0.0,2.0,1.0,1.0,12.6293,419.0
16,0.0,0.0,2.0,1.0,1.0,18.998316,628.0
17,0.0,0.0,2.0,1.0,1.0,11.955544,399.0
18,0.0,0.0,2.0,1.0,1.0,10.99006,356.0
19,0.0,0.0,2.0,1.0,1.0,12.431352,399.0
20,0.0,0.0,2.0,1.0,2.0,17.929175,583.0
21,0.0,0.0,2.0,1.0,2.0,15.4025,525.0
22,0.0,0.0,2.0,1.0,2.0,15.366143,525.0
23,0.0,0.0,2.0,1.0,2.0,12.234133,419.0
24,0.0,0.0,2.0,1.0,2.0,23.773555,815.0
25,0.0,0.0,2.0,1.0,2.0,12.34073,419.0
26,0.0,0.0,2.0,1.0,2.0,15.891397,525.0
27,0.0,0.0,2.0,1.0,2.0,15.729456,525.0
28,0.0,0.0,2.0,1.0,2.0,19.465734,647.0
29,0.0,0.0,2.0,1.0,2.0,11.4619,383.0
30,0.0,0.0,2.0,1.0,3.0,10.936908,366.0
31,0.0,0.0,2.0,1.0,3.0,7.379317,246.0
32,0.0,0.0,2.0,1.0,3.0,7.275788,246.0
33,0.0,0.0,2.0,1.0,3.0,15.620405,525.0
34,0.0,0.0,2.0,1.0,3.0,7.296226,246.0
35,0.0,0.0,2.0,1.0,3.0,26.621528,897.0
