,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,0,1,8158.265926555929,2.936250054414132,277.1548782871181,False,1960,300,log,-368.17371,4390.17015,4390.30172,-121.63038,-132.40185
1,0,0,2,1,0,1,8158.303638174662,3.0145645614452574,277.21798512046576,False,1960,300,log,-368.30453,4390.74134,4390.50165,-121.11253,-133.52229
2,0,0,2,1,0,1,8159.355681833749,2.7778450213269084,277.1108844598366,False,1960,300,log,-367.5047,4390.61581,4390.31437,-121.31244,-132.75736
3,0,0,2,1,0,1,8158.056101140374,3.0593922033704146,277.2481611513659,False,1960,300,log,-369.05586,4390.9313,4390.53414,-121.10608,-133.2474
4,0,0,2,1,0,1,8160.0202927618475,2.888177855932822,277.20108578739905,False,1960,300,log,-368.31305,4390.60377,4390.69226,-122.56395,-130.39874
5,0,0,2,1,0,1,8161.205770127847,2.782918789259206,277.20598609932307,False,1960,300,log,-368.31894,4391.01524,4390.85219,-122.13465,-130.20808
6,0,0,2,1,0,1,8161.260120438257,2.788989930860712,277.27250684724396,False,1960,300,log,-368.7152,4391.62484,4391.34822,-120.81113,-132.18661
7,0,0,2,1,0,1,8158.834541798204,2.883984932068553,277.19480382481635,False,1960,300,log,-369.98197,4390.8411,4390.23363,-122.31416,-129.94406
8,0,0,2,1,0,1,8161.643248901759,2.818248312789792,277.2731766973823,False,1960,300,log,-369.19255,4391.65582,4391.31103,-121.50399,-130.62705
9,0,0,2,1,0,1,8154.449914516759,3.4622338393558056,277.1887301029153,False,1960,300,log,-370.53444,4389.91292,4389.61922,-120.94444,-133.60334
10,0,0,2,1,1,1,8205.672109280848,3.1220379634528,281.1177473268821,False,1960,300,log,-348.97372,4441.6294,4441.30801,-161.8611,-166.43049
11,0,0,2,1,1,1,8206.472491505736,3.319070444792911,280.94119013540575,False,1960,300,log,-348.37955,4441.27054,4441.60027,-162.21626,-165.80252
12,0,0,2,1,1,1,8205.97535109067,3.214975123035589,280.80470211496123,False,1960,300,log,-348.08878,4440.41323,4440.97801,-161.6378,-165.68931
13,0,0,2,1,1,1,8205.368321005815,3.1709598639940775,281.05875013611814,False,1960,300,log,-349.02625,4441.73932,4441.50205,-162.86053,-165.98627
14,0,0,2,1,1,1,8203.199648761745,3.6728815090270763,280.74295984673535,False,1960,300,log,-348.97257,4439.8673,4439.60668,-161.5945,-165.70726
15,0,0,2,1,1,1,8206.930840758574,3.08536049257646,280.9053685067303,False,1960,300,log,-347.73417,4441.36562,4441.30143,-162.38102,-165.62102
16,0,0,2,1,1,1,8207.76468442259,3.172434501948407,280.8448640275346,False,1960,300,log,-347.04931,4440.95719,4441.50733,-162.07941,-165.57111
17,0,0,2,1,1,1,8206.024610460578,3.026958481752945,280.9335201174333,False,1960,300,log,-348.44187,4441.31767,4441.41343,-162.59792,-165.6667
18,0,0,2,1,1,1,8203.069758797534,4.526440733791198,281.1071929107955,False,1960,300,log,-349.58233,4440.98805,4440.84646,-162.22421,-166.95821
19,0,0,2,1,1,1,8207.790591759187,3.0089547134104313,280.9785084035916,False,1960,300,log,-347.73366,4441.93766,4441.62972,-161.636,-166.40713
20,0,0,2,1,2,1,8144.326838449981,2.857813793092074,277.2295616971701,False,1960,300,log,-372.2935,4387.96007,4387.79773,-139.62376,-119.5137
21,0,0,2,1,2,1,8150.646750048368,2.912102827381843,277.2709314610167,False,1960,300,log,-370.96537,4389.15354,4388.76705,-138.45967,-117.84879
22,0,0,2,1,2,1,8143.365037232784,2.8080728544633535,277.190554850835,False,1960,300,log,-370.14789,4387.19481,4386.93835,-141.86129,-118.75894
23,0,0,2,1,2,1,8143.769517848859,2.8588133860127782,277.2345614426686,False,1960,300,log,-370.52662,4387.06556,4387.17216,-141.56911,-118.37247
24,0,0,2,1,2,1,8142.611892235114,3.0070541755229216,277.22286932472065,False,1960,300,log,-370.56313,4387.30929,4387.47697,-143.38029,-118.23096
25,0,0,2,1,2,1,8148.181441105016,2.599513022541183,277.25477310724364,False,1960,300,log,-372.02284,4388.66623,4388.4873,-137.62229,-119.32696
26,0,0,2,1,2,1,8142.882275310078,2.7233370285594924,277.2483766535365,False,1960,300,log,-370.82641,4387.54077,4386.81065,-141.40548,-119.23725
27,0,0,2,1,2,1,8144.096360341173,2.537161951760337,277.27601689685963,False,1960,300,log,-372.71515,4387.68116,4387.61753,-139.59657,-118.89062
28,0,0,2,1,2,1,8143.9102368269805,2.6502191548569782,277.28734126374826,False,1960,300,log,-371.4503,4387.39868,4387.27388,-140.85981,-118.45222
29,0,0,2,1,2,1,8146.511323513799,2.9353487935450064,277.1896017699518,False,1960,300,log,-371.73009,4388.14628,4388.14914,-138.454,-119.60002
30,0,0,2,1,3,1,8206.340184324254,3.622838818526519,280.06868594963896,False,1960,300,log,-345.36471,4433.78836,4434.17131,-172.31234,-143.94243
31,0,0,2,1,3,1,8209.58652893829,3.397069336869073,280.16288115177747,False,1960,300,log,-343.39616,4434.71968,4434.94304,-172.41049,-144.26955
32,0,0,2,1,3,1,8202.442561534845,5.028125149976507,280.0712751676852,False,1960,300,log,-346.51894,4433.45572,4432.71418,-172.58305,-144.62535
33,0,0,2,1,3,1,8204.705113514221,3.214883742568573,280.0332498054561,False,1960,300,log,-345.27787,4433.44723,4433.48957,-172.06776,-144.88606
