,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,y0,y1,y2,y3,y4,total_nlpd
0,0.0,0.0,2.0,1.0,0.0,0.9387722201442638,-11.200443116499454,-11.20074929775024,0.30941240537376646,0.3373495511211939,-20.81565823761047
1,0.0,0.0,2.0,1.0,0.0,0.9390059791338079,-11.201967087627267,-11.201339857026833,0.3084069598377602,0.3400414895875852,-20.815852516094946
2,0.0,0.0,2.0,1.0,0.0,0.9369918979471232,-11.201574661987168,-11.200812536988941,0.3090735390372126,0.338088748259652,-20.818233013732122
3,0.0,0.0,2.0,1.0,0.0,0.9408703670179358,-11.202484536803498,-11.20137898126427,0.30812338661633415,0.3395897206454062,-20.81528004378809
4,0.0,0.0,2.0,1.0,0.0,0.938993947454253,-11.201560157034674,-11.201752656227876,0.3119164722232094,0.3323319266275222,-20.820070466957564
5,0.0,0.0,2.0,1.0,0.0,0.9390269918709385,-11.202611867290775,-11.202209789189352,0.31114636505499293,0.33168922900757297,-20.822959070546624
6,0.0,0.0,2.0,1.0,0.0,0.940128888362119,-11.20422174216533,-11.203541761871909,0.3077031604769057,0.336825127433441,-20.823106327764773
7,0.0,0.0,2.0,1.0,0.0,0.9433290815566268,-11.202141657641954,-11.200686034069582,0.3114081711812687,0.3310495934222433,-20.817040845551396
8,0.0,0.0,2.0,1.0,0.0,0.9412001043781132,-11.204298339725351,-11.203383274277051,0.3094277649154973,0.3329326879704549,-20.824121056738335
9,0.0,0.0,2.0,1.0,0.0,0.9444563221556393,-11.199890314072977,-11.1991092427896,0.30761053413065975,0.34033300438695857,-20.80659969618932
10,0.0,0.0,2.0,1.0,1.0,0.8896037660351619,-11.33219490747468,-11.331292778423853,0.41263443358666996,0.42441894335919345,-20.93683054291751
11,0.0,0.0,2.0,1.0,1.0,0.8880885925397378,-11.33130974543338,-11.332146565245123,0.4134634225507628,0.4227792531290554,-20.93912504245895
12,0.0,0.0,2.0,1.0,1.0,0.8873352772666484,-11.329142075991955,-11.330527911855249,0.4120742656082726,0.42253625765335145,-20.93772418731893
13,0.0,0.0,2.0,1.0,1.0,0.8898019564217653,-11.332465974712857,-11.33187943049434,0.4151588757058327,0.4232667411545127,-20.936117831925085
14,0.0,0.0,2.0,1.0,1.0,0.8892367492261387,-11.327772872914261,-11.32721009922271,0.4119830174922157,0.4225355160802121,-20.931227689338403
15,0.0,0.0,2.0,1.0,1.0,0.8865212985214328,-11.331564434876249,-11.331315131442889,0.4139997730170358,0.4223629112547378,-20.93999558352593
16,0.0,0.0,2.0,1.0,1.0,0.8847549843575274,-11.330534641637284,-11.331885718958718,0.41320682342553855,0.4222250079267284,-20.942233544886207
17,0.0,0.0,2.0,1.0,1.0,0.8882224382024233,-11.331318720960294,-11.331544331097279,0.4145914633801448,0.422442127765999,-20.937607022709003
18,0.0,0.0,2.0,1.0,1.0,0.8906818241468903,-11.331097500912186,-11.33056220463344,0.41340999507665205,0.4255750018864439,-20.93199288443564
19,0.0,0.0,2.0,1.0,1.0,0.886560769893077,-11.332912857321654,-11.332163377533965,0.4120721365509834,0.42435385710192325,-20.942089471309636
20,0.0,0.0,2.0,1.0,2.0,0.9491515279201423,-11.194748486000664,-11.194334616957068,0.3558335733117075,0.304100522615597,-20.77999747911029
21,0.0,0.0,2.0,1.0,2.0,0.9457221608446772,-11.19785453729889,-11.196862759837488,0.3526466458739549,0.3001607283625838,-20.796187762055162
22,0.0,0.0,2.0,1.0,2.0,0.9437324612288653,-11.192938271148675,-11.192200677342155,0.3616884712616558,0.30223730880542,-20.77748070719489
23,0.0,0.0,2.0,1.0,2.0,0.9446687327847392,-11.192593605822445,-11.192900477745095,0.36062513370300503,0.30162383263971115,-20.778576384440086
24,0.0,0.0,2.0,1.0,2.0,0.9447631279733918,-11.193209037253647,-11.193639565600831,0.3652844799500351,0.30098740289030246,-20.77581359204075
25,0.0,0.0,2.0,1.0,2.0,0.9485449440037312,-11.196588894124744,-11.196162099080022,0.35074635053786835,0.30396119776580816,-20.78949850089736
26,0.0,0.0,2.0,1.0,2.0,0.9454703940177451,-11.193840486095064,-11.191943916998753,0.36043223738147273,0.30374160857733773,-20.77614016311726
27,0.0,0.0,2.0,1.0,2.0,0.9503163306648228,-11.194087417997471,-11.193921167862658,0.3557777853061062,0.3029163022855244,-20.778998167603678
28,0.0,0.0,2.0,1.0,2.0,0.9471220787214178,-11.193425013787891,-11.193072087768794,0.3588883685797879,0.30181844846542677,-20.778668205790055
29,0.0,0.0,2.0,1.0,2.0,0.947794708879221,-11.195271245727735,-11.195225428448241,0.35271229941325044,0.30432148040843876,-20.785668185475064
30,0.0,0.0,2.0,1.0,3.0,0.8803438353786865,-11.312487653481716,-11.313361780594807,0.43938220207313344,0.3669443343886092,-20.939179062236093
31,0.0,0.0,2.0,1.0,3.0,0.8753987338941316,-11.314769855125421,-11.315250010506636,0.43968156201676245,0.36776919589200546,-20.94717037382916
32,0.0,0.0,2.0,1.0,3.0,0.8824441426434889,-11.311740452874275,-11.310155772611399,0.4397517720612437,0.3686675887588779,-20.931032722022064
33,0.0,0.0,2.0,1.0,3.0,0.8802109438540782,-11.31138372807681,-11.311533789172465,0.438810323377577,0.36941207206548277,-20.934484177952136
34,0.0,0.0,2.0,1.0,3.0,0.8784675451175493,-11.312324988099993,-11.31529027155062,0.4388821655808992,0.3679531130423377,-20.942312435909827
35,0.0,0.0,2.0,1.0,3.0,0.8737681166508368,-11.315516968097816,-11.31556529670751,0.4408350239358335,0.37019862178529356,-20.946280502433364
