,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,weight,y0,y3,y4
0,0,0,2,1,0,unweighted,-0.1717,0.3072,-0.0799
1,0,0,2,1,0,linear,0.3888,0.3072,-0.0799
2,0,0,2,1,0,quadratic,0.6492,0.3072,-0.0799
3,0,0,2,1,0,unweighted,-0.1717,0.3376,-0.0799
4,0,0,2,1,0,linear,0.3888,0.3376,-0.0799
5,0,0,2,1,0,quadratic,0.6492,0.3376,-0.0799
6,0,0,2,1,0,unweighted,-0.1717,0.3362,-0.0799
7,0,0,2,1,0,linear,0.3888,0.3362,-0.0799
8,0,0,2,1,0,quadratic,0.6492,0.3362,-0.0799
9,0,0,2,1,0,unweighted,-0.1717,0.3444,-0.0799
10,0,0,2,1,0,linear,0.3888,0.3444,-0.0799
11,0,0,2,1,0,quadratic,0.6492,0.3444,-0.0799
12,0,0,2,1,0,unweighted,-0.1717,0.3542,-0.0799
13,0,0,2,1,0,linear,0.3888,0.3542,-0.0799
14,0,0,2,1,0,quadratic,0.6492,0.3542,-0.0799
15,0,0,2,1,0,unweighted,-0.1717,0.35,-0.0799
16,0,0,2,1,0,linear,0.3888,0.35,-0.0799
17,0,0,2,1,0,quadratic,0.6492,0.35,-0.0799
18,0,0,2,1,0,unweighted,-0.1717,0.2749,-0.0799
19,0,0,2,1,0,linear,0.3888,0.2749,-0.0799
20,0,0,2,1,0,quadratic,0.6492,0.2749,-0.0799
21,0,0,2,1,0,unweighted,-0.1717,0.3636,-0.0799
22,0,0,2,1,0,linear,0.3888,0.3636,-0.0799
23,0,0,2,1,0,quadratic,0.6492,0.3636,-0.0799
24,0,0,2,1,0,unweighted,-0.1717,0.3486,-0.0799
25,0,0,2,1,0,linear,0.3888,0.3486,-0.0799
26,0,0,2,1,0,quadratic,0.6492,0.3486,-0.0799
27,0,0,2,1,0,unweighted,-0.1717,0.3236,-0.0799
28,0,0,2,1,0,linear,0.3888,0.3236,-0.0799
29,0,0,2,1,0,quadratic,0.6492,0.3236,-0.0799
30,0,0,2,1,1,unweighted,-0.1059,-0.0859,-0.0799
31,0,0,2,1,1,linear,0.4224,-0.0859,-0.0799
32,0,0,2,1,1,quadratic,0.665,-0.0859,-0.0799
33,0,0,2,1,1,unweighted,-0.1578,-0.0859,-0.0799
34,0,0,2,1,1,linear,0.3946,-0.0859,-0.0799
35,0,0,2,1,1,quadratic,0.6519,-0.0859,-0.0799
36,0,0,2,1,1,unweighted,-0.1717,-0.0859,-0.0799
37,0,0,2,1,1,linear,0.3888,-0.0859,-0.0799
38,0,0,2,1,1,quadratic,0.6492,-0.0859,-0.0799
39,0,0,2,1,1,unweighted,-0.1666,-0.0859,-0.0799
40,0,0,2,1,1,linear,0.3904,-0.0859,-0.0799
41,0,0,2,1,1,quadratic,0.6479,-0.0859,-0.0799
42,0,0,2,1,1,unweighted,-0.1678,-0.0859,-0.0799
43,0,0,2,1,1,linear,0.3911,-0.0859,-0.0799
44,0,0,2,1,1,quadratic,0.649,-0.0859,-0.0799
45,0,0,2,1,1,unweighted,-0.1717,-0.0859,-0.0799
46,0,0,2,1,1,linear,0.3888,-0.0859,-0.0799
47,0,0,2,1,1,quadratic,0.6492,-0.0859,-0.0799
48,0,0,2,1,1,unweighted,-0.159,-0.0859,-0.0799
49,0,0,2,1,1,linear,0.3954,-0.0859,-0.0799
50,0,0,2,1,1,quadratic,0.653,-0.0859,-0.0799
51,0,0,2,1,1,unweighted,-0.1603,-0.0859,-0.0799
52,0,0,2,1,1,linear,0.3911,-0.0859,-0.0799
53,0,0,2,1,1,quadratic,0.6457,-0.0859,-0.0799
54,0,0,2,1,1,unweighted,-0.1467,-0.0859,-0.0799
55,0,0,2,1,1,linear,0.3969,-0.0859,-0.0799
56,0,0,2,1,1,quadratic,0.6484,-0.0859,-0.0799
57,0,0,2,1,1,unweighted,-0.1717,-0.0859,-0.0799
58,0,0,2,1,1,linear,0.3888,-0.0859,-0.0799
59,0,0,2,1,1,quadratic,0.6492,-0.0859,-0.0799
60,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.2522
61,0,0,2,1,2,linear,0.3888,-0.0859,0.2522
62,0,0,2,1,2,quadratic,0.6492,-0.0859,0.2522
63,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.2428
64,0,0,2,1,2,linear,0.3888,-0.0859,0.2428
65,0,0,2,1,2,quadratic,0.6492,-0.0859,0.2428
66,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.2319
67,0,0,2,1,2,linear,0.3888,-0.0859,0.2319
68,0,0,2,1,2,quadratic,0.6492,-0.0859,0.2319
69,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.263
70,0,0,2,1,2,linear,0.3888,-0.0859,0.263
71,0,0,2,1,2,quadratic,0.6492,-0.0859,0.263
72,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.205
73,0,0,2,1,2,linear,0.3888,-0.0859,0.205
74,0,0,2,1,2,quadratic,0.6492,-0.0859,0.205
75,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.0786
76,0,0,2,1,2,linear,0.3888,-0.0859,0.0786
77,0,0,2,1,2,quadratic,0.6492,-0.0859,0.0786
78,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.2889
79,0,0,2,1,2,linear,0.3888,-0.0859,0.2889
80,0,0,2,1,2,quadratic,0.6492,-0.0859,0.2889
81,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.272
82,0,0,2,1,2,linear,0.3888,-0.0859,0.272
83,0,0,2,1,2,quadratic,0.6492,-0.0859,0.272
84,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.3104
85,0,0,2,1,2,linear,0.3888,-0.0859,0.3104
86,0,0,2,1,2,quadratic,0.6492,-0.0859,0.3104
87,0,0,2,1,2,unweighted,-0.1717,-0.0859,0.2079
88,0,0,2,1,2,linear,0.3888,-0.0859,0.2079
89,0,0,2,1,2,quadratic,0.6492,-0.0859,0.2079
90,0,0,2,1,3,unweighted,-0.1663,-0.0859,-0.0799
91,0,0,2,1,3,linear,0.3983,-0.0859,-0.0799
92,0,0,2,1,3,quadratic,0.6574,-0.0859,-0.0799
93,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
94,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
95,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
96,0,0,2,1,3,unweighted,-0.1604,-0.0859,-0.0799
97,0,0,2,1,3,linear,0.3964,-0.0859,-0.0799
98,0,0,2,1,3,quadratic,0.6543,-0.0859,-0.0799
99,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
100,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
101,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
102,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
103,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
104,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
105,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
106,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
107,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
108,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
109,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
110,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
111,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
112,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
113,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
114,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
115,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
116,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
117,0,0,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
118,0,0,2,1,3,linear,0.3888,-0.0859,-0.0799
119,0,0,2,1,3,quadratic,0.6492,-0.0859,-0.0799
120,0,1,2,1,0,unweighted,-0.1717,0.3388,-0.0799
121,0,1,2,1,0,linear,0.3888,0.3388,-0.0799
122,0,1,2,1,0,quadratic,0.6492,0.3388,-0.0799
123,0,1,2,1,0,unweighted,-0.1717,0.2861,-0.0799
124,0,1,2,1,0,linear,0.3888,0.2861,-0.0799
125,0,1,2,1,0,quadratic,0.6492,0.2861,-0.0799
126,0,1,2,1,0,unweighted,-0.1717,0.3486,-0.0799
127,0,1,2,1,0,linear,0.3888,0.3486,-0.0799
128,0,1,2,1,0,quadratic,0.6492,0.3486,-0.0799
129,0,1,2,1,0,unweighted,-0.1717,0.2861,-0.0799
130,0,1,2,1,0,linear,0.3888,0.2861,-0.0799
131,0,1,2,1,0,quadratic,0.6492,0.2861,-0.0799
132,0,1,2,1,0,unweighted,-0.1717,0.3279,-0.0799
133,0,1,2,1,0,linear,0.3888,0.3279,-0.0799
134,0,1,2,1,0,quadratic,0.6492,0.3279,-0.0799
