,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,lmc_coeff
0,0,0,2,1,0,"[-2.47843623e-01 -3.24695373e+00  8.55592012e-01 -2.47687683e-01
 -1.57020792e-01 -1.10695109e-01  1.28098917e+00 -1.78287327e-01
  2.45791063e-01 -1.75745174e-01 -1.70047134e-01  1.34192419e+00
 -1.66175533e-02  2.45737061e-01  2.05872512e+00  2.75061107e+00
 -1.33031487e+00  9.05996740e-01 -1.75165460e-01  5.99540658e-02
 -1.67992041e-01 -2.66508898e-03  1.50592849e-01  2.17110202e-01
 -1.10650092e-01 -1.34869032e-02  3.40361565e-01  1.94519728e-01
  5.56613028e-04 -1.12101525e-01  4.30360079e+00 -1.90173590e+00
  2.46346638e-01 -2.41222811e+00  5.36057472e-01  1.18120424e-01
 -5.83128333e-01  5.13825357e-01  2.93879867e-01  1.74567565e-01
 -2.81142397e-03 -9.10646915e-02  3.37879330e-01 -1.07445531e-01
 -2.53233969e-01  2.33770377e-04  2.16190624e+00  1.44047666e+00]"
1,0,0,2,1,0,"[ 1.50045175e-02 -2.56673932e+00  1.33532155e+00  1.04360327e-01
 -6.33021355e-01 -4.57098603e-01  2.12909150e+00 -6.59375370e-01
  3.93665358e-02 -1.44814327e-01 -1.05280089e+00  6.90609872e-01
 -1.11343658e+00  1.44520150e-02  2.02252221e+00  2.55952811e+00
 -5.66675603e-01  3.06253195e+00 -1.29159951e+00 -2.39246935e-01
  3.32664967e-01  2.22424343e-01 -5.01329184e-01  3.11408937e-01
 -3.13805491e-01  3.69397640e-01  1.87881272e-02 -1.18452513e+00
 -1.65069550e-01 -3.26109380e-01 -1.42543364e+00 -2.91612458e+00
 -1.37101293e+00  9.20234025e-01 -1.85083777e-01  1.27541795e-02
 -1.71039790e-01 -1.33308858e-01  1.54313773e-01  8.76959488e-02
 -8.32776651e-02 -2.53030986e-01 -1.40761049e-03  6.38857260e-02
 -2.19390884e-01 -8.46282095e-02  4.54481840e+00 -1.58790565e+00]"
2,0,0,2,1,0,"[ 0.73350513 -2.5115142   0.2656392  -0.06220697 -0.05753998 -0.04380101
  0.01275591  0.1227282   0.03557599 -0.21471892 -0.0990081   0.11104926
  0.22211668  0.29611853  0.17986059  1.9061891  -0.9079808   0.8836513
 -0.4230437  -0.02894952 -0.06715425 -0.08031846 -0.26463255  0.2207675
 -0.13908134 -0.02639493  0.2236178  -0.12277626  0.1181716  -0.03041262
  2.5914695  -1.6029402  -0.06926387 -2.027924    1.0738486   0.11558588
 -0.46682405 -0.34190422  0.87763    -0.5009214   0.21590951 -0.63243216
 -0.6344372   0.6285338  -0.64199203  0.12326916  1.6653091   2.0013294 ]"
3,0,0,2,1,0,"[ 1.2304186e+00 -3.5360034e+00  2.7183800e+00  1.0142024e+00
 -5.4966497e-01 -3.7467080e-01  1.6129524e+00 -5.2968687e-01
  3.7528640e-01 -3.6324617e-01 -3.2543978e-01  1.8412256e+00
 -1.5975679e-01  3.7621450e-01  2.8530567e+00  4.5390568e+00
  8.8309276e-01 -2.2219127e-01 -3.3672312e-01 -2.3179281e-01
  3.8846233e-01  2.9357955e-01 -2.3692152e-01  1.4297254e-01
  1.2473999e-02  2.2248708e-01  4.5165434e-03 -3.5918236e-01
  1.5371118e-01  1.4096033e-02 -4.1974087e+00  8.3750725e-01
  1.0660295e-01 -1.5345780e+00  1.2059878e+00 -6.8061665e-02
 -1.0354224e+00  1.0416935e-02  9.7833753e-01 -6.3426334e-01
  2.9690430e-01 -1.4880614e-01 -1.9722213e-01  5.8092517e-01
  8.7004952e-02  2.1387507e-01  1.8598920e+00  1.1758350e+00]"
4,0,0,2,1,0,"[ 0.25882676 -1.4805554   1.2170041   0.8207936  -0.11796071 -0.40704545
  0.82580787 -0.48513338 -0.07409975 -0.6099958  -0.5223298   0.79855216
 -0.59779626  0.32047173  3.0093417   1.5109867  -1.3771201   2.4038453
 -0.54377484 -0.09816937  0.01023589  0.04433957 -0.05155262  0.31517437
 -0.11925074  0.07908925  0.33508456 -0.04745762  0.07483336 -0.16877267
  2.8860064  -2.87553     0.0297463   1.9610252  -1.4044088  -0.02072809
  0.7043097  -0.1076242  -0.8503157  -0.24505627 -0.5470393   0.1524528
 -0.00560658 -0.5806362  -0.13052714  0.14920822 -1.7521441  -1.7818664 ]"
5,0,0,2,1,0,"[-0.01493011 -2.3252697   1.0429454   0.34004727  0.00563206 -0.30025303
  0.66933244 -0.11359529  0.41374338 -0.01522191  0.12083413  0.55456203
 -0.739176    0.6564668   1.2858918   1.5679865   1.0264752  -1.9526931
  0.62853295  0.2509667   0.10386433  0.13525468  0.30655855 -0.03399389
  0.1041564  -0.08891048 -0.23794454  0.1149305  -0.04452145  0.09603992
 -1.5094727   2.1360877  -0.34983057 -2.862801    1.4147516   0.30624408
 -0.46889663 -0.19983615  1.3898714  -0.22624335  0.15169683 -0.5007036
 -0.32216966  1.3794119  -0.13179949  0.09262512  4.2291574   2.284188  ]"
6,0,0,2,1,0,"[ 0.10281944 -2.8680367   0.8044208   0.10912693 -0.21495043  0.10202282
  0.87094766 -0.07193218  0.11398081 -0.29000777 -0.01063641  0.76594293
 -0.10728879  0.10134826  2.2372832   2.5508544   0.7973418  -0.23028594
 -0.46861866 -0.17588395 -0.00863992  0.02988909 -0.7229279  -0.16203834
 -0.04920107  0.3503222   0.27429146 -0.37585795  0.32127985 -0.05429297
 -3.467825    0.61017865 -0.38218135  3.0720794  -1.16516     0.01728283
  0.13251308  0.23900943 -1.1063973   0.27453753 -0.30759758  0.7143278
  0.99304736 -0.55494094  0.6772531  -0.31904086 -0.28039306 -2.604845  ]"
7,0,0,2,1,0,"[-1.3842381e+00  1.8310697e+00 -7.6608771e-01 -4.7525890e-02
  2.0951134e-01  1.5913373e-01 -1.7572021e-01  4.5171717e-01
 -1.9784959e-01  7.1571032e-03  2.7627900e-01 -3.2613030e-01
 -9.5981630e-03 -1.9577794e-01  2.7506154e+00 -3.6080084e+00
 -5.7596207e-02  1.9536757e+00 -1.3405803e-01 -4.4202175e-02
 -2.8851232e-01  1.1219037e-01 -5.3833556e-01  5.9747952e-04
 -2.1534957e-01  3.6781943e-01 -4.3174721e-02 -1.4068601e+00
  9.9793449e-03 -2.3268010e-01 -1.0894109e+00 -6.4013171e-01
  4.2911729e-01  2.3303094e+00 -1.5444150e+00 -3.1243968e-01
  6.9164819e-01  3.8896546e-01 -1.2325015e+00  4.0131330e-01
 -1.8706577e-01  4.0810201e-02 -5.2874297e-02 -1.4622996e+00
 -5.0566062e-02 -1.8252061e-01 -4.4199829e+00 -2.3952894e+00]"
8,0,0,2,1,0,"[ 3.50270458e-02  1.73306867e-01 -5.16627207e-02  1.55351134e-02
  4.00438420e-02  2.26302683e-01 -4.15531658e-02 -1.01081125e-01
  5.05687147e-02 -5.03629795e-04  9.01436657e-02 -1.27073556e-01
 -4.79800515e-02  5.15775159e-02  8.94019067e-01  1.47892401e-01
 -1.04147923e+00  3.40058279e+00 -1.51841593e+00 -4.70585406e-01
  4.93642271e-01  4.29583073e-01 -6.70874000e-01  5.32257438e-01
 -2.35843569e-01  3.53879213e-01  4.49316561e-01 -8.20836246e-01
  2.31892824e-01 -2.35043943e-01 -9.01507027e-03 -3.55035877e+00
 -1.85197055e-01  1.51105237e+00 -2.10069990e+00 -1.09728515e+00
  5.60838997e-01  4.73979294e-01 -1.15251648e+00  2.76584089e-01
 -1.62206456e-01  5.92557728e-01  4.04590547e-01 -1.13755655e+00
  4.08799827e-01 -1.59742296e-01 -4.31843758e+00 -1.59263754e+00]"
9,0,0,2,1,0,"[-3.0739331e-01  1.0745767e+00 -7.6251024e-01  6.3002659e-03
  1.9802858e-01 -2.9725099e-01 -1.1277325e+00  1.8462995e-03
 -3.6427251e-01  2.8044790e-01  2.8500894e-01 -1.1415771e+00
 -4.7449037e-02 -2.6555762e-01  2.6011644e-02 -3.0352302e+00
  1.4698296e+00 -1.8370475e+00  1.5061774e+00  3.2572806e-01
  3.2116371e-01 -1.3374400e-01  8.1788427e-01 -1.6396683e-01
  4.3965884e-02 -2.2054034e-01 -4.3968883e-01  1.2964724e-01
 -4.5299712e-01  1.5654421e-01 -4.2191893e-01  2.8153450e+00
 -3.9299795e-01 -1.3228306e+00  1.3255397e+00  7.8898513e-01
 -1.3189182e-01 -3.7063792e-01  6.8424970e-01 -5.0391320e-02
 -9.5904253e-02  1.1839978e-01  3.6664549e-01  8.6113745e-01
  2.3034057e-02 -3.3636498e-03  5.0069017e+00 -5.1954329e-01]"
