,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,lengthscales
0,0,0,2,1,0,"[2.2093, 0.886, 1.6973]"
1,0,0,2,1,0,"[3.7842, 1.4596, 1.0615]"
2,0,0,2,1,0,"[3.4749, 1.5817, 2.4502]"
3,0,0,2,1,0,"[3.0046, 0.9461, 4.5165]"
4,0,0,2,1,0,"[3.195, 1.0023, 5.4257]"
5,0,0,2,1,0,"[4.6459, 0.666, 3.156]"
6,0,0,2,1,0,"[5.6735, 0.7746, 1.1367]"
7,0,0,2,1,0,"[0.9379, 2.8266, 1.9869]"
8,0,0,2,1,0,"[3.4654, 1.1664, 1.1874]"
9,0,0,2,1,0,"[4.5301, 1.4853, 1.2542]"
10,0,0,2,1,1,"[0.3181, 1.386, 1.3197]"
11,0,0,2,1,1,"[0.2844, 3.2964, 1.7313]"
12,0,0,2,1,1,"[0.3194, 3.0156, 3.402]"
13,0,0,2,1,1,"[0.3503, 4.1472, 4.8123]"
14,0,0,2,1,1,"[0.2577, 2.8728, 4.2425]"
15,0,0,2,1,1,"[0.3289, 5.5211, 4.6791]"
16,0,0,2,1,1,"[0.3677, 3.9836, 5.5317]"
17,0,0,2,1,1,"[0.2963, 5.5875, 4.6369]"
18,0,0,2,1,1,"[0.3602, 5.9343, 3.1636]"
19,0,0,2,1,1,"[0.5388, 6.1199, 3.7805]"
20,0,0,2,1,2,"[3.0341, 1.7314, 0.8247]"
21,0,0,2,1,2,"[1.692, 0.9783, 0.9565]"
22,0,0,2,1,2,"[1.0719, 2.9291, 0.8949]"
23,0,0,2,1,2,"[1.1377, 4.8467, 0.9836]"
24,0,0,2,1,2,"[0.8757, 1.621, 2.3731]"
25,0,0,2,1,2,"[1.6714, 2.4627, 0.6188]"
26,0,0,2,1,2,"[3.4876, 0.7517, 0.9397]"
27,0,0,2,1,2,"[0.861, 1.5141, 2.75]"
28,0,0,2,1,2,"[1.2297, 1.3147, 0.8153]"
29,0,0,2,1,2,"[2.4194, 2.1192, 0.4695]"
30,0,0,2,1,3,"[1.6112, 1.0431, 0.6314]"
31,0,0,2,1,3,"[2.501, 2.5422, 0.5672]"
32,0,0,2,1,3,"[1.9728, 2.2047, 1.1094]"
33,0,0,2,1,3,"[4.453, 4.1907, 1.3531]"
34,0,0,2,1,3,"[3.3756, 1.2491, 2.3911]"
35,0,0,2,1,3,"[0.6069, 2.078, 4.7026]"
36,0,0,2,1,3,"[0.5299, 3.7738, 2.9165]"
37,0,0,2,1,3,"[0.7767, 3.7995, 2.2757]"
