,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,0,0,12021.120787045813,3.959600673380463,331.62125625138447,False,2945,300,log,-545.792,6447.16238,6449.95171,-148.56108,-181.64023
1,0,0,2,1,0,0,12021.771976326552,4.318369712406493,331.65642431918843,False,2945,300,log,-545.64089,6447.59637,6450.14599,-147.87966,-182.44984
2,0,0,2,1,0,0,12017.764166311645,4.067881088322121,331.5695293288207,False,2945,300,log,-545.04104,6446.93972,6449.42208,-148.7886,-184.76799
3,0,0,2,1,0,0,12020.98687175091,4.178948740627802,331.68736614882266,False,2945,300,log,-546.62873,6447.78937,6450.4626,-148.62346,-182.0129
4,0,0,2,1,0,0,12024.634954614801,3.9132358762392827,331.6649455999714,False,2945,300,log,-545.6906,6448.18813,6450.83066,-148.51807,-180.17516
5,0,0,2,1,0,0,12025.895662242187,3.923121644340478,331.67555301924375,False,2945,300,log,-545.75713,6448.77301,6451.22372,-148.27503,-180.0689
6,0,0,2,1,0,0,12024.176691451306,3.9812753084717545,331.7002779188982,False,2945,300,log,-546.0626,6448.48547,6451.17316,-148.20208,-181.21726
7,0,0,2,1,0,0,12022.142575351385,4.023234879035378,331.6820058247587,False,2945,300,log,-548.2556,6448.45854,6450.28172,-148.40325,-179.93883
8,0,0,2,1,0,0,12025.774880417135,3.9255964676677033,331.71362425162516,False,2945,300,log,-546.45683,6448.85236,6451.56623,-148.08339,-180.10349
9,0,0,2,1,0,0,12014.183080203922,4.635968181873431,331.68800606544045,False,2945,300,log,-549.94961,6446.46162,6448.96864,-148.7164,-182.58118
10,0,0,2,1,1,0,12132.807161485667,4.635063261187973,336.15020516142766,False,2945,300,log,-502.39867,6533.85817,6535.2237,-214.07733,-219.79871
11,0,0,2,1,1,0,12139.620690871867,4.949632472224052,335.9749847853924,False,2945,300,log,-496.73177,6534.02451,6536.28888,-213.91106,-220.04987
12,0,0,2,1,1,0,12138.398987227389,4.774023232048738,335.8795309874272,False,2945,300,log,-496.39811,6533.3296,6535.71414,-213.88057,-220.36607
13,0,0,2,1,1,0,12135.93170107836,4.738245385537322,336.0804227338205,False,2945,300,log,-499.90233,6533.93502,6536.1256,-214.20492,-220.02166
14,0,0,2,1,1,0,12135.051348039779,5.478853772228447,335.8502016838776,False,2945,300,log,-497.59623,6532.95367,6534.41929,-213.97122,-220.75415
15,0,0,2,1,1,0,12139.143580347545,4.6300040645298015,335.9397665145759,False,2945,300,log,-496.39874,6533.50855,6536.21389,-214.03419,-220.14593
16,0,0,2,1,1,0,12138.048708535767,4.712668227992802,335.92768914281726,False,2945,300,log,-497.31277,6533.42655,6536.21055,-214.06162,-220.214
17,0,0,2,1,1,0,12138.445656769352,4.490001483459993,335.96563015187854,False,2945,300,log,-497.17506,6533.83491,6536.08136,-214.07189,-220.22366
18,0,0,2,1,1,0,12129.135039144352,6.6404209755812795,336.12937964984474,False,2945,300,log,-503.61612,6532.39665,6534.69439,-214.26385,-220.07602
19,0,0,2,1,1,0,12132.008148611683,4.502973534102043,336.00631986473667,False,2945,300,log,-500.84606,6532.6347,6535.00606,-214.88809,-219.89845
20,0,0,2,1,2,0,12001.306807763392,4.039180760888966,332.0788973413087,False,2945,300,log,-547.55394,6448.59686,6450.72647,-201.19177,-149.2708
21,0,0,2,1,2,0,12011.44522117246,4.224797974467113,332.05668796387215,False,2945,300,log,-543.70369,6449.96695,6452.54921,-199.71854,-147.64871
22,0,0,2,1,2,0,12002.310481161068,3.999881806560034,332.04613329127596,False,2945,300,log,-546.08022,6448.27977,6450.38811,-202.00675,-148.27042
23,0,0,2,1,2,0,12000.92076644787,4.081735320440638,332.09592027138564,False,2945,300,log,-547.21546,6448.01635,6450.79886,-201.9377,-148.74129
24,0,0,2,1,2,0,12000.252193662418,4.1931974595111665,332.0919303728764,False,2945,300,log,-547.11254,6448.21362,6450.80353,-203.34337,-148.30904
25,0,0,2,1,2,0,12004.325350877174,3.704367827859396,332.1106890372961,False,2945,300,log,-548.36915,6449.28389,6451.77892,-200.28682,-148.08149
26,0,0,2,1,2,0,12004.270889448057,3.846086705271609,332.11479997478926,False,2945,300,log,-546.7054,6449.27412,6451.26731,-201.57044,-147.99471
27,0,0,2,1,2,0,12002.20032336728,3.642241588185318,332.0779496307927,False,2945,300,log,-546.74275,6448.13635,6450.92285,-200.40874,-149.70738
28,0,0,2,1,2,0,12002.744344070907,3.782646159284041,332.1335787850726,False,2945,300,log,-546.64332,6448.74448,6450.83776,-201.13023,-149.06435
29,0,0,2,1,2,0,12002.136177585882,4.1629318675031,332.05441569204226,False,2945,300,log,-547.94416,6448.29976,6451.16533,-201.11517,-148.26959
30,0,0,2,1,3,0,12097.389708419265,5.180130136013519,336.4184752141554,False,2945,300,log,-523.42551,6528.86358,6531.08848,-230.23216,-208.90468
31,0,0,2,1,3,0,12104.203743960179,4.795342603254389,336.42900906782205,False,2945,300,log,-520.70424,6529.9241,6532.69642,-229.04222,-208.67031
32,0,0,2,1,3,0,12086.148495761594,7.345695437262665,336.2024717505276,False,2945,300,log,-525.8517,6524.57423,6526.23024,-230.25979,-208.54448
33,0,0,2,1,3,0,12087.733438464531,4.6866391420040205,336.1351237937076,False,2945,300,log,-525.17986,6524.41341,6526.83451,-229.8296,-208.50502
