,test_id,kcid,lmc_prior_code,lengthscale_prior_code,lengthscales
0,0,0,2,1,"[1.3788, 1.3043, 0.8794, 0.477, 0.9525, 0.5861, 3.0977, 2.4846, 0.5269, 0.8801, 0.219, 1.2793, 1.5499, 2.1028, 1.6021, 0.6709, 0.2698, 0.6323, 1.477, 2.8759, 0.4059, 0.6859, 1.1656, 0.3978, 1.541, 0.4965, 0.5072, 0.2537, 2.9667, 1.8864, 1.8893, 0.298, 0.4168, 0.2574, 1.2469, 3.0161]"
0,3,0,2,1,"[1.2182, 0.3847, 0.3856, 1.5932, 1.0518, 0.29, 0.6001, 0.8713, 0.8853, 0.3302, 0.5263, 0.8311, 0.5848, 0.4535, 1.4946, 0.2434, 0.9177, 0.568, 1.2323, 0.2622, 0.7203, 0.6163, 0.4521, 0.5084, 1.0727, 2.094, 2.0901, 1.5363, 0.705, 0.3641, 0.4041, 1.2993, 0.439, 1.4932, 0.8375, 0.993]"
0,0,0,2,1,"[2.7733, 2.9108, 0.7566, 0.4374, 1.0321, 0.7279, 4.04, 2.4178, 0.3178, 0.9795, 0.1568, 1.1026, 2.587, 2.6775, 1.1889, 0.4614, 0.1837, 2.0786, 2.2252, 3.2508, 0.7473, 1.3654, 1.2551, 0.5153, 2.72, 0.2822, 0.312, 0.3147, 3.4091, 1.3565, 2.9399, 1.231, 0.6811, 0.1808, 1.5406, 2.8215]"
0,3,0,2,1,"[1.1121, 0.2847, 0.5771, 2.5959, 2.0439, 0.2599, 0.9469, 1.5251, 2.0224, 0.3215, 0.4161, 0.8066, 0.6009, 0.5924, 1.821, 0.2761, 1.2307, 1.0453, 1.8466, 0.1784, 0.661, 0.6401, 0.4818, 0.7351, 0.7315, 1.9027, 1.1537, 0.6848, 1.1183, 0.6257, 0.7102, 1.5495, 0.2906, 2.2978, 0.8068, 0.858]"
0,0,0,2,1,"[2.655, 4.1264, 1.2071, 1.4423, 2.714, 0.3113, 4.6935, 3.3613, 0.5607, 0.2481, 0.303, 1.1062, 2.4451, 2.3106, 0.6588, 0.3525, 0.2409, 2.923, 2.8884, 2.2409, 0.3156, 3.2043, 1.5356, 0.5931, 2.921, 0.6276, 0.5443, 0.3308, 2.5437, 3.4244, 2.7318, 2.3843, 0.2527, 2.6771, 3.1595, 1.8422]"
0,3,0,2,1,"[1.5625, 0.6772, 0.409, 1.5085, 2.2107, 0.1996, 1.1071, 0.911, 1.8213, 0.2266, 0.6458, 1.2163, 0.919, 1.5221, 2.2072, 0.2073, 0.5823, 0.7759, 2.7803, 0.354, 0.4227, 0.6734, 0.5366, 3.0777, 0.6527, 1.695, 0.8956, 0.4033, 0.6767, 0.7508, 0.5378, 0.7442, 0.7606, 5.3951, 0.8336, 2.4552]"
0,0,0,2,1,"[2.4968, 3.7477, 2.757, 1.2183, 2.5065, 0.2966, 1.3013, 1.252, 0.209, 0.1803, 0.3661, 0.831, 2.5248, 1.8532, 0.8185, 0.2406, 0.1181, 1.6091, 1.7271, 2.9968, 0.3199, 2.7518, 1.4836, 2.9092, 1.0079, 0.3543, 1.6727, 0.3004, 2.3876, 2.4053, 1.0413, 1.4807, 0.1199, 1.3634, 2.0372, 0.7771]"
0,3,0,2,1,"[0.7966, 0.5419, 0.4661, 0.954, 1.7859, 0.2439, 0.7237, 1.3103, 2.1256, 0.223, 0.6995, 1.2552, 0.6042, 2.604, 3.5094, 0.18, 1.2101, 0.6238, 1.9279, 0.7467, 0.7463, 1.0529, 0.3802, 3.0966, 0.8921, 1.0744, 1.7481, 0.2099, 0.5093, 0.7085, 0.4379, 1.0893, 0.8851, 6.0963, 1.2295, 2.6388]"
0,0,0,2,1,"[1.3583, 2.7444, 3.3717, 0.9883, 2.9763, 0.1583, 1.8118, 1.1499, 0.486, 0.3996, 0.4107, 1.5161, 2.6045, 2.0674, 2.4239, 0.1938, 0.1317, 1.5401, 3.2278, 1.3024, 0.3493, 3.5308, 0.7676, 1.5832, 2.6068, 0.742, 3.066, 0.9372, 1.4992, 2.4081, 2.3574, 1.142, 0.2186, 1.73, 2.3653, 0.3622]"
0,3,0,2,1,"[1.6801, 0.9936, 0.5797, 2.7133, 1.9919, 0.353, 0.5605, 1.4538, 0.8887, 0.2861, 1.9888, 0.2289, 0.4929, 1.0487, 3.8593, 0.2162, 0.5989, 1.6552, 1.1182, 0.7557, 0.8772, 1.4011, 0.5537, 4.4498, 1.0084, 0.8091, 2.294, 0.2129, 0.7012, 0.3884, 0.4851, 0.9703, 1.1222, 4.5881, 1.7386, 4.6871]"
