,test_id,kcid,lmc_prior_code,lengthscale_prior_code,y1,y2
0,0.0,0.0,2.0,1.0,6.323775291442871,6.316946983337402
0,3.0,0.0,2.0,1.0,4.362780570983887,4.359054088592529
0,0.0,0.0,2.0,1.0,6.3228759765625,6.331945896148682
0,3.0,0.0,2.0,1.0,4.50325345993042,4.5027666091918945
0,0.0,0.0,2.0,1.0,6.335879802703857,6.346370220184326
0,3.0,0.0,2.0,1.0,4.6448493003845215,4.629762172698975
0,0.0,0.0,2.0,1.0,6.332141399383545,6.3206000328063965
0,3.0,0.0,2.0,1.0,4.41996955871582,4.422512054443359
0,0.0,0.0,2.0,1.0,6.330992221832275,6.331538200378418
0,3.0,0.0,2.0,1.0,4.612401962280273,4.61346435546875
0,0.0,0.0,2.0,1.0,6.316665172576904,6.322751522064209
0,3.0,0.0,2.0,1.0,4.176822662353516,4.184930801391602
0,0.0,0.0,2.0,1.0,6.313725471496582,6.323519229888916
0,3.0,0.0,2.0,1.0,4.5355424880981445,4.514503002166748
0,0.0,0.0,2.0,1.0,6.3181281089782715,6.314765930175781
0,3.0,0.0,2.0,1.0,4.592159271240234,4.592243194580078
0,0.0,0.0,2.0,1.0,6.32650089263916,6.346559047698975
0,3.0,0.0,2.0,1.0,4.464335918426514,4.494722843170166
0,0.0,0.0,2.0,1.0,6.326533317565918,6.326923370361328
0,3.0,0.0,2.0,1.0,4.637629985809326,4.630556106567383
0,0.0,9.0,2.0,1.0,6.2687201499938965,6.2819600105285645
0,3.0,9.0,2.0,1.0,4.049133777618408,4.058815002441406
0,0.0,9.0,2.0,1.0,6.301061630249023,6.29196834564209
0,3.0,9.0,2.0,1.0,4.191976547241211,4.187049865722656
0,0.0,9.0,2.0,1.0,6.3104023933410645,6.292911529541016
0,3.0,9.0,2.0,1.0,4.148195743560791,4.178419589996338
0,0.0,9.0,2.0,1.0,6.307644367218018,6.303963661193848
0,3.0,9.0,2.0,1.0,4.451009750366211,4.454932689666748
0,0.0,9.0,2.0,1.0,6.3145036697387695,6.315436363220215
0,3.0,9.0,2.0,1.0,4.358576774597168,4.353801727294922
0,0.0,9.0,2.0,1.0,6.314907550811768,6.30446720123291
0,3.0,9.0,2.0,1.0,4.201526165008545,4.19081449508667
0,0.0,9.0,2.0,1.0,6.30679988861084,6.315119743347168
0,3.0,9.0,2.0,1.0,4.267339706420898,4.259802341461182
0,0.0,9.0,2.0,1.0,6.313632488250732,6.324306964874268
0,3.0,9.0,2.0,1.0,4.20681095123291,4.234382629394531
0,0.0,9.0,2.0,1.0,6.308929443359375,6.301405429840088
0,3.0,9.0,2.0,1.0,4.418584823608398,4.434092998504639
0,0.0,9.0,2.0,1.0,6.297779083251953,6.300335884094238
0,3.0,9.0,2.0,1.0,4.275484561920166,4.271577835083008
