run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
1,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49376.730947826254,29949.506395621032,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49285.496079026765,38281.47372046396,1,BOTH_SURVIVED,True,49310.0,1.2,True,49190.0,1.4
2,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49767.22788720847,46212.50403442039,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49084.49920838871,38984.51613802479,1,BOTH_SURVIVED,True,49670.0,0.6,True,49010.0,1.7
3,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49547.80754605695,21870.57328585819,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49017.60390244131,2816.560210307062,0,VIPER_WIN,True,49430.0,1.0,True,48950.0,1.8
4,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49605.774342408185,35573.30508409948,0,50000.0,0.0,180.0,BehaviorType.ATTACK,49883.805481698495,16797.082921699668,1,COBRA_WIN,True,49490.0,0.9,True,49790.0,0.4
5,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49231.142588155235,8561.456648324522,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49475.97552513142,26729.395460379314,0,VIPER_WIN,True,49130.0,1.5,True,49370.0,1.1
