,test_id,kcid,lmc_prior_code,lengthscale_prior_code,y0,y1,y2,y3,y4,total_nlpd
0,0.0,0.0,2.0,1.0,0.6511951602947246,-11.692025778366595,-11.68974241037758,0.058959755719529446,0.07583722989968386,-22.595776042830234
1,0.0,0.0,2.0,1.0,0.6636374335376178,-11.690979576836638,-11.69373200467249,0.07727522209473678,0.08051948864514694,-22.563279437231625
2,0.0,0.0,2.0,1.0,0.6836023798498774,-11.697544743548445,-11.695341870038689,0.058046106698655335,0.06951676663422307,-22.58172136040438
3,0.0,0.0,2.0,1.0,0.6857321040509712,-11.67600837977565,-11.678497741327805,0.0688468710092704,0.09208963068208015,-22.507837515361135
4,0.0,0.0,2.0,1.0,0.7059079657631869,-11.68592498769971,-11.685494937823742,0.06787973748182834,0.0765758033753237,-22.521056418903115
5,0.0,0.0,2.0,1.0,0.6779188231424409,-11.661307404710321,-11.668558831121647,0.1524168069777119,0.1310377048745905,-22.368492900837225
6,0.0,0.0,2.0,1.0,0.6964764934220687,-11.70164697658448,-11.70365605664902,0.06203743850847854,0.07004773636666722,-22.576741364936286
7,0.0,0.0,2.0,1.0,0.6814456138410131,-11.69154964212252,-11.69282813675144,0.06389353746816948,0.06950431250794104,-22.56953431505684
8,0.0,0.0,2.0,1.0,0.679566014292745,-11.698332799020267,-11.696015890670472,0.06724434162232952,0.06478072853749786,-22.582757605238164
9,0.0,0.0,2.0,1.0,0.6753014057917761,-11.695077371114778,-11.6954380581087,0.062462444486538475,0.07053817787636368,-22.582213401068795
10,1.0,0.0,0.0,1.0,0.6709818709983814,-11.691311570487056,-11.691608147434637,0.08429920925943156,0.0812639380606758,-22.546374699603206
11,1.0,0.0,0.0,1.0,0.7122501794010603,-11.675750667104104,-11.681425313162967,0.06897247468582243,0.07780950036395884,-22.498143825816232
12,1.0,0.0,0.0,1.0,0.6886645845171748,-11.675883633417339,-11.676804497183179,0.06733717021659263,0.065363908315453,-22.531322467551295
13,1.0,0.0,0.0,1.0,0.7040968083493969,-11.67798880621284,-11.678141551090746,0.07256773786351757,0.07558623909821807,-22.503879571992453
14,1.0,0.0,0.0,1.0,0.6811478117899019,-11.685422729647078,-11.680439682732633,0.07325866976199409,0.0774009440971231,-22.534054986730688
15,1.0,0.0,0.0,1.0,0.6900511196934852,-11.67664409757877,-11.680198475540088,0.054702389346743374,0.06439966214839839,-22.547689401930228
16,1.0,0.0,0.0,1.0,0.7006219312867947,-11.679590374401636,-11.682129232944273,0.06678451918767754,0.06643674479020575,-22.52787641208123
17,1.0,0.0,0.0,1.0,0.7028815631213642,-11.689940389265008,-11.689808080184216,0.06977285700569427,0.0628252244873807,-22.544268824834784
18,1.0,0.0,0.0,1.0,0.7027913992634031,-11.675293675186683,-11.672361783506918,0.07132859344262032,0.07227846176593933,-22.50125700422164
19,1.0,0.0,0.0,1.0,0.6891684323305987,-11.683004609005792,-11.683504983717892,0.05356042676403333,0.0634636839320337,-22.560317049697016
20,2.0,0.0,0.0,1.0,0.7299741788877516,-11.617675230926801,-11.683754213521269,0.07510067196266679,0.07161089829165634,-22.424743695305995
21,2.0,0.0,0.0,1.0,0.6980830624211757,-11.67860098962881,-11.691238290124199,0.0899378348562045,0.06824624897807242,-22.513572133497554
22,2.0,0.0,0.0,1.0,0.7623593506001596,-11.684195542388222,-11.667346954260553,0.06445971915281237,0.06977525902469417,-22.454948167871112
23,2.0,0.0,0.0,1.0,0.753725988622343,-11.63939107843605,-11.67290744361829,0.05515425609276274,0.09540827533050833,-22.408010002008727
24,2.0,0.0,0.0,1.0,0.7445293020078798,-11.58852169711168,-11.673766462225087,0.0728631018272637,0.09049640987357033,-22.354399345628053
25,2.0,0.0,0.0,1.0,0.768458682053903,-11.591907266212159,-11.668514636633349,0.07584325091388021,0.07247578128762897,-22.343644188590094
26,2.0,0.0,0.0,1.0,0.8036894289964928,-11.616375397131558,-11.663007167472319,0.05137764032820003,0.09517296104464398,-22.329142534234542
27,2.0,0.0,0.0,1.0,0.731440653607604,-11.573922940606161,-11.659182538726704,0.07249209697041142,0.07061302291138269,-22.35855970584347
28,2.0,0.0,0.0,1.0,0.7011890534834848,-11.640369982228798,-11.629372410555275,0.04976909281679165,0.08971187440990747,-22.429072372073886
29,2.0,0.0,0.0,1.0,0.7925493718388484,-11.54329380468041,-11.654462120064666,0.08775652413691516,0.07915043269272103,-22.238299596076594
30,3.0,0.0,2.0,1.0,0.7204329701515586,-12.679435148622309,-12.691334021367183,0.2832785184881515,0.25557772664078043,-24.111479954709
31,3.0,0.0,2.0,1.0,0.752857865928894,-12.729082202263633,-12.728683533676628,0.3324201842236301,0.27952055341213355,-24.092967132375605
32,3.0,0.0,2.0,1.0,0.7766374654449573,-12.718711356534845,-12.72880306879882,0.35399598266418975,0.2839541083830741,-24.032926868841443
33,3.0,0.0,2.0,1.0,0.7697813530575459,-12.869223001113756,-12.86638383631398,0.34840337989320846,0.27745729181713474,-24.339964812659847
34,3.0,0.0,2.0,1.0,0.7400307281817101,-12.590553636362356,-12.59161855102802,0.32236208592314436,0.2701497692398917,-23.849629604045628
35,3.0,0.0,2.0,1.0,0.7336065135815111,-12.731735235849003,-12.716010470685303,0.35244532612186963,0.25352033704707494,-24.108173529783848
36,3.0,0.0,2.0,1.0,0.6676163880141819,-12.634348974111331,-12.638112578076774,0.27204402996633076,0.2605611297672253,-24.072240004440367
37,3.0,0.0,2.0,1.0,0.766000827778967,-12.79385033723854,-12.790276378044465,0.32266261700901433,0.27970811929020395,-24.215755151204817
