,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,0.0,0.0,2.0,1.0,42.401592,703.0
1,0.0,0.0,2.0,1.0,44.864224,756.0
2,0.0,0.0,2.0,1.0,41.92374,708.0
3,0.0,0.0,2.0,1.0,36.333028,603.0
4,0.0,0.0,2.0,1.0,50.701458,845.0
5,0.0,0.0,2.0,1.0,58.469927,968.0
6,0.0,0.0,2.0,1.0,46.359974,765.0
7,0.0,0.0,2.0,1.0,42.194276,703.0
8,0.0,0.0,2.0,1.0,39.262341,659.0
9,0.0,0.0,2.0,1.0,42.238687,703.0
10,1.0,0.0,0.0,1.0,42.368077,703.0
11,1.0,0.0,0.0,1.0,44.987511,750.0
12,1.0,0.0,0.0,1.0,41.903435,703.0
13,1.0,0.0,0.0,1.0,38.163984,643.0
14,1.0,0.0,0.0,1.0,54.212152,836.0
15,1.0,0.0,0.0,1.0,37.978994,603.0
16,1.0,0.0,0.0,1.0,40.528654,703.0
17,1.0,0.0,0.0,1.0,27.09681,459.0
18,1.0,0.0,0.0,1.0,44.359414,680.0
19,1.0,0.0,0.0,1.0,57.178276,948.0
20,2.0,0.0,0.0,1.0,112.064335,2007.0
21,2.0,0.0,0.0,1.0,101.498142,1794.0
22,2.0,0.0,0.0,1.0,118.143412,2040.0
23,2.0,0.0,0.0,1.0,117.329536,1979.0
24,2.0,0.0,0.0,1.0,115.551096,1948.0
25,2.0,0.0,0.0,1.0,107.187472,1772.0
26,2.0,0.0,0.0,1.0,134.780782,2161.0
27,2.0,0.0,0.0,1.0,111.522535,1726.0
28,2.0,0.0,0.0,1.0,109.174265,1890.0
29,2.0,0.0,0.0,1.0,120.696171,2060.0
30,3.0,0.0,2.0,1.0,20.572429,627.0
31,3.0,0.0,2.0,1.0,27.462824,785.0
32,3.0,0.0,2.0,1.0,22.779627,687.0
33,3.0,0.0,2.0,1.0,30.215922,928.0
34,3.0,0.0,2.0,1.0,25.9568,797.0
35,3.0,0.0,2.0,1.0,21.311665,657.0
36,3.0,0.0,2.0,1.0,22.403231,700.0
37,3.0,0.0,2.0,1.0,29.83735,928.0
38,3.0,0.0,2.0,1.0,21.107961,628.0
39,3.0,0.0,2.0,1.0,23.407578,690.0
40,0.0,1.0,2.0,1.0,49.587709,659.0
41,0.0,1.0,2.0,1.0,52.283405,757.0
42,0.0,1.0,2.0,1.0,52.441554,765.0
43,0.0,1.0,2.0,1.0,51.82716,756.0
44,0.0,1.0,2.0,1.0,49.204314,703.0
45,0.0,1.0,2.0,1.0,48.187389,703.0
46,0.0,1.0,2.0,1.0,51.883854,765.0
47,0.0,1.0,2.0,1.0,55.296052,816.0
48,0.0,1.0,2.0,1.0,58.154888,836.0
49,0.0,1.0,2.0,1.0,53.747782,805.0
50,1.0,1.0,0.0,1.0,43.808421,659.0
51,1.0,1.0,0.0,1.0,50.975021,765.0
52,1.0,1.0,0.0,1.0,55.337603,804.0
53,1.0,1.0,0.0,1.0,49.442284,680.0
54,1.0,1.0,0.0,1.0,54.415353,765.0
55,1.0,1.0,0.0,1.0,52.333411,741.0
