,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs
311,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
312,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
313,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
314,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
315,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
316,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
317,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
318,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
319,3,7,2,1,['SE_1^(0) x M52_1^(0) + SE_2^(0) x M52_2^(0) + SE_3^(0)'],3,,False,False
320,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
321,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
322,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
323,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
324,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
325,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
326,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
327,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
328,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
329,0,8,2,1,"['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)', 'SE_4^(1) x PPoly2_2^(1) + SE_5^(1) x M52_2^(1) + SE_6^(1)', 'SE_7^(2) x PPoly2_3^(2) + SE_8^(2) x M52_3^(2) + SE_9^(2)', 'SE_10^(3) x PPoly2_4^(3) + SE_11^(3) x M52_4^(3) + SE_12^(3)']",3,,True,False
