,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,0.0,0.0,2.0,1.0,30.515836,678.0
1,0.0,0.0,2.0,1.0,31.90998,678.0
2,0.0,0.0,2.0,1.0,31.046715,745.0
3,0.0,0.0,2.0,1.0,14.088359,329.0
4,0.0,0.0,2.0,1.0,41.131016,927.0
5,0.0,0.0,2.0,1.0,36.440526,818.0
6,0.0,0.0,2.0,1.0,30.073968,678.0
7,0.0,0.0,2.0,1.0,29.646114,664.0
8,0.0,0.0,2.0,1.0,32.430878,728.0
9,0.0,0.0,2.0,1.0,33.420353,745.0
10,1.0,0.0,0.0,1.0,38.834853,852.0
11,1.0,0.0,0.0,1.0,36.469865,823.0
12,1.0,0.0,0.0,1.0,30.634138,687.0
13,1.0,0.0,0.0,1.0,24.610304,552.0
14,1.0,0.0,0.0,1.0,42.372201,946.0
15,1.0,0.0,0.0,1.0,38.483913,863.0
16,1.0,0.0,0.0,1.0,30.111823,678.0
17,1.0,0.0,0.0,1.0,30.251427,678.0
18,1.0,0.0,0.0,1.0,36.320455,819.0
19,1.0,0.0,0.0,1.0,30.185413,678.0
20,2.0,0.0,0.0,1.0,96.834999,2419.0
21,2.0,0.0,0.0,1.0,83.223306,1951.0
22,2.0,0.0,0.0,1.0,84.541485,1967.0
23,2.0,0.0,0.0,1.0,82.61898,1952.0
24,2.0,0.0,0.0,1.0,84.230354,1917.0
25,2.0,0.0,0.0,1.0,91.420744,2144.0
26,2.0,0.0,0.0,1.0,84.345079,1978.0
27,2.0,0.0,0.0,1.0,89.055164,2100.0
28,2.0,0.0,0.0,1.0,84.754253,2041.0
29,2.0,0.0,0.0,1.0,84.200316,1963.0
30,3.0,0.0,2.0,1.0,12.746966,487.0
31,3.0,0.0,2.0,1.0,17.438851,666.0
32,3.0,0.0,2.0,1.0,12.186762,487.0
33,3.0,0.0,2.0,1.0,18.532426,745.0
34,3.0,0.0,2.0,1.0,17.902164,717.0
35,3.0,0.0,2.0,1.0,12.107906,487.0
36,3.0,0.0,2.0,1.0,13.710954,559.0
37,3.0,0.0,2.0,1.0,12.014414,487.0
38,3.0,0.0,2.0,1.0,18.256488,745.0
39,3.0,0.0,2.0,1.0,19.633793,798.0
40,0.0,1.0,2.0,1.0,31.200872,552.0
41,0.0,1.0,2.0,1.0,31.578359,552.0
42,0.0,1.0,2.0,1.0,37.548361,661.0
43,0.0,1.0,2.0,1.0,42.7186,752.0
44,0.0,1.0,2.0,1.0,31.286584,552.0
45,0.0,1.0,2.0,1.0,38.635642,678.0
46,0.0,1.0,2.0,1.0,46.289209,814.0
47,0.0,1.0,2.0,1.0,39.998596,678.0
48,0.0,1.0,2.0,1.0,52.213777,927.0
49,0.0,1.0,2.0,1.0,41.286895,745.0
50,1.0,1.0,0.0,1.0,37.902966,685.0
51,1.0,1.0,0.0,1.0,46.540069,852.0
52,1.0,1.0,0.0,1.0,44.793733,818.0
53,1.0,1.0,0.0,1.0,30.348335,552.0
54,1.0,1.0,0.0,1.0,40.932264,745.0
