,test_id,kcid,lmc_prior_code,lengthscale_prior_code,lengthscales
0,0,0,2,1,"[1.8269, 0.2334, 1.8853, 0.2962, 0.2828, 2.0864, 1.6223, 0.2989]"
1,0,0,2,1,"[1.5564, 0.3821, 3.4554, 0.2522, 0.1521, 0.618, 3.2938, 0.2895]"
2,0,0,2,1,"[2.5492, 0.2336, 2.2839, 0.2973, 0.1604, 0.4604, 4.2899, 0.3441]"
3,0,0,2,1,"[0.5112, 0.2799, 3.462, 0.3249, 0.134, 0.5563, 3.0972, 0.2529]"
4,0,0,2,1,"[0.5091, 0.634, 3.4241, 0.3278, 0.2788, 0.6179, 4.0463, 0.2828]"
5,0,0,2,1,"[0.5245, 0.5343, 4.0918, 0.3229, 0.4286, 0.817, 5.5038, 0.2346]"
6,0,0,2,1,"[2.1264, 0.4349, 3.1735, 0.3377, 0.2814, 2.2129, 5.04, 0.2091]"
7,0,0,2,1,"[1.1572, 0.2798, 3.928, 0.2839, 0.132, 2.5106, 2.0248, 0.1391]"
8,0,0,2,1,"[0.7109, 0.339, 3.7543, 0.2016, 0.1871, 2.9935, 0.5487, 0.1895]"
9,0,0,2,1,"[0.6516, 0.2389, 5.0342, 0.2153, 0.1578, 3.2063, 0.3175, 0.5584]"
10,1,0,0,1,"[0.3027, 0.3629, 5.2189, 0.2678, 0.1778, 3.155, 0.3496, 0.8659]"
11,1,0,0,1,"[0.3461, 0.2783, 1.1495, 0.2999, 0.5756, 0.6184, 0.3392, 0.3817]"
12,1,0,0,1,"[0.3394, 0.9405, 2.4187, 0.2884, 0.5425, 0.4352, 0.7313, 0.2681]"
13,1,0,0,1,"[0.3995, 1.6877, 3.0433, 0.339, 1.4037, 0.2368, 0.651, 0.1957]"
14,1,0,0,1,"[0.3359, 4.2531, 1.033, 0.2725, 3.8648, 0.2512, 1.9693, 0.2099]"
15,1,0,0,1,"[0.2841, 1.2056, 1.5914, 0.2688, 2.4444, 0.2847, 1.4568, 0.3458]"
16,1,0,0,1,"[0.3252, 2.8875, 0.4933, 0.2594, 3.2677, 0.3554, 1.3985, 0.2621]"
17,1,0,0,1,"[0.5482, 0.5075, 0.2709, 0.4653, 0.858, 0.7784, 3.2087, 0.2826]"
18,1,0,0,1,"[0.4435, 0.6344, 0.289, 0.8247, 0.3839, 1.7661, 3.8427, 0.2663]"
19,1,0,0,1,"[0.5914, 0.5779, 0.3768, 1.0333, 0.2474, 1.5658, 1.8205, 0.3993]"
20,2,0,0,1,"[0.7822, 0.3352, 0.6197, 0.6767, 0.7822, 0.3352, 0.6197, 0.6767, 0.1147, 0.0393, 0.3464, 0.1431, 0.1147, 0.0393, 0.3464, 0.1431, 0.7568, 0.2786, 0.0131, 0.376, 0.7568, 0.2786, 0.0131, 0.376, 0.2708, 0.4675, 0.3446, 0.0077, 0.2708, 0.4675, 0.3446, 0.0077, 0.7822, 0.3352, 0.6197, 0.6767, 0.7822, 0.3352, 0.6197, 0.6767, 0.1147, 0.0393, 0.3464, 0.1431, 0.1147, 0.0393, 0.3464, 0.1431, 0.7568, 0.2786, 0.0131, 0.376, 0.7568, 0.2786, 0.0131, 0.376, 0.2708, 0.4675, 0.3446, 0.0077, 0.2708, 0.4675, 0.3446, 0.0077, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 1.0023, 1.3297, 2.1072, 0.537, 2.0523, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 0.5374, 0.2774, 2.1638, 0.9787, 0.9165, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.2054, 0.5584, 2.6128, 2.1322, 0.6381, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 1.075, 0.5502, 2.1722, 0.2809, 0.8867, 0.1889, 0.1889, 0.3607, 0.3607, 0.1494, 0.1494, 0.3725, 0.3725, 0.1889, 0.1889, 0.3607, 0.3607, 0.1494, 0.1494, 0.3725, 0.3725, 0.1889, 0.1889, 0.3607, 0.3607, 0.1494, 0.1494, 0.3725, 0.3725, 0.1889, 0.1889, 0.3607, 0.3607, 0.1494, 0.1494, 0.3725, 0.3725]"
