timestep,launcher_callsign,launcher_alive,launcher_id,launcher_x,launcher_y,launcher_z,launcher_psi,launcher_theta,launcher_phi,launcher_v,wpn_id,weapon_id,wpn_alive,wpn_x,wpn_y,wpn_z,wpn_psi,wpn_theta,wpn_phi,wpn_v,wpn_type,wpn_status,target_id,target_name,target_x,target_y,target_z,target_psi,target_theta,target_v,target_range,target_ata,target_aa,target_impact
00.30,viper,1,100,-29910.000,04.075,5000.000,00.000,00.000,00.000,300.000,0,0,1,-29910.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,SELECTED,200,cobra,19940.000,-4.253,5000.000,180.000,00.000,300.000,49850.001,00.010,179.990,0
00.30,cobra,1,200,19910.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19910.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29940.000,04.075,5000.000,00.000,00.000,300.000,49850.001,00.010,179.990,0
00.40,viper,1,100,-29880.000,04.075,5000.000,00.000,00.000,00.000,300.000,0,0,1,-29880.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,SELECTED,200,cobra,19910.000,-4.253,5000.000,180.000,00.000,300.000,49790.001,00.010,179.990,0
00.40,cobra,1,200,19880.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19880.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29910.000,04.075,5000.000,00.000,00.000,300.000,49790.001,00.010,179.990,0
00.50,viper,1,100,-29850.000,04.075,5000.000,00.000,00.000,00.000,300.000,0,0,1,-29850.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,LAUNCH,200,cobra,19880.000,-4.253,5000.000,180.000,00.000,300.000,49730.001,00.010,179.990,0
00.50,cobra,1,200,19850.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19850.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29880.000,04.075,5000.000,00.000,00.000,300.000,49730.001,00.010,179.990,0
00.60,viper,1,100,-29820.000,04.075,5000.000,00.000,00.000,00.000,300.000,0,0,1,-29820.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19850.000,-4.253,5000.000,180.000,00.000,300.000,49670.001,00.010,179.990,0
00.60,cobra,1,200,19820.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19820.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29850.000,04.075,5000.000,00.000,00.000,300.000,49670.001,00.010,179.990,0
00.70,viper,1,100,-29790.000,04.075,5000.000,00.000,00.000,00.785,300.000,0,0,1,-29790.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19820.000,-4.253,5000.000,180.000,00.000,300.000,49640.001,00.010,179.990,0
00.70,cobra,1,200,19790.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19790.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29820.000,04.075,5000.000,00.000,00.000,300.000,49610.001,00.010,179.990,0
00.80,viper,1,100,-29760.000,04.076,5000.000,00.003,00.000,01.561,300.000,0,0,1,-29760.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19790.000,-4.253,5000.000,180.000,00.000,300.000,49580.001,00.010,179.990,0
00.80,cobra,1,200,19760.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19760.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29790.000,04.075,5000.000,00.000,00.000,300.000,49550.001,00.010,179.990,0
00.90,viper,1,100,-29730.000,04.080,5000.000,00.008,00.000,02.330,300.000,0,0,1,-29730.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19760.000,-4.253,5000.000,180.000,00.000,300.000,49520.001,00.010,179.990,0
00.90,cobra,1,200,19730.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19730.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29760.000,04.076,5000.000,00.003,00.000,300.000,49490.001,00.010,179.988,0
01.00,viper,1,100,-29700.000,04.088,5000.000,00.015,00.000,03.092,300.000,0,0,1,-29700.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19730.000,-4.253,5000.000,180.000,00.000,300.000,49460.001,00.010,179.990,0
01.00,cobra,1,200,19700.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19700.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29730.000,04.080,5000.000,00.008,00.000,300.000,49430.001,00.010,179.983,0
01.10,viper,1,100,-29670.000,04.102,5000.000,00.025,00.000,03.845,300.000,0,0,1,-29670.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19700.000,-4.253,5000.000,180.000,00.000,300.000,49400.001,00.010,179.990,0
01.10,cobra,1,200,19670.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19670.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29700.000,04.088,5000.000,00.015,00.000,300.000,49370.001,00.010,179.975,0
01.20,viper,1,100,-29640.000,04.121,5000.000,00.038,00.000,04.592,300.000,0,0,1,-29640.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19670.000,-4.253,5000.000,180.000,00.000,300.000,49340.001,00.010,179.990,0
01.20,cobra,1,200,19640.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19640.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29670.000,04.102,5000.000,00.025,00.000,300.000,49310.001,00.010,179.965,0
01.30,viper,1,100,-29610.000,04.149,5000.000,00.053,00.000,05.330,300.000,0,0,1,-29610.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19640.000,-4.253,5000.000,180.000,00.000,300.000,49280.001,00.010,179.990,0
01.30,cobra,1,200,19610.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19610.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29640.000,04.121,5000.000,00.038,00.000,300.000,49250.001,00.010,179.952,0
01.40,viper,1,100,-29580.000,04.186,5000.000,00.071,00.000,06.062,300.000,0,0,1,-29580.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19610.000,-4.253,5000.000,180.000,00.000,300.000,49220.001,00.010,179.990,0
01.40,cobra,1,200,19580.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19580.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29610.000,04.149,5000.000,00.053,00.000,300.000,49190.001,00.010,179.937,0
01.50,viper,1,100,-29550.000,04.234,5000.000,00.090,00.000,06.786,300.000,0,0,1,-29550.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19580.000,-4.253,5000.000,180.000,00.000,300.000,49160.001,00.010,179.990,0
01.50,cobra,1,200,19550.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19550.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29580.000,04.186,5000.000,00.071,00.000,300.000,49130.001,00.010,179.920,0
01.60,viper,1,100,-29520.000,04.293,5000.000,00.113,00.000,07.502,300.000,0,0,1,-29520.000,04.075,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19550.000,-4.253,5000.000,180.000,00.000,300.000,49100.001,00.010,179.990,0
01.60,cobra,1,200,19520.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19520.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29550.000,04.234,5000.000,00.090,00.000,300.000,49070.001,00.010,179.900,0
01.70,viper,1,100,-29490.000,04.364,5000.000,00.137,00.000,08.212,300.000,0,0,1,-29489.900,04.075,5000.000,00.000,00.000,00.000,301.000,AAM_SARH,INFLIGHT,200,cobra,19520.000,-4.253,5000.000,180.000,00.000,300.000,49040.001,00.010,179.990,0
01.70,cobra,1,200,19490.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19490.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,LAUNCH,100,viper,-29520.000,04.293,5000.000,00.113,00.000,300.000,49010.001,00.010,179.877,0
01.80,viper,1,100,-29460.000,04.451,5000.000,00.164,00.000,08.915,300.000,0,0,1,-29459.700,04.075,5000.000,00.000,00.000,-84.635,302.000,AAM_SARH,INFLIGHT,200,cobra,19490.000,-4.253,5000.000,180.000,00.000,300.000,48979.901,00.010,179.990,0
01.80,cobra,1,200,19460.000,-4.253,5000.000,180.000,00.000,00.000,300.000,0,0,1,19460.000,-4.253,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,100,viper,-29490.000,04.364,5000.000,00.137,00.000,300.000,48950.001,00.010,179.853,0
01.90,viper,1,100,-29430.001,04.552,5000.000,00.194,00.000,09.610,300.000,0,0,1,-29429.418,03.028,5000.000,358.019,00.000,-67.708,303.000,AAM_SARH,INFLIGHT,200,cobra,19460.000,-4.253,5000.000,180.000,00.000,300.000,48919.701,00.010,179.990,0
01.90,cobra,1,200,19430.000,-4.253,5000.000,180.000,00.000,00.785,300.000,0,0,1,19430.000,-4.253,5000.000,180.000,00.000,-84.635,300.000,AAM_SARH,INFLIGHT,100,viper,-29460.000,04.451,5000.000,00.164,00.000,300.000,48920.001,00.010,179.825,0
02.00,viper,1,100,-29400.001,04.670,5000.000,00.225,00.000,10.299,300.000,0,0,1,-29399.029,02.217,5000.000,358.471,00.000,98.176,304.000,AAM_SARH,INFLIGHT,200,cobra,19430.000,-4.253,5000.000,180.000,00.000,300.000,48859.419,-1.972,179.991,0
02.00,cobra,1,200,19400.000,-4.255,5000.000,180.003,00.000,01.561,300.000,0,0,1,19400.018,-3.209,5000.000,178.006,00.000,-67.708,300.000,AAM_SARH,INFLIGHT,100,viper,-29430.001,04.552,5000.000,00.194,00.000,300.000,48860.001,00.010,179.796,0
02.10,viper,1,100,-29370.001,04.806,5000.000,00.260,00.000,10.980,300.000,0,0,1,-29368.529,02.088,5000.000,359.758,00.000,64.999,305.000,AAM_SARH,INFLIGHT,200,cobra,19400.000,-4.255,5000.000,180.003,00.000,300.000,48799.029,-1.521,179.990,0
