timestep,callsign,alive,fighter_id,fighter_type,x,y,z,psi,theta,phi,v,gload,z_c,psi_c,theta_c,phi_c,v_c,tracking,tracked,contact_range,contact_aa,contact_ata,los1,los2,mcgrew_angle,mcgrew_range,mcgrew_score,delta_v,lethal_v,lethal_range,lethal_cone,viable_lethal_shot,opponent_viable_lethal_shot,reward,goal,behavior
00.00,viper,1,100,0,-30000.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,0,0,50000.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.00,cobra,1,200,0,20000.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,0,1,50000.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.10,viper,1,100,0,-29970.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49940.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.10,cobra,1,200,0,19970.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49940.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.20,viper,1,100,0,-29940.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49880.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.20,cobra,1,200,0,19940.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49880.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.30,viper,1,100,0,-29910.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49820.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.30,cobra,1,200,0,19910.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49820.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.40,viper,1,100,0,-29880.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49760.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.40,cobra,1,200,0,19880.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49760.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.50,viper,1,100,0,-29850.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49700.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.50,cobra,1,200,0,19850.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49700.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.60,viper,1,100,0,-29820.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49640.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.60,cobra,1,200,0,19820.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49640.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.70,viper,1,100,0,-29790.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49580.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.70,cobra,1,200,0,19790.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49580.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.80,viper,1,100,0,-29760.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49520.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.80,cobra,1,200,0,19760.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49520.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.90,viper,1,100,0,-29730.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49460.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
00.90,cobra,1,200,0,19730.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49460.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.00,viper,1,100,0,-29700.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49400.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.00,cobra,1,200,0,19700.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49400.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.10,viper,1,100,0,-29670.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49340.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.10,cobra,1,200,0,19670.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49340.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.20,viper,1,100,0,-29640.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49280.000,-179.999,-0.001,00.001,-179.999,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.20,cobra,1,200,0,19640.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49280.000,-179.999,-0.001,-179.999,00.001,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.30,viper,1,100,0,-29610.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49220.000,-179.998,-0.002,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.30,cobra,1,200,0,19610.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49220.000,-179.998,-0.002,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.40,viper,1,100,0,-29580.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49160.000,-179.998,-0.002,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.40,cobra,1,200,0,19580.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49160.000,-179.998,-0.002,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.50,viper,1,100,0,-29550.000,01.893,5000.000,00.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49100.000,-179.998,-0.002,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.50,cobra,1,200,0,19550.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,-0.000,300.000,1,1,49100.000,-179.998,-0.002,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.60,viper,1,100,0,-29520.000,01.893,5000.000,00.000,00.000,-0.785,300.000,01.000,4572.000,-54.998,00.000,-78.463,300.000,1,1,49040.000,-179.998,-0.002,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.60,cobra,1,200,0,19520.000,03.183,5000.000,180.000,00.000,00.000,300.000,01.000,4572.000,00.000,00.000,00.000,300.000,1,1,49040.000,-179.998,-0.002,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.70,viper,1,100,0,-29490.000,01.892,5000.000,359.997,00.000,-1.561,300.000,01.000,4572.000,-54.998,00.000,-78.463,300.000,1,1,48980.000,-179.998,-0.004,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.70,cobra,1,200,0,19490.000,03.183,5000.000,180.000,00.000,-0.785,300.000,01.000,4572.000,125.002,00.000,-78.463,300.000,1,1,48980.000,-179.996,-0.002,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.80,viper,1,100,0,-29460.000,01.888,5000.000,359.992,00.000,-2.330,300.000,01.001,4572.000,304.999,00.000,-78.463,300.000,1,1,48920.000,-179.996,-0.009,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.80,cobra,1,200,0,19460.000,03.184,5000.000,179.997,00.000,-1.561,300.000,01.000,4572.000,125.002,00.000,-78.463,300.000,1,1,48920.000,-179.991,-0.004,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.90,viper,1,100,0,-29430.000,01.880,5000.000,359.985,00.000,-3.092,300.000,01.001,4572.000,304.996,00.000,-78.463,300.000,1,1,48860.000,-179.991,-0.017,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
01.90,cobra,1,200,0,19430.000,03.188,5000.000,179.992,00.000,-2.330,300.000,01.001,4572.000,124.999,00.000,-78.463,300.000,1,1,48860.000,-179.983,-0.009,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.00,viper,1,100,0,-29400.000,01.867,5000.000,359.975,00.000,-3.845,300.000,01.002,4572.000,304.994,00.000,-78.463,300.000,1,1,48800.000,-179.983,-0.027,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.00,cobra,1,200,0,19400.000,03.196,5000.000,179.985,00.000,-3.092,300.000,01.001,4572.000,124.996,00.000,-78.463,300.000,1,1,48800.000,-179.973,-0.017,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.10,viper,1,100,0,-29370.000,01.847,5000.000,359.962,00.000,-4.592,300.000,01.003,4572.000,304.991,00.000,-78.463,300.000,1,1,48740.000,-179.973,-0.040,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.10,cobra,1,200,0,19370.000,03.210,5000.000,179.975,00.000,-3.845,300.000,01.002,4572.000,124.994,00.000,-78.463,300.000,1,1,48740.000,-179.960,-0.027,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.20,viper,1,100,0,-29340.000,01.819,5000.000,359.947,00.000,-5.330,300.000,01.004,4572.000,304.989,00.000,-78.463,300.000,1,1,48680.000,-179.960,-0.055,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.20,cobra,1,200,0,19340.000,03.229,5000.000,179.962,00.000,-4.592,300.000,01.003,4572.000,124.991,00.000,-78.463,300.000,1,1,48680.000,-179.945,-0.040,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.30,viper,1,100,0,-29310.000,01.782,5000.000,359.929,00.000,-6.062,300.000,01.006,4572.000,304.987,00.000,-78.463,300.000,1,1,48620.000,-179.945,-0.072,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.30,cobra,1,200,0,19310.000,03.257,5000.000,179.947,00.000,-5.330,300.000,01.004,4572.000,124.989,00.000,-78.463,300.000,1,1,48620.000,-179.928,-0.055,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.40,viper,1,100,0,-29280.000,01.735,5000.000,359.910,00.000,-6.786,300.000,01.007,4572.000,304.984,00.000,-78.463,300.000,1,1,48560.000,-179.928,-0.092,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.40,cobra,1,200,0,19280.000,03.294,5000.000,179.929,00.000,-6.062,300.000,01.006,4572.000,124.987,00.000,-78.463,300.000,1,1,48560.000,-179.908,-0.072,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.50,viper,1,100,0,-29250.000,01.676,5000.000,359.887,00.000,-7.502,300.000,01.009,4572.000,304.982,00.000,-78.463,300.000,1,1,48500.000,-179.908,-0.115,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.50,cobra,1,200,0,19250.000,03.341,5000.000,179.910,00.000,-6.786,300.000,01.007,4572.000,124.984,00.000,-78.463,300.000,1,1,48500.000,-179.885,-0.092,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.60,viper,1,100,0,-29220.000,01.604,5000.000,359.863,00.000,-8.212,300.000,01.010,4572.000,304.980,00.000,-78.463,300.000,1,1,48440.000,-179.885,-0.139,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.60,cobra,1,200,0,19220.000,03.400,5000.000,179.887,00.000,-7.502,300.000,01.009,4572.000,124.982,00.000,-78.463,300.000,1,1,48440.000,-179.861,-0.115,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.70,viper,1,100,0,-29190.000,01.518,5000.000,359.836,00.000,-8.915,300.000,01.012,4572.000,304.977,00.000,-78.463,300.000,1,1,48380.001,-179.860,-0.167,00.002,-179.998,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.70,cobra,1,200,0,19190.000,03.472,5000.000,179.863,00.000,-8.212,300.000,01.010,4572.000,124.980,00.000,-78.463,300.000,1,1,48380.001,-179.833,-0.140,-179.998,00.002,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.80,viper,1,100,0,-29160.001,01.416,5000.000,359.806,00.000,-9.610,300.000,01.014,4572.000,304.975,00.000,-78.463,300.000,1,1,48320.001,-179.833,-0.196,00.003,-179.997,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.80,cobra,1,200,0,19160.000,03.558,5000.000,179.836,00.000,-8.915,300.000,01.012,4572.000,124.977,00.000,-78.463,300.000,1,1,48320.001,-179.804,-0.167,-179.997,00.003,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.90,viper,1,100,0,-29130.001,01.298,5000.000,359.775,00.000,-10.299,300.000,01.016,4572.000,304.973,00.000,-78.463,300.000,1,1,48260.001,-179.803,-0.228,00.003,-179.997,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
02.90,cobra,1,200,0,19130.001,03.660,5000.000,179.806,00.000,-9.610,300.000,01.014,4572.000,124.975,00.000,-78.463,300.000,1,1,48260.001,-179.772,-0.197,-179.997,00.003,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.00,viper,1,100,0,-29100.001,01.162,5000.000,359.740,00.000,-10.980,300.000,01.019,4572.000,304.971,00.000,-78.463,300.000,1,1,48200.002,-179.771,-0.263,00.003,-179.997,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.00,cobra,1,200,0,19100.001,03.778,5000.000,179.775,00.000,-10.299,300.000,01.016,4572.000,124.973,00.000,-78.463,300.000,1,1,48200.002,-179.737,-0.229,-179.997,00.003,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.10,viper,1,100,0,-29070.001,01.008,5000.000,359.704,00.000,-11.655,300.000,01.021,4572.000,304.969,00.000,-78.463,300.000,1,1,48140.003,-179.737,-0.299,00.003,-179.997,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.10,cobra,1,200,0,19070.001,03.914,5000.000,179.740,00.000,-10.980,300.000,01.019,4572.000,124.971,00.000,-78.463,300.000,1,1,48140.003,-179.701,-0.263,-179.997,00.003,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.20,viper,1,100,0,-29040.002,00.832,5000.000,359.666,00.000,-12.323,300.000,01.024,4572.000,304.967,00.000,-78.463,300.000,1,1,48080.004,-179.700,-0.338,00.004,-179.996,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.20,cobra,1,200,0,19040.001,04.069,5000.000,179.704,00.000,-11.655,300.000,01.021,4572.000,124.969,00.000,-78.463,300.000,1,1,48080.004,-179.662,-0.300,-179.996,00.004,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.30,viper,1,100,0,-29010.003,00.636,5000.000,359.625,00.000,-12.985,300.000,01.026,4572.000,304.965,00.000,-78.463,300.000,1,1,48020.005,-179.661,-0.380,00.004,-179.996,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.30,cobra,1,200,0,19010.002,04.244,5000.000,179.666,00.000,-12.323,300.000,01.024,4572.000,124.967,00.000,-78.463,300.000,1,1,48020.005,-179.620,-0.339,-179.996,00.004,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.40,viper,1,100,0,-28980.003,00.417,5000.000,359.581,00.000,-13.639,300.000,01.029,4572.000,304.963,00.000,-78.463,300.000,1,1,47960.006,-179.620,-0.423,00.005,-179.995,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.40,cobra,1,200,0,18980.003,04.440,5000.000,179.625,00.000,-12.985,300.000,01.026,4572.000,124.965,00.000,-78.463,300.000,1,1,47960.006,-179.577,-0.380,-179.995,00.005,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.50,viper,1,100,0,-28950.004,00.174,5000.000,359.536,00.000,-14.288,300.000,01.032,4572.000,304.961,00.000,-78.463,300.000,1,1,47900.008,-179.576,-0.469,00.005,-179.995,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.50,cobra,1,200,0,18950.003,04.660,5000.000,179.581,00.000,-13.639,300.000,01.029,4572.000,124.963,00.000,-78.463,300.000,1,1,47900.008,-179.531,-0.424,-179.995,00.005,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.60,viper,1,100,0,-28920.006,-0.094,5000.000,359.488,00.000,-14.929,300.000,01.035,4572.000,304.959,00.000,-78.463,300.000,1,1,47840.010,-179.530,-0.518,00.006,-179.994,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.60,cobra,1,200,0,18920.004,04.903,5000.000,179.536,00.000,-14.288,300.000,01.032,4572.000,124.962,00.000,-78.463,300.000,1,1,47840.010,-179.482,-0.470,-179.994,00.006,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.70,viper,1,100,0,-28890.007,-0.388,5000.000,359.438,00.000,-15.565,300.000,01.038,4572.000,304.958,00.000,-78.463,300.000,1,1,47780.013,-179.482,-0.568,00.007,-179.993,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.70,cobra,1,200,0,18890.006,05.170,5000.000,179.488,00.000,-14.929,300.000,01.035,4572.000,124.960,00.000,-78.463,300.000,1,1,47780.013,-179.432,-0.518,-179.993,00.007,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.80,viper,1,100,0,-28860.009,-0.710,5000.000,359.386,00.000,-16.194,300.000,01.041,4572.000,304.956,00.000,-78.463,300.000,1,1,47720.016,-179.431,-0.621,00.007,-179.993,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.80,cobra,1,200,0,18860.007,05.465,5000.000,179.438,00.000,-15.565,300.000,01.038,4572.000,124.958,00.000,-78.463,300.000,1,1,47720.016,-179.379,-0.569,-179.993,00.007,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.90,viper,1,100,0,-28830.011,-1.060,5000.000,359.332,00.000,-16.816,300.000,01.045,4572.000,304.954,00.000,-78.463,300.000,1,1,47660.020,-179.378,-0.676,00.008,-179.992,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
03.90,cobra,1,200,0,18830.009,05.786,5000.000,179.386,00.000,-16.194,300.000,01.041,4572.000,124.957,00.000,-78.463,300.000,1,1,47660.020,-179.324,-0.622,-179.992,00.008,00.500,00.000,00.000,00.000,1,0,0,0,0,00.000,ATTACK,ATTACK
