timestep,launcher_callsign,launcher_alive,launcher_id,launcher_x,launcher_y,launcher_z,launcher_psi,launcher_theta,launcher_phi,launcher_v,wpn_id,weapon_id,wpn_alive,wpn_x,wpn_y,wpn_z,wpn_psi,wpn_theta,wpn_phi,wpn_v,wpn_type,wpn_status,target_id,target_name,target_x,target_y,target_z,target_psi,target_theta,target_v,target_range,target_ata,target_aa,target_impact
01.30,cobra,1,200,19610.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19610.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29640.000,02.934,5000.000,359.947,00.000,300.000,49250.000,-0.001,-179.946,0
01.40,viper,1,100,-29580.000,02.850,5000.000,359.910,00.000,-6.786,300.000,0,0,1,-29580.000,03.008,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19610.000,04.071,5000.000,180.000,00.000,300.000,49220.000,-0.001,-179.999,0
01.40,cobra,1,200,19580.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19580.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29610.000,02.897,5000.000,359.929,00.000,300.000,49190.000,-0.001,-179.928,0
01.50,viper,1,100,-29550.000,02.791,5000.000,359.887,00.000,-7.502,300.000,0,0,1,-29550.000,03.008,5000.000,00.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,200,cobra,19580.000,04.071,5000.000,180.000,00.000,300.000,49160.000,-0.001,-179.999,0
01.50,cobra,1,200,19550.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19550.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29580.000,02.850,5000.000,359.910,00.000,300.000,49130.000,-0.001,-179.908,0
01.60,viper,1,100,-29520.000,02.719,5000.000,359.863,00.000,-8.212,300.000,0,0,1,-29519.900,03.008,5000.000,00.000,00.000,00.000,301.000,AAM_SARH,INFLIGHT,200,cobra,19550.000,04.071,5000.000,180.000,00.000,300.000,49100.000,-0.001,-179.999,0
01.60,cobra,1,200,19520.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19520.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29550.000,02.791,5000.000,359.887,00.000,300.000,49070.000,-0.001,-179.886,0
01.70,viper,1,100,-29490.000,02.633,5000.000,359.836,00.000,-8.915,300.000,0,0,1,-29489.700,03.008,5000.000,00.000,00.000,84.635,302.000,AAM_SARH,INFLIGHT,200,cobra,19520.000,04.071,5000.000,180.000,00.000,300.000,49039.900,-0.001,-179.999,0
01.70,cobra,1,200,19490.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19490.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,SELECTED,100,viper,-29520.000,02.719,5000.000,359.863,00.000,300.000,49010.000,-0.002,-179.861,0
01.80,viper,1,100,-29460.001,02.531,5000.000,359.806,00.000,-9.610,300.000,0,0,1,-29459.418,04.056,5000.000,01.981,00.000,67.708,303.000,AAM_SARH,INFLIGHT,200,cobra,19490.000,04.071,5000.000,180.000,00.000,300.000,48979.700,-0.001,-179.999,0
01.80,cobra,1,200,19460.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19460.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,LAUNCH,100,viper,-29490.000,02.633,5000.000,359.836,00.000,300.000,48950.000,-0.002,-179.834,0
01.90,viper,1,100,-29430.001,02.413,5000.000,359.775,00.000,-10.299,300.000,0,0,1,-29429.029,04.867,5000.000,01.529,00.000,-98.176,304.000,AAM_SARH,INFLIGHT,200,cobra,19460.000,04.071,5000.000,180.000,00.000,300.000,48919.418,01.981,-180.000,0
01.90,cobra,1,200,19430.000,04.071,5000.000,180.000,00.000,00.000,300.000,0,0,1,19430.000,04.071,5000.000,180.000,00.000,00.000,300.000,AAM_SARH,INFLIGHT,100,viper,-29460.001,02.531,5000.000,359.806,00.000,300.000,48890.001,-0.002,-179.804,0
02.00,viper,1,100,-29400.001,02.277,5000.000,359.740,00.000,-10.980,300.000,0,0,1,-29398.529,04.996,5000.000,00.242,00.000,-64.999,305.000,AAM_SARH,INFLIGHT,200,cobra,19430.000,04.071,5000.000,180.000,00.000,300.000,48859.029,01.530,179.999,0
02.00,cobra,1,200,19400.000,04.071,5000.000,180.000,00.000,-0.785,300.000,0,0,1,19400.000,04.071,5000.000,180.000,00.000,84.635,300.000,AAM_SARH,INFLIGHT,100,viper,-29430.001,02.413,5000.000,359.775,00.000,300.000,48860.001,-0.002,-179.773,0
