timestep,parent,callsign,id,side,x,y,z,psi,theta,phi,v,track_range,track_ata,track_aa,track_azimuth,track_elevation,start_time,total_time,sensor_mode,radar_track,rwr_track,detected,spiked,in_range,in_fov
00.00,viper,cobra,200,2,20000.000,-4.100,5000.000,180.000,00.000,00.000,300.000,50000.000,00.003,179.997,-0.003,90.000,00.000,00.100,SensorMode.SEARCH,1,0,0,0,1,1
00.00,cobra,viper,100,1,-30000.000,-1.789,5000.000,00.000,00.000,00.000,300.000,50000.000,00.003,179.997,-0.003,90.000,00.000,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,viper,cobra,200,2,19970.000,-4.100,5000.000,180.000,00.000,00.000,300.000,49940.000,00.003,179.997,-0.003,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,cobra,viper,100,1,-29970.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49940.000,00.003,179.997,-0.003,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,viper,cobra,200,2,19940.000,-4.100,5000.000,180.000,00.000,00.000,300.000,49880.000,00.003,179.997,-0.003,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,cobra,viper,100,1,-29940.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49880.000,00.003,179.997,-0.003,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,viper,cobra,200,2,19910.000,-4.100,5000.000,180.000,00.000,00.000,300.000,49820.000,00.003,179.997,-0.003,90.000,00.300,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,cobra,viper,100,1,-29910.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49820.000,00.003,179.997,-0.003,90.000,00.300,00.100,SensorMode.STT,1,1,1,0,1,1
00.40,viper,cobra,200,2,19880.000,-4.100,5000.000,180.000,00.000,00.000,300.000,49760.000,00.003,179.997,-0.003,90.000,00.400,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.40,cobra,viper,100,1,-29880.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49760.000,00.003,179.997,-0.003,90.000,00.400,00.100,SensorMode.STT,1,1,1,0,1,1
00.50,viper,cobra,200,2,19850.000,-4.100,5000.000,180.000,00.000,00.000,300.000,49700.000,00.003,179.997,-0.003,90.000,00.500,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.50,cobra,viper,100,1,-29850.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49700.000,00.003,179.997,-0.003,90.000,00.500,00.100,SensorMode.STT,1,1,1,0,1,1
00.60,viper,cobra,200,2,19820.000,-4.100,5000.000,180.000,00.000,00.785,300.000,49640.000,00.003,179.997,-0.003,90.000,00.600,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.60,cobra,viper,100,1,-29820.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49640.000,00.003,179.997,-0.003,90.000,00.600,00.100,SensorMode.STT,1,1,1,0,1,1
00.70,viper,cobra,200,2,19790.000,-4.101,5000.000,180.003,00.000,01.561,300.000,49580.000,00.003,179.995,-0.003,90.000,00.700,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.70,cobra,viper,100,1,-29790.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49580.000,00.005,179.997,-0.005,90.000,00.700,00.100,SensorMode.STT,1,1,1,0,1,1
00.80,viper,cobra,200,2,19760.000,-4.105,5000.000,180.008,00.000,02.330,300.000,49520.000,00.003,179.990,-0.003,90.000,00.800,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.80,cobra,viper,100,1,-29760.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49520.000,00.010,179.997,-0.010,90.000,00.800,00.100,SensorMode.STT,1,1,1,0,1,1
00.90,viper,cobra,200,2,19730.000,-4.113,5000.000,180.015,00.000,03.092,300.000,49460.000,00.003,179.982,-0.003,90.000,00.900,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.90,cobra,viper,100,1,-29730.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49460.000,00.018,179.997,-0.018,90.000,00.900,00.100,SensorMode.STT,1,1,1,0,1,1
01.00,viper,cobra,200,2,19700.000,-4.126,5000.000,180.025,00.000,03.845,300.000,49400.000,00.003,179.972,-0.003,90.000,01.000,00.100,SensorMode.STT,1,1,1,1,1,1
01.00,cobra,viper,100,1,-29700.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49400.000,00.028,179.997,-0.028,90.000,01.000,00.100,SensorMode.STT,1,1,1,1,1,1
01.10,viper,cobra,200,2,19670.000,-4.146,5000.000,180.038,00.000,04.592,300.000,49340.000,00.003,179.959,-0.003,90.000,01.100,00.100,SensorMode.STT,1,1,1,1,1,1
01.10,cobra,viper,100,1,-29670.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49340.000,00.041,179.997,-0.041,90.000,01.100,00.100,SensorMode.STT,1,1,1,1,1,1
01.20,viper,cobra,200,2,19640.000,-4.174,5000.000,180.053,00.000,05.330,300.000,49280.000,00.003,179.944,-0.003,90.000,01.200,00.100,SensorMode.STT,1,1,1,1,1,1
01.20,cobra,viper,100,1,-29640.000,-1.789,5000.000,00.000,00.000,00.000,300.000,49280.000,00.056,179.997,-0.056,90.000,01.200,00.100,SensorMode.STT,1,1,1,1,1,1
01.30,viper,cobra,200,2,19610.000,-4.211,5000.000,180.071,00.000,06.062,300.000,49220.000,00.003,179.927,-0.003,90.000,01.300,00.100,SensorMode.STT,1,1,1,1,1,1
01.30,cobra,viper,100,1,-29610.000,-1.789,5000.000,00.000,00.000,00.785,300.000,49220.000,00.073,179.997,-0.073,90.000,01.300,00.100,SensorMode.STT,1,1,1,1,1,1
01.40,viper,cobra,200,2,19580.000,-4.258,5000.000,180.090,00.000,06.786,300.000,49160.000,00.005,179.907,-0.005,90.000,01.400,00.100,SensorMode.STT,1,1,1,1,1,1
01.40,cobra,viper,100,1,-29580.000,-1.787,5000.000,00.003,00.000,01.561,300.000,49160.000,00.093,179.995,-0.093,90.000,01.400,00.100,SensorMode.STT,1,1,1,1,1,1
01.50,viper,cobra,200,2,19550.000,-4.317,5000.000,180.113,00.000,07.502,300.000,49100.000,00.011,179.884,-0.011,90.000,01.500,00.100,SensorMode.STT,1,1,1,1,1,1
01.50,cobra,viper,100,1,-29550.000,-1.783,5000.000,00.008,00.000,02.330,300.000,49100.000,00.116,179.989,-0.116,90.000,01.500,00.100,SensorMode.STT,1,1,1,1,1,1
01.60,viper,cobra,200,2,19520.000,-4.389,5000.000,180.137,00.000,08.212,300.000,49040.000,00.018,179.860,-0.018,90.000,01.600,00.100,SensorMode.STT,1,1,1,1,1,1
01.60,cobra,viper,100,1,-29520.000,-1.775,5000.000,00.015,00.000,03.092,300.000,49040.000,00.140,179.982,-0.140,90.000,01.600,00.100,SensorMode.STT,1,1,1,1,1,1
01.70,viper,cobra,200,2,19490.000,-4.475,5000.000,180.164,00.000,08.915,300.000,48980.000,00.029,179.832,-0.029,90.000,01.700,00.100,SensorMode.STT,1,1,1,1,1,1
01.70,cobra,viper,100,1,-29490.000,-1.762,5000.000,00.025,00.000,03.845,300.000,48980.000,00.168,179.971,-0.168,90.000,01.700,00.100,SensorMode.STT,1,1,1,1,1,1
01.80,viper,cobra,200,2,19460.001,-4.577,5000.000,180.194,00.000,09.610,300.000,48920.001,00.041,179.803,-0.041,90.000,01.800,00.100,SensorMode.STT,1,1,1,1,1,1
01.80,cobra,viper,100,1,-29460.000,-1.742,5000.000,00.038,00.000,04.592,300.000,48920.001,00.197,179.959,-0.197,90.000,01.800,00.100,SensorMode.STT,1,1,1,1,1,1
01.90,viper,cobra,200,2,19430.001,-4.695,5000.000,180.225,00.000,10.299,300.000,48860.001,00.057,179.771,-0.057,90.000,01.900,00.100,SensorMode.STT,1,1,1,1,1,1
01.90,cobra,viper,100,1,-29430.000,-1.714,5000.000,00.053,00.000,05.330,300.000,48860.001,00.229,179.943,-0.229,90.000,01.900,00.100,SensorMode.STT,1,1,1,1,1,1
02.00,viper,cobra,200,2,19400.001,-4.831,5000.000,180.260,00.000,10.980,300.000,48800.001,00.074,179.737,-0.074,90.000,02.000,00.100,SensorMode.STT,1,1,1,1,1,1
02.00,cobra,viper,100,1,-29400.000,-1.677,5000.000,00.071,00.000,06.062,300.000,48800.001,00.263,179.926,-0.263,90.000,02.000,00.100,SensorMode.STT,1,1,1,1,1,1
02.10,viper,cobra,200,2,19370.001,-4.985,5000.000,180.296,00.000,11.655,300.000,48740.002,00.094,179.700,-0.094,90.000,02.100,00.100,SensorMode.STT,1,1,1,1,1,1
02.10,cobra,viper,100,1,-29370.000,-1.630,5000.000,00.090,00.000,06.786,300.000,48740.002,00.300,179.906,-0.300,90.000,02.100,00.100,SensorMode.STT,1,1,1,1,1,1
02.20,viper,cobra,200,2,19340.002,-5.161,5000.000,180.334,00.000,12.323,300.000,48680.002,00.117,179.661,-0.117,90.000,02.200,00.100,SensorMode.STT,1,1,1,1,1,1
02.20,cobra,viper,100,1,-29340.000,-1.571,5000.000,00.113,00.000,07.502,300.000,48680.002,00.339,179.883,-0.339,90.000,02.200,00.100,SensorMode.STT,1,1,1,1,1,1
02.30,viper,cobra,200,2,19310.003,-5.357,5000.000,180.375,00.000,12.985,300.000,48620.003,00.142,179.620,-0.142,90.000,02.300,00.100,SensorMode.STT,1,1,1,1,1,1
02.30,cobra,viper,100,1,-29310.000,-1.499,5000.000,00.137,00.000,08.212,300.000,48620.003,00.380,179.858,-0.380,90.000,02.300,00.100,SensorMode.STT,1,1,1,1,1,1
02.40,viper,cobra,200,2,19280.003,-5.576,5000.000,180.419,00.000,13.639,300.000,48560.004,00.169,179.577,-0.169,90.000,02.400,00.100,SensorMode.STT,1,1,1,1,1,1
02.40,cobra,viper,100,1,-29280.000,-1.413,5000.000,00.164,00.000,08.915,300.000,48560.004,00.423,179.831,-0.423,90.000,02.400,00.100,SensorMode.STT,1,1,1,1,1,1
