timestep,parent,callsign,id,side,x,y,z,psi,theta,phi,v,track_range,track_ata,track_aa,track_azimuth,track_elevation,start_time,total_time,sensor_mode,radar_track,rwr_track,detected,spiked,in_range,in_fov
00.00,viper,cobra,200,2,20000.000,-3.930,5000.000,180.000,00.000,00.000,300.000,50000.000,00.005,179.995,-0.005,90.000,00.000,00.100,SensorMode.SEARCH,1,0,0,0,1,1
00.00,cobra,viper,100,1,-30000.000,00.684,5000.000,00.000,00.000,00.000,300.000,50000.000,00.005,179.995,-0.005,90.000,00.000,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,viper,cobra,200,2,19970.000,-3.930,5000.000,180.000,00.000,00.000,300.000,49940.000,00.005,179.995,-0.005,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,cobra,viper,100,1,-29970.000,00.684,5000.000,00.000,00.000,00.000,300.000,49940.000,00.005,179.995,-0.005,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,viper,cobra,200,2,19940.000,-3.930,5000.000,180.000,00.000,00.000,300.000,49880.000,00.005,179.995,-0.005,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,cobra,viper,100,1,-29940.000,00.684,5000.000,00.000,00.000,00.000,300.000,49880.000,00.005,179.995,-0.005,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,viper,cobra,200,2,19910.000,-3.930,5000.000,180.000,00.000,00.000,300.000,49820.000,00.005,179.995,-0.005,90.000,00.300,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,cobra,viper,100,1,-29910.000,00.684,5000.000,00.000,00.000,00.000,300.000,49820.000,00.005,179.995,-0.005,90.000,00.300,00.100,SensorMode.STT,1,1,1,0,1,1
00.40,viper,cobra,200,2,19880.000,-3.930,5000.000,180.000,00.000,00.000,300.000,49760.000,00.005,179.995,-0.005,90.000,00.400,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.40,cobra,viper,100,1,-29880.000,00.684,5000.000,00.000,00.000,00.000,300.000,49760.000,00.005,179.995,-0.005,90.000,00.400,00.100,SensorMode.STT,1,1,1,0,1,1
00.50,viper,cobra,200,2,19850.000,-3.930,5000.000,180.000,00.000,00.000,300.000,49700.000,00.005,179.995,-0.005,90.000,00.500,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.50,cobra,viper,100,1,-29850.000,00.684,5000.000,00.000,00.000,00.000,300.000,49700.000,00.005,179.995,-0.005,90.000,00.500,00.100,SensorMode.STT,1,1,1,0,1,1
00.60,viper,cobra,200,2,19820.000,-3.930,5000.000,180.000,00.000,00.785,300.000,49640.000,00.005,179.995,-0.005,90.000,00.600,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.60,cobra,viper,100,1,-29820.000,00.684,5000.000,00.000,00.000,00.000,300.000,49640.000,00.005,179.995,-0.005,90.000,00.600,00.100,SensorMode.STT,1,1,1,0,1,1
00.70,viper,cobra,200,2,19790.000,-3.931,5000.000,180.003,00.000,01.561,300.000,49580.000,00.005,179.992,-0.005,90.000,00.700,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.70,cobra,viper,100,1,-29790.000,00.684,5000.000,00.000,00.000,00.000,300.000,49580.000,00.008,179.995,-0.008,90.000,00.700,00.100,SensorMode.STT,1,1,1,0,1,1
00.80,viper,cobra,200,2,19760.000,-3.935,5000.000,180.008,00.000,02.330,300.000,49520.000,00.005,179.987,-0.005,90.000,00.800,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.80,cobra,viper,100,1,-29760.000,00.684,5000.000,00.000,00.000,00.000,300.000,49520.000,00.013,179.995,-0.013,90.000,00.800,00.100,SensorMode.STT,1,1,1,0,1,1
00.90,viper,cobra,200,2,19730.000,-3.943,5000.000,180.015,00.000,03.092,300.000,49460.000,00.005,179.979,-0.005,90.000,00.900,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.90,cobra,viper,100,1,-29730.000,00.684,5000.000,00.000,00.000,00.000,300.000,49460.000,00.021,179.995,-0.021,90.000,00.900,00.100,SensorMode.STT,1,1,1,0,1,1
01.00,viper,cobra,200,2,19700.000,-3.957,5000.000,180.025,00.000,03.845,300.000,49400.000,00.005,179.969,-0.005,90.000,01.000,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.00,cobra,viper,100,1,-29700.000,00.684,5000.000,00.000,00.000,00.000,300.000,49400.000,00.031,179.995,-0.031,90.000,01.000,00.100,SensorMode.STT,1,1,1,0,1,1
01.10,viper,cobra,200,2,19670.000,-3.976,5000.000,180.038,00.000,04.592,300.000,49340.000,00.005,179.957,-0.005,90.000,01.100,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.10,cobra,viper,100,1,-29670.000,00.684,5000.000,00.000,00.000,00.000,300.000,49340.000,00.043,179.995,-0.043,90.000,01.100,00.100,SensorMode.STT,1,1,1,0,1,1
01.20,viper,cobra,200,2,19640.000,-4.004,5000.000,180.053,00.000,05.330,300.000,49280.000,00.005,179.942,-0.005,90.000,01.200,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.20,cobra,viper,100,1,-29640.000,00.684,5000.000,00.000,00.000,00.000,300.000,49280.000,00.058,179.995,-0.058,90.000,01.200,00.100,SensorMode.STT,1,1,1,0,1,1
01.30,viper,cobra,200,2,19610.000,-4.041,5000.000,180.071,00.000,06.062,300.000,49220.000,00.006,179.924,-0.006,90.000,01.300,00.100,SensorMode.STT,1,1,1,1,1,1
01.30,cobra,viper,100,1,-29610.000,00.684,5000.000,00.000,00.000,00.000,300.000,49220.000,00.076,179.994,-0.076,90.000,01.300,00.100,SensorMode.STT,1,1,1,1,1,1
01.40,viper,cobra,200,2,19580.000,-4.088,5000.000,180.090,00.000,06.786,300.000,49160.000,00.006,179.904,-0.006,90.000,01.400,00.100,SensorMode.STT,1,1,1,1,1,1
01.40,cobra,viper,100,1,-29580.000,00.684,5000.000,00.000,00.000,00.000,300.000,49160.000,00.096,179.994,-0.096,90.000,01.400,00.100,SensorMode.STT,1,1,1,1,1,1
01.50,viper,cobra,200,2,19550.000,-4.147,5000.000,180.113,00.000,07.502,300.000,49100.000,00.006,179.882,-0.006,90.000,01.500,00.100,SensorMode.STT,1,1,1,1,1,1
01.50,cobra,viper,100,1,-29550.000,00.684,5000.000,00.000,00.000,00.000,300.000,49100.000,00.118,179.994,-0.118,90.000,01.500,00.100,SensorMode.STT,1,1,1,1,1,1
01.60,viper,cobra,200,2,19520.000,-4.219,5000.000,180.137,00.000,08.212,300.000,49040.000,00.006,179.857,-0.006,90.000,01.600,00.100,SensorMode.STT,1,1,1,1,1,1
01.60,cobra,viper,100,1,-29520.000,00.684,5000.000,00.000,00.000,00.785,300.000,49040.000,00.143,179.994,-0.143,90.000,01.600,00.100,SensorMode.STT,1,1,1,1,1,1
01.70,viper,cobra,200,2,19490.000,-4.305,5000.000,180.164,00.000,08.915,300.000,48980.001,00.008,179.830,-0.008,90.000,01.700,00.100,SensorMode.STT,1,1,1,1,1,1
01.70,cobra,viper,100,1,-29490.000,00.685,5000.000,00.003,00.000,01.561,300.000,48980.001,00.170,179.992,-0.170,90.000,01.700,00.100,SensorMode.STT,1,1,1,1,1,1
01.80,viper,cobra,200,2,19460.001,-4.407,5000.000,180.194,00.000,09.610,300.000,48920.001,00.014,179.800,-0.014,90.000,01.800,00.100,SensorMode.STT,1,1,1,1,1,1
01.80,cobra,viper,100,1,-29460.000,00.689,5000.000,00.008,00.000,02.330,300.000,48920.001,00.200,179.986,-0.200,90.000,01.800,00.100,SensorMode.STT,1,1,1,1,1,1
01.90,viper,cobra,200,2,19430.001,-4.525,5000.000,180.225,00.000,10.299,300.000,48860.001,00.021,179.768,-0.021,90.000,01.900,00.100,SensorMode.STT,1,1,1,1,1,1
01.90,cobra,viper,100,1,-29430.000,00.697,5000.000,00.015,00.000,03.092,300.000,48860.001,00.232,179.979,-0.232,90.000,01.900,00.100,SensorMode.STT,1,1,1,1,1,1
02.00,viper,cobra,200,2,19400.001,-4.661,5000.000,180.260,00.000,10.980,300.000,48800.001,00.032,179.734,-0.032,90.000,02.000,00.100,SensorMode.STT,1,1,1,1,1,1
02.00,cobra,viper,100,1,-29400.000,00.710,5000.000,00.025,00.000,03.845,300.000,48800.001,00.266,179.968,-0.266,90.000,02.000,00.100,SensorMode.STT,1,1,1,1,1,1
02.10,viper,cobra,200,2,19370.001,-4.816,5000.000,180.296,00.000,11.655,300.000,48740.002,00.045,179.698,-0.045,90.000,02.100,00.100,SensorMode.STT,1,1,1,1,1,1
02.10,cobra,viper,100,1,-29370.000,00.730,5000.000,00.038,00.000,04.592,300.000,48740.002,00.302,179.955,-0.302,90.000,02.100,00.100,SensorMode.STT,1,1,1,1,1,1
02.20,viper,cobra,200,2,19340.002,-4.991,5000.000,180.334,00.000,12.323,300.000,48680.002,00.060,179.659,-0.060,90.000,02.200,00.100,SensorMode.STT,1,1,1,1,1,1
02.20,cobra,viper,100,1,-29340.000,00.758,5000.000,00.053,00.000,05.330,300.000,48680.002,00.341,179.940,-0.341,90.000,02.200,00.100,SensorMode.STT,1,1,1,1,1,1
02.30,viper,cobra,200,2,19310.003,-5.187,5000.000,180.375,00.000,12.985,300.000,48620.003,00.078,179.618,-0.078,90.000,02.300,00.100,SensorMode.STT,1,1,1,1,1,1
02.30,cobra,viper,100,1,-29310.000,00.795,5000.000,00.071,00.000,06.062,300.000,48620.003,00.382,179.922,-0.382,90.000,02.300,00.100,SensorMode.STT,1,1,1,1,1,1
02.40,viper,cobra,200,2,19280.003,-5.407,5000.000,180.419,00.000,13.639,300.000,48560.004,00.098,179.574,-0.098,90.000,02.400,00.100,SensorMode.STT,1,1,1,1,1,1
02.40,cobra,viper,100,1,-29280.000,00.842,5000.000,00.090,00.000,06.786,300.000,48560.004,00.426,179.902,-0.426,90.000,02.400,00.100,SensorMode.STT,1,1,1,1,1,1
02.50,viper,cobra,200,2,19250.004,-5.650,5000.000,180.464,00.000,14.288,300.000,48500.005,00.120,179.528,-0.120,90.000,02.500,00.100,SensorMode.STT,1,1,1,1,1,1
02.50,cobra,viper,100,1,-29250.000,00.901,5000.000,00.113,00.000,07.502,300.000,48500.005,00.472,179.880,-0.472,90.000,02.500,00.100,SensorMode.STT,1,1,1,1,1,1
02.60,viper,cobra,200,2,19220.006,-5.918,5000.000,180.512,00.000,14.929,300.000,48440.006,00.146,179.480,-0.146,90.000,02.600,00.100,SensorMode.STT,1,1,1,1,1,1
02.60,cobra,viper,100,1,-29220.000,00.973,5000.000,00.137,00.000,08.212,300.000,48440.006,00.520,179.854,-0.520,90.000,02.600,00.100,SensorMode.STT,1,1,1,1,1,1
02.70,viper,cobra,200,2,19190.007,-6.212,5000.000,180.562,00.000,15.565,300.000,48380.008,00.173,179.430,-0.173,90.000,02.700,00.100,SensorMode.STT,1,1,1,1,1,1
02.70,cobra,viper,100,1,-29190.000,01.059,5000.000,00.164,00.000,08.915,300.000,48380.008,00.570,179.827,-0.570,90.000,02.700,00.100,SensorMode.STT,1,1,1,1,1,1
02.80,viper,cobra,200,2,19160.009,-6.533,5000.000,180.614,00.000,16.194,300.000,48320.010,00.203,179.377,-0.203,90.000,02.800,00.100,SensorMode.STT,1,1,1,1,1,1
02.80,cobra,viper,100,1,-29160.001,01.161,5000.000,00.194,00.000,09.610,300.000,48320.010,00.623,179.797,-0.623,90.000,02.800,00.100,SensorMode.STT,1,1,1,1,1,1
02.90,viper,cobra,200,2,19130.011,-6.883,5000.000,180.668,00.000,16.816,300.000,48260.012,00.235,179.322,-0.235,90.000,02.900,00.100,SensorMode.STT,1,1,1,1,1,1
02.90,cobra,viper,100,1,-29130.001,01.279,5000.000,00.225,00.000,10.299,300.000,48260.012,00.678,179.765,-0.678,90.000,02.900,00.100,SensorMode.STT,1,1,1,1,1,1
03.00,viper,cobra,200,2,19100.013,-7.262,5000.000,180.725,00.000,17.433,300.000,48200.015,00.270,179.265,-0.270,90.000,03.000,00.100,SensorMode.STT,1,1,1,1,1,1
03.00,cobra,viper,100,1,-29100.001,01.415,5000.000,00.260,00.000,10.980,300.000,48200.015,00.735,179.730,-0.735,90.000,03.000,00.100,SensorMode.STT,1,1,1,1,1,1
03.10,viper,cobra,200,2,19070.016,-7.673,5000.000,180.784,00.000,18.043,300.000,48140.018,00.307,179.205,-0.307,90.000,03.100,00.100,SensorMode.STT,1,1,1,1,1,1
03.10,cobra,viper,100,1,-29070.001,01.570,5000.000,00.296,00.000,11.655,300.000,48140.018,00.795,179.693,-0.795,90.000,03.100,00.100,SensorMode.STT,1,1,1,1,1,1
03.20,viper,cobra,200,2,19040.019,-8.115,5000.000,180.845,00.000,18.647,300.000,48080.022,00.346,179.144,-0.346,90.000,03.200,00.100,SensorMode.STT,1,1,1,1,1,1
03.20,cobra,viper,100,1,-29040.002,01.745,5000.000,00.334,00.000,12.323,300.000,48080.022,00.856,179.654,-0.856,90.000,03.200,00.100,SensorMode.STT,1,1,1,1,1,1
03.30,viper,cobra,200,2,19010.023,-8.590,5000.000,180.908,00.000,19.245,300.000,48020.027,00.388,179.080,-0.388,90.000,03.300,00.100,SensorMode.STT,1,1,1,1,1,1
