timestep,parent,callsign,id,side,x,y,z,psi,theta,phi,v,track_range,track_ata,track_aa,track_azimuth,track_elevation,start_time,total_time,sensor_mode,radar_track,rwr_track,detected,spiked,in_range,in_fov
00.00,viper,cobra,200,2,20000.000,03.568,5000.000,180.000,00.000,00.000,300.000,50000.001,-0.008,-179.992,00.008,90.000,00.000,00.100,SensorMode.SEARCH,1,0,0,0,1,1
00.00,cobra,viper,100,1,-30000.000,-3.759,5000.000,00.000,00.000,00.000,300.000,50000.001,-0.008,-179.992,00.008,90.000,00.000,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,viper,cobra,200,2,19970.000,03.568,5000.000,180.000,00.000,00.000,300.000,49940.001,-0.008,-179.992,00.008,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,cobra,viper,100,1,-29970.000,-3.759,5000.000,00.000,00.000,00.000,300.000,49940.001,-0.008,-179.992,00.008,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,viper,cobra,200,2,19940.000,03.568,5000.000,180.000,00.000,00.000,300.000,49880.001,-0.008,-179.992,00.008,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,cobra,viper,100,1,-29940.000,-3.759,5000.000,00.000,00.000,00.000,300.000,49880.001,-0.008,-179.992,00.008,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,viper,cobra,200,2,19910.000,03.568,5000.000,180.000,00.000,00.000,300.000,49820.001,-0.008,-179.992,00.008,90.000,00.300,00.100,SensorMode.STT,1,1,1,0,1,1
00.30,cobra,viper,100,1,-29910.000,-3.759,5000.000,00.000,00.000,00.000,300.000,49820.001,-0.008,-179.992,00.008,90.000,00.300,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.40,viper,cobra,200,2,19880.000,03.568,5000.000,180.000,00.000,00.000,300.000,49760.001,-0.008,-179.992,00.008,90.000,00.400,00.100,SensorMode.STT,1,1,1,0,1,1
00.40,cobra,viper,100,1,-29880.000,-3.759,5000.000,00.000,00.000,00.000,300.000,49760.001,-0.008,-179.992,00.008,90.000,00.400,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.50,viper,cobra,200,2,19850.000,03.568,5000.000,180.000,00.000,00.000,300.000,49700.001,-0.008,-179.992,00.008,90.000,00.500,00.100,SensorMode.STT,1,1,1,0,1,1
00.50,cobra,viper,100,1,-29850.000,-3.759,5000.000,00.000,00.000,00.000,300.000,49700.001,-0.008,-179.992,00.008,90.000,00.500,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.60,viper,cobra,200,2,19820.000,03.568,5000.000,180.000,00.000,00.000,300.000,49640.001,-0.008,-179.992,00.008,90.000,00.600,00.100,SensorMode.STT,1,1,1,0,1,1
00.60,cobra,viper,100,1,-29820.000,-3.759,5000.000,00.000,00.000,-0.785,300.000,49640.001,-0.008,-179.992,00.008,90.000,00.600,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.70,viper,cobra,200,2,19790.000,03.568,5000.000,180.000,00.000,00.000,300.000,49580.001,-0.011,-179.992,00.011,90.000,00.700,00.100,SensorMode.STT,1,1,1,0,1,1
00.70,cobra,viper,100,1,-29790.000,-3.760,5000.000,359.997,00.000,-1.561,300.000,49580.001,-0.008,-179.989,00.008,90.000,00.700,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.80,viper,cobra,200,2,19760.000,03.568,5000.000,180.000,00.000,00.000,300.000,49520.001,-0.016,-179.992,00.016,90.000,00.800,00.100,SensorMode.STT,1,1,1,0,1,1
00.80,cobra,viper,100,1,-29760.000,-3.764,5000.000,359.992,00.000,-2.330,300.000,49520.001,-0.008,-179.984,00.008,90.000,00.800,00.100,SensorMode.SEARCH,1,1,1,1,1,1
00.90,viper,cobra,200,2,19730.000,03.568,5000.000,180.000,00.000,00.000,300.000,49460.001,-0.024,-179.991,00.024,90.000,00.900,00.100,SensorMode.STT,1,1,1,0,1,1
00.90,cobra,viper,100,1,-29730.000,-3.772,5000.000,359.985,00.000,-3.092,300.000,49460.001,-0.009,-179.976,00.009,90.000,00.900,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.00,viper,cobra,200,2,19700.000,03.568,5000.000,180.000,00.000,00.000,300.000,49400.001,-0.034,-179.991,00.034,90.000,01.000,00.100,SensorMode.STT,1,1,1,0,1,1
01.00,cobra,viper,100,1,-29700.000,-3.786,5000.000,359.975,00.000,-3.845,300.000,49400.001,-0.009,-179.966,00.009,90.000,01.000,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.10,viper,cobra,200,2,19670.000,03.568,5000.000,180.000,00.000,00.000,300.000,49340.001,-0.047,-179.991,00.047,90.000,01.100,00.100,SensorMode.STT,1,1,1,0,1,1
01.10,cobra,viper,100,1,-29670.000,-3.806,5000.000,359.962,00.000,-4.592,300.000,49340.001,-0.009,-179.953,00.009,90.000,01.100,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.20,viper,cobra,200,2,19640.000,03.568,5000.000,180.000,00.000,00.000,300.000,49280.001,-0.062,-179.991,00.062,90.000,01.200,00.100,SensorMode.STT,1,1,1,0,1,1
01.20,cobra,viper,100,1,-29640.000,-3.833,5000.000,359.947,00.000,-5.330,300.000,49280.001,-0.009,-179.938,00.009,90.000,01.200,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.30,viper,cobra,200,2,19610.000,03.568,5000.000,180.000,00.000,00.000,300.000,49220.001,-0.079,-179.991,00.079,90.000,01.300,00.100,SensorMode.STT,1,1,1,0,1,1
01.30,cobra,viper,100,1,-29610.000,-3.870,5000.000,359.929,00.000,-6.062,300.000,49220.001,-0.009,-179.921,00.009,90.000,01.300,00.100,SensorMode.SEARCH,1,1,1,1,1,1
01.40,viper,cobra,200,2,19580.000,03.568,5000.000,180.000,00.000,00.000,300.000,49160.001,-0.099,-179.991,00.099,90.000,01.400,00.100,SensorMode.STT,1,1,1,0,1,1
01.40,cobra,viper,100,1,-29580.000,-3.918,5000.000,359.910,00.000,-6.786,300.000,49160.001,-0.009,-179.901,00.009,90.000,01.400,00.100,SensorMode.STT,1,1,1,1,1,1
01.50,viper,cobra,200,2,19550.000,03.568,5000.000,180.000,00.000,00.000,300.000,49100.001,-0.121,-179.991,00.121,90.000,01.500,00.100,SensorMode.STT,1,1,1,1,1,1
01.50,cobra,viper,100,1,-29550.000,-3.977,5000.000,359.887,00.000,-7.502,300.000,49100.001,-0.009,-179.879,00.009,90.000,01.500,00.100,SensorMode.STT,1,1,1,1,1,1
01.60,viper,cobra,200,2,19520.000,03.568,5000.000,180.000,00.000,00.000,300.000,49040.001,-0.146,-179.991,00.146,90.000,01.600,00.100,SensorMode.STT,1,1,1,1,1,1
01.60,cobra,viper,100,1,-29520.000,-4.049,5000.000,359.863,00.000,-8.212,300.000,49040.001,-0.009,-179.854,00.009,90.000,01.600,00.100,SensorMode.STT,1,1,1,1,1,1
01.70,viper,cobra,200,2,19490.000,03.568,5000.000,180.000,00.000,-0.785,300.000,48980.001,-0.173,-179.991,00.173,90.000,01.700,00.100,SensorMode.STT,1,1,1,1,1,1
01.70,cobra,viper,100,1,-29490.000,-4.135,5000.000,359.836,00.000,-8.915,300.000,48980.001,-0.009,-179.827,00.009,90.000,01.700,00.100,SensorMode.STT,1,1,1,1,1,1
01.80,viper,cobra,200,2,19460.000,03.569,5000.000,179.997,00.000,-1.561,300.000,48920.001,-0.203,-179.988,00.203,90.000,01.800,00.100,SensorMode.STT,1,1,1,1,1,1
