,test_id,kcid,lmc_prior_code,lengthscale_prior_code,weight,y0,y3,y4
0,0,0,2,1,unweighted,0.4374,0.9425,0.8958
1,0,0,2,1,linear,0.7006,0.9425,0.8958
2,0,0,2,1,quadratic,0.8212,0.9425,0.8958
0,3,0,2,1,unweighted,0.7282,0.9622,0.9179
1,3,0,2,1,linear,0.8596,0.9622,0.9179
2,3,0,2,1,quadratic,0.918,0.9622,0.9179
0,0,0,2,1,unweighted,0.4492,0.9433,0.8958
1,0,0,2,1,linear,0.7098,0.9433,0.8958
2,0,0,2,1,quadratic,0.8268,0.9433,0.8958
0,3,0,2,1,unweighted,0.7226,0.935,0.9475
1,3,0,2,1,linear,0.859,0.935,0.9475
2,3,0,2,1,quadratic,0.9186,0.935,0.9475
0,0,0,2,1,unweighted,0.4461,0.9334,0.9141
1,0,0,2,1,linear,0.7214,0.9334,0.9141
2,0,0,2,1,quadratic,0.8445,0.9334,0.9141
0,3,0,2,1,unweighted,0.7299,0.9433,0.9167
1,3,0,2,1,linear,0.8588,0.9433,0.9167
2,3,0,2,1,quadratic,0.9177,0.9433,0.9167
0,0,0,2,1,unweighted,0.4579,0.8925,0.8809
1,0,0,2,1,linear,0.7314,0.8925,0.8809
2,0,0,2,1,quadratic,0.8508,0.8925,0.8809
0,3,0,2,1,unweighted,0.7521,0.953,0.8846
1,3,0,2,1,linear,0.8708,0.953,0.8846
2,3,0,2,1,quadratic,0.9239,0.953,0.8846
0,0,0,2,1,unweighted,0.4495,0.888,0.8828
1,0,0,2,1,linear,0.7215,0.888,0.8828
2,0,0,2,1,quadratic,0.8427,0.888,0.8828
0,3,0,2,1,unweighted,0.7081,0.9154,0.9055
1,3,0,2,1,linear,0.8434,0.9154,0.9055
2,3,0,2,1,quadratic,0.9062,0.9154,0.9055
0,0,0,2,1,unweighted,0.4262,0.9518,0.8593
1,0,0,2,1,linear,0.7107,0.9518,0.8593
2,0,0,2,1,quadratic,0.8371,0.9518,0.8593
0,3,0,2,1,unweighted,0.7429,0.8865,0.9154
1,3,0,2,1,linear,0.8684,0.8865,0.9154
2,3,0,2,1,quadratic,0.9255,0.8865,0.9154
0,0,0,2,1,unweighted,0.3947,0.8939,0.8226
1,0,0,2,1,linear,0.6965,0.8939,0.8226
2,0,0,2,1,quadratic,0.8299,0.8939,0.8226
0,3,0,2,1,unweighted,0.7394,0.9262,0.8988
1,3,0,2,1,linear,0.8689,0.9262,0.8988
2,3,0,2,1,quadratic,0.9258,0.9262,0.8988
0,0,0,2,1,unweighted,0.4413,0.8125,0.8448
1,0,0,2,1,linear,0.7109,0.8125,0.8448
2,0,0,2,1,quadratic,0.8272,0.8125,0.8448
0,3,0,2,1,unweighted,0.7275,0.9243,0.9276
1,3,0,2,1,linear,0.8577,0.9243,0.9276
2,3,0,2,1,quadratic,0.9132,0.9243,0.9276
0,0,0,2,1,unweighted,0.383,0.9078,0.8943
1,0,0,2,1,linear,0.6805,0.9078,0.8943
2,0,0,2,1,quadratic,0.8142,0.9078,0.8943
0,3,0,2,1,unweighted,0.7164,0.9433,0.8943
1,3,0,2,1,linear,0.8475,0.9433,0.8943
2,3,0,2,1,quadratic,0.9085,0.9433,0.8943
0,0,0,2,1,unweighted,0.4007,0.8939,0.8067
1,0,0,2,1,linear,0.6954,0.8939,0.8067
2,0,0,2,1,quadratic,0.8275,0.8939,0.8067
0,3,0,2,1,unweighted,0.7544,0.9066,0.9069
1,3,0,2,1,linear,0.8681,0.9066,0.9069
2,3,0,2,1,quadratic,0.9197,0.9066,0.9069
