,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,1,2,1,0,4101.776113607395,19.662979463845538,187.7091574776188,True,885,300,log,-64.0913,2084.86401,2086.1115,-2.7346,-2.3735
0,3,1,2,1,0,4779.55453637923,324.395584624962,222.89644896303219,True,885,300,log,-24.39203,2420.74292,2397.59785,-4.59735,-9.79685
0,0,1,2,1,0,4158.391035010607,22.69114364596882,190.09728783560843,True,885,300,log,-58.71509,2110.32834,2112.20283,-2.97073,-2.4543
0,3,1,2,1,0,4685.027785073277,282.6118319910823,216.50935053770834,True,885,300,log,-25.26227,2357.3483,2364.23575,-4.11315,-7.18083
0,0,2,2,1,0,4208.950668373449,26.30664479737164,191.38591839376414,True,885,300,log,-55.83369,2132.95675,2135.38066,-2.24107,-1.31198
0,3,2,2,1,0,4693.496938611501,457.3060454155758,219.7144946568512,True,885,300,log,-24.42209,2367.6822,2370.01461,-7.67088,-12.1069
0,0,2,2,1,0,4201.083015534452,37.93753547435589,192.38167538085733,True,885,300,log,-66.71687,2133.70154,2137.14148,-2.14543,-0.89771
0,3,2,2,1,0,4653.0328490013135,398.927212387236,215.07564924174005,True,885,300,log,-25.36214,2359.18871,2336.9954,-7.52702,-10.2621
0,0,2,2,1,0,4164.526728551678,25.391591944348797,190.59108394718788,True,885,300,log,-65.45291,2118.24463,2117.02836,-3.61968,-1.67367
0,3,2,2,1,0,4654.397552760196,325.76279452431567,213.88892704191682,True,885,300,log,-27.75672,2340.36654,2354.12976,-6.61214,-5.72989
0,0,2,2,1,0,4163.638688124287,23.180449276177303,190.22141528717694,True,885,300,log,-59.61865,2112.95618,2114.8414,-2.63831,-1.90194
0,3,2,2,1,0,4748.04654005711,333.58958238059984,222.23061079474326,True,885,300,log,-30.58014,2391.09436,2399.61608,-4.58367,-7.5001
0,0,2,2,1,0,4146.495517243015,21.33906430125011,189.88436476884317,True,885,300,log,-65.90455,2108.87316,2109.49244,-3.99631,-1.96922
0,3,2,2,1,0,4677.518255972691,278.6456677601567,210.1670311212153,True,885,300,log,-30.8004,2363.12531,2358.19164,-7.03071,-5.96759
0,0,2,2,1,0,4164.923561578045,27.61942257041852,191.79398319093286,True,885,300,log,-72.361,2122.21954,2121.00131,-3.12866,-2.80763
0,3,2,2,1,0,4727.694831285586,343.74748337161964,219.7610553777004,True,885,300,log,-31.39477,2386.61197,2384.70917,-6.2667,-5.96484
0,0,2,2,1,0,4133.5210537405765,18.607062393384048,189.46243292976843,False,885,300,log,-68.27083,2103.22688,2104.18651,-3.04184,-2.57968
0,3,2,2,1,0,4697.9164205067245,316.13393139015295,218.36326953230608,True,885,300,log,-22.68976,2365.43616,2373.6464,-11.44272,-7.03367
0,0,2,2,1,0,4157.386625628213,20.90986504654464,190.0054962908838,False,885,300,log,-64.02488,2112.92235,2112.43742,-2.16303,-1.78524
0,3,2,2,1,0,4670.2586144331635,342.58474069742186,217.82176714270517,True,885,300,log,-23.09908,2355.90478,2350.59691,-4.33641,-8.80758
0,0,2,2,1,0,4201.340567341719,42.67665646380215,192.470490406735,True,885,300,log,-65.36432,2134.47396,2135.83397,-2.5157,-1.08734
0,3,2,2,1,0,4732.306119027527,315.0888590767379,218.11676717253144,True,885,300,log,-30.12924,2388.58766,2385.02334,-4.6349,-6.54075
0,0,2,2,1,0,4120.002982232205,20.408281991344467,188.92712903562344,False,885,300,log,-67.5726,2095.90806,2096.21288,-2.59459,-1.95077
0,3,2,2,1,0,4696.337722822496,316.31443784514653,219.43298335809834,True,885,300,log,-28.87788,2373.46099,2365.35726,-6.85959,-6.74305
0,0,3,2,1,0,4165.355280142585,26.813453278659985,190.63300943744773,True,885,300,log,-68.39962,2119.303,2119.1205,-2.73528,-1.93331
0,3,3,2,1,0,4695.066906456133,291.02917576223723,214.38822528549142,True,885,300,log,-36.12718,2368.65375,2373.29547,-5.69746,-5.05767
0,0,3,2,1,0,4127.371139740421,21.77574324965385,190.3887699325544,False,885,300,log,-82.90799,2108.65663,2108.05446,-4.56375,-1.86821
0,3,3,2,1,0,4591.791881379653,335.8281308667174,219.875400222555,True,885,300,log,-30.26416,2299.4546,2335.74247,-4.13683,-9.00419
0,0,3,2,1,0,4110.946757471996,19.29053961212268,189.2447604318943,False,885,300,log,-68.89058,2094.43996,2094.1848,-3.38125,-5.40617
0,3,3,2,1,0,4617.850345883788,256.2295678574651,210.90440983358295,True,885,300,log,-23.27902,2334.2426,2324.155,-7.2631,-10.00512
0,0,3,2,1,0,4075.3551362557164,18.96564956314586,188.82159013543438,False,885,300,log,-77.37192,2080.0765,2080.55601,-4.80698,-3.09848
0,3,3,2,1,0,4578.122163582144,252.0839727024843,213.69171084530984,True,885,300,log,-36.32439,2310.40686,2319.10541,-9.80499,-5.26073
0,0,3,2,1,0,4117.189725890998,20.58142798720555,189.25723433679534,False,885,300,log,-78.77326,2102.32251,2098.61568,-2.43162,-2.54358
0,3,3,2,1,0,4631.545620922136,218.54404766538664,213.13504295910437,True,885,300,log,-26.35277,2336.19551,2339.23613,-9.66054,-7.87271
0,0,3,2,1,0,4054.8886311505194,15.311664554167695,187.87252471504596,False,885,300,log,-82.00542,2072.37196,2072.98182,-4.65396,-3.80578
0,3,3,2,1,0,4664.030934328635,288.88481469573446,212.2630550376415,True,885,300,log,-37.44201,2357.49745,2355.41814,-6.54928,-4.89336
0,0,3,2,1,0,4098.446433043196,20.65495682663358,190.41572881221595,True,885,300,log,-89.18701,2100.15571,2096.67459,-5.40611,-3.79074
0,3,3,2,1,0,4644.372072968807,250.21885506650707,208.4471968899389,True,885,300,log,-29.60915,2339.48327,2347.16073,-6.58538,-6.0774
0,0,3,2,1,0,4113.362721516714,19.905282936574125,191.16331507734938,True,885,300,log,-91.24959,2107.77068,2107.81621,-4.36276,-6.61181
0,3,3,2,1,0,4755.776479429116,311.3409306586094,221.72891780885882,True,885,300,log,-31.04891,2393.40392,2412.30511,-6.75291,-12.13073
0,0,3,2,1,0,4142.5992175482825,30.161454606662875,188.6205977286693,True,885,300,log,-51.65033,2098.43619,2100.24597,-1.7182,-2.71441
0,3,3,2,1,0,4620.53055236483,224.20760703058454,207.61273484907915,True,885,300,log,-34.77031,2338.96209,2332.41739,-6.5392,-9.53941
0,0,3,2,1,0,4196.803515353452,30.54683189400949,190.9945690665952,True,885,300,log,-54.50043,2131.30284,2126.42725,-3.67661,-2.74954
0,3,3,2,1,0,4610.92406515605,207.91736017168154,214.05424144458215,True,885,300,log,-36.09528,2328.45471,2332.56941,-6.52286,-7.48191
0,0,4,2,1,0,4178.842814463436,31.77765339047265,190.23434702906465,True,885,300,log,-56.36897,2119.63254,2119.06315,-1.92667,-1.55724
0,3,4,2,1,0,4744.562030054627,353.99849494449086,224.39133508427022,True,885,300,log,-34.60096,2399.81307,2396.15617,-10.77986,-6.02639
0,0,4,2,1,0,4103.902227289291,19.85397144920838,188.4910342179342,True,885,300,log,-61.96249,2087.75016,2083.99512,-4.03005,-1.85052
0,3,4,2,1,0,4638.7352981383065,315.83457995877455,212.41308131307676,True,885,300,log,-30.31474,2341.83602,2349.7879,-6.61826,-15.95563
0,0,4,2,1,0,4181.467713301107,27.866576306687385,191.40294411064116,True,885,300,log,-71.78747,2128.54769,2128.62781,-1.88912,-2.03119
0,3,4,2,1,0,4698.95541106597,393.83363023395236,218.98731693452748,True,885,300,log,-25.03033,2378.57046,2357.91731,-7.31037,-5.19166
0,0,4,2,1,0,4149.568410584479,30.33880311749727,190.06389001529473,True,885,300,log,-58.61716,2107.48105,2105.82163,-2.91518,-2.20193
0,3,4,2,1,0,4685.411184442773,402.0723283421777,218.568484841666,True,885,300,log,-25.66589,2356.38663,2370.48377,-8.01676,-7.77657
0,0,4,2,1,0,4183.37893446444,28.856012581275984,191.63262768867298,True,885,300,log,-73.19112,2130.35014,2130.6077,-2.83933,-1.54846
0,3,4,2,1,0,4649.848891217338,338.4533907175236,217.44582940739275,True,885,300,log,-34.1461,2355.25898,2344.29093,-8.38385,-7.17106
0,0,4,2,1,0,4179.382739248611,33.39769368744303,189.85075765305913,True,885,300,log,-57.05504,2119.57477,2121.79089,-3.35295,-1.57493
0,3,4,2,1,0,4803.1832808996205,346.13477033468587,223.27333150418437,True,885,300,log,-26.21605,2430.04469,2422.81169,-11.05624,-12.40081
0,0,4,2,1,0,4103.46287916632,22.59409514118132,189.69222900751097,True,885,300,log,-78.54355,2094.36477,2094.85884,-4.8321,-2.38508
0,3,4,2,1,0,4664.277946865968,275.22860716046773,214.08978588080944,True,885,300,log,-27.17844,2349.32202,2355.57149,-7.88336,-5.55376
0,0,4,2,1,0,4104.857459045449,21.8909533292361,189.5773748382321,True,885,300,log,-76.45816,2093.64623,2094.58559,-3.59038,-3.32582
0,3,4,2,1,0,4613.749565160957,244.67171403110692,211.46175803351449,True,885,300,log,-30.60084,2325.46013,2333.43463,-6.93897,-7.60539
0,0,4,2,1,0,4144.349183740077,26.201462762347255,190.14928742401378,True,885,300,log,-74.15007,2111.54792,2112.66625,-3.19498,-2.51994
0,3,4,2,1,0,4599.346206193596,212.970837610072,209.12731720076494,True,885,300,log,-36.23779,2324.47749,2325.3153,-8.8544,-5.3544
0,0,4,2,1,0,4203.679439766554,36.09507421865717,192.09387072192732,True,885,300,log,-71.6053,2136.92461,2142.65065,-2.30563,-1.98489
0,3,4,2,1,0,4584.727946092824,232.73522875733818,211.49510232286352,True,885,300,log,-27.89135,2320.72515,2307.22447,-9.0058,-6.32452
0,0,5,2,1,0,4025.110722677522,11.690226785718526,187.2166934277571,False,885,300,log,-89.37133,2057.22662,2062.96059,-2.81296,-2.89221
0,3,5,2,1,0,4719.193303617674,264.506320942951,212.04372758133837,True,885,300,log,-27.71754,2387.3992,2380.72258,-12.57811,-8.63282
0,0,5,2,1,0,4035.756941514912,9.84521357683986,187.59157134587656,False,885,300,log,-88.68896,2065.05248,2064.92268,-2.9763,-2.55295
