,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
0,0,2,2,1,"['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)', 'PPoly2_7^(1) + PPoly2_8^(1) + PPoly2_9^(1) + PPoly2_10^(1) + PPoly2_11^(1) + PPoly2_12^(1)', 'PPoly2_13^(2) + PPoly2_14^(2) + PPoly2_15^(2) + PPoly2_16^(2) + PPoly2_17^(2) + PPoly2_18^(2)', 'PPoly2_19^(3) + PPoly2_20^(3) + PPoly2_21^(3) + PPoly2_22^(3) + PPoly2_23^(3) + PPoly2_24^(3)']",6,,True,False
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
0,0,2,2,1,"['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)', 'PPoly2_7^(1) + PPoly2_8^(1) + PPoly2_9^(1) + PPoly2_10^(1) + PPoly2_11^(1) + PPoly2_12^(1)', 'PPoly2_13^(2) + PPoly2_14^(2) + PPoly2_15^(2) + PPoly2_16^(2) + PPoly2_17^(2) + PPoly2_18^(2)', 'PPoly2_19^(3) + PPoly2_20^(3) + PPoly2_21^(3) + PPoly2_22^(3) + PPoly2_23^(3) + PPoly2_24^(3)']",6,,True,False
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
0,0,2,2,1,"['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)', 'PPoly2_7^(1) + PPoly2_8^(1) + PPoly2_9^(1) + PPoly2_10^(1) + PPoly2_11^(1) + PPoly2_12^(1)', 'PPoly2_13^(2) + PPoly2_14^(2) + PPoly2_15^(2) + PPoly2_16^(2) + PPoly2_17^(2) + PPoly2_18^(2)', 'PPoly2_19^(3) + PPoly2_20^(3) + PPoly2_21^(3) + PPoly2_22^(3) + PPoly2_23^(3) + PPoly2_24^(3)']",6,,True,False
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
0,0,2,2,1,"['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)', 'PPoly2_7^(1) + PPoly2_8^(1) + PPoly2_9^(1) + PPoly2_10^(1) + PPoly2_11^(1) + PPoly2_12^(1)', 'PPoly2_13^(2) + PPoly2_14^(2) + PPoly2_15^(2) + PPoly2_16^(2) + PPoly2_17^(2) + PPoly2_18^(2)', 'PPoly2_19^(3) + PPoly2_20^(3) + PPoly2_21^(3) + PPoly2_22^(3) + PPoly2_23^(3) + PPoly2_24^(3)']",6,,True,False
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
0,0,2,2,1,"['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)', 'PPoly2_7^(1) + PPoly2_8^(1) + PPoly2_9^(1) + PPoly2_10^(1) + PPoly2_11^(1) + PPoly2_12^(1)', 'PPoly2_13^(2) + PPoly2_14^(2) + PPoly2_15^(2) + PPoly2_16^(2) + PPoly2_17^(2) + PPoly2_18^(2)', 'PPoly2_19^(3) + PPoly2_20^(3) + PPoly2_21^(3) + PPoly2_22^(3) + PPoly2_23^(3) + PPoly2_24^(3)']",6,,True,False
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
0,0,2,2,1,"['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)', 'PPoly2_7^(1) + PPoly2_8^(1) + PPoly2_9^(1) + PPoly2_10^(1) + PPoly2_11^(1) + PPoly2_12^(1)', 'PPoly2_13^(2) + PPoly2_14^(2) + PPoly2_15^(2) + PPoly2_16^(2) + PPoly2_17^(2) + PPoly2_18^(2)', 'PPoly2_19^(3) + PPoly2_20^(3) + PPoly2_21^(3) + PPoly2_22^(3) + PPoly2_23^(3) + PPoly2_24^(3)']",6,,True,False
0,3,2,2,1,['PPoly2_1^(0) + PPoly2_2^(0) + PPoly2_3^(0) + PPoly2_4^(0) + PPoly2_5^(0) + PPoly2_6^(0)'],6,,False,False
