,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,y1,y2
0,0.0,0.0,2.0,1.0,0.1,6.3877716064453125,6.408381938934326
0,0.0,0.0,2.0,1.0,0.3,6.366420269012451,6.369600296020508
0,1.0,0.0,0.0,1.0,0.1,6.341222286224365,6.352555751800537
0,1.0,0.0,0.0,1.0,0.3,6.340175628662109,6.341802597045898
0,2.0,0.0,0.0,1.0,0.1,6.497537612915039,6.488626956939697
0,2.0,0.0,0.0,1.0,0.3,6.40901517868042,6.470645427703857
0,3.0,0.0,0.0,1.0,0.1,4.214874744415283,4.227564811706543
0,3.0,0.0,0.0,1.0,0.3,4.42581844329834,4.4520039558410645
0,0.0,0.0,2.0,1.0,0.1,6.288543224334717,6.268881797790527
0,0.0,0.0,2.0,1.0,0.3,6.37129020690918,6.364812850952148
0,1.0,0.0,0.0,1.0,0.1,6.232389450073242,6.256842613220215
0,1.0,0.0,0.0,1.0,0.3,6.350564479827881,6.348202705383301
0,2.0,0.0,0.0,1.0,0.1,6.480232238769531,6.5019121170043945
0,2.0,0.0,0.0,1.0,0.3,6.403786659240723,6.484899044036865
0,3.0,0.0,0.0,1.0,0.1,4.208655834197998,4.2095818519592285
0,3.0,0.0,0.0,1.0,0.3,4.496429443359375,4.518710613250732
0,0.0,0.0,2.0,1.0,0.1,6.324413299560547,6.347747325897217
0,0.0,0.0,2.0,1.0,0.3,6.3750996589660645,6.371778964996338
0,1.0,0.0,0.0,1.0,0.1,6.315454006195068,6.327637195587158
0,1.0,0.0,0.0,1.0,0.3,6.379780292510986,6.3787055015563965
0,2.0,0.0,0.0,1.0,0.1,6.638797283172607,6.547520160675049
0,2.0,0.0,0.0,1.0,0.3,6.3849897384643555,6.4715189933776855
0,3.0,0.0,0.0,1.0,0.1,4.453517913818359,4.4995198249816895
0,3.0,0.0,0.0,1.0,0.3,4.460576057434082,4.471191883087158
0,0.0,0.0,2.0,1.0,0.1,6.414567947387695,6.409937381744385
0,0.0,0.0,2.0,1.0,0.3,6.3832502365112305,6.380382537841797
0,1.0,0.0,0.0,1.0,0.1,6.355661869049072,6.3447265625
0,1.0,0.0,0.0,1.0,0.3,6.438594818115234,6.392030239105225
0,2.0,0.0,0.0,1.0,0.1,6.456685543060303,6.496002197265625
0,2.0,0.0,0.0,1.0,0.3,6.415922164916992,6.473400592803955
