,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,3,0,0,1,0.1,1,-1299945243.04844,1299901547.9374197,717679525.670049,True,4420,300,log,-1132.54688,-686753305.2851,-613190451.61598,-231.0363,-122.56418
0,3,0,0,1,0.3,1,-101636.51383199201,117117.69346599063,62299.32654775838,True,3430,300,log,-324.97918,-56287.33651,-44904.51432,-84.50408,-35.17974
0,0,0,2,1,0.1,1,18549.339684863706,273.9607825098353,419.64615422314813,True,4420,300,log,-925.60979,9915.2256,9896.08253,-85.9151,-250.44355
0,0,0,2,1,0.3,1,15386.154304020587,32.36241706422178,368.47187686671225,False,3430,300,log,-408.54156,7931.7447,7934.58101,-36.78166,-34.8482
0,1,0,0,1,0.1,1,18011.46483210664,333.6160752243294,413.6118989286703,True,4420,300,log,-1093.04663,9671.43763,9694.33883,-145.39545,-115.86954
0,1,0,0,1,0.3,1,15362.847060665019,38.22875596542383,368.4792088845672,False,3430,300,log,-410.62562,7926.12482,7928.04487,-44.29794,-36.39906
0,2,0,0,1,0.1,1,19139.881245713834,211.03289280297204,416.82063376494864,True,4420,300,log,-737.79493,10080.71448,10045.30135,-154.45289,-93.88677
0,2,0,0,1,0.3,1,15335.005137324584,47.62982249311615,367.0923962820681,False,3430,300,log,-415.15854,7925.57715,7912.29862,-38.9397,-48.77239
0,3,0,0,1,0.1,1,-73350638231.44926,73350174543.23363,47325838882.33433,True,4420,300,log,-1604.56228,-31856931975.93028,-41493704176.06406,-190.79068,-284.1019
0,3,0,0,1,0.3,1,-35905.76012097075,52341.59190471238,15356.637379823747,True,3430,300,log,-375.65377,-18521.95228,-16907.19303,-49.00295,-51.95809
0,0,0,2,1,0.1,1,18554.766193856845,256.0123955424727,408.4085436480245,True,4420,300,log,-819.52646,9781.1439,9775.21947,-62.08453,-119.98619
0,0,0,2,1,0.3,1,15383.330580659025,28.564497866573443,368.9916630768245,True,3430,300,log,-407.65491,7936.33632,7936.21791,-37.65059,-43.91815
0,1,0,0,1,0.1,1,16712.256166725572,643.847812896913,413.0222835914578,True,4420,300,log,-910.67101,8943.30409,8883.697,-91.08228,-112.99164
0,1,0,0,1,0.3,1,15358.50916591793,36.916791249574935,368.6488497826111,True,3430,300,log,-426.6916,7936.96051,7916.52731,-37.01588,-31.27117
0,2,0,0,1,0.1,1,19158.9922349189,187.15894078566288,414.70444021835505,True,4420,300,log,-732.61916,10032.51205,10059.25973,-96.06582,-104.09456
0,2,0,0,1,0.3,1,15284.896592443507,51.747191381033076,366.88750241192065,True,3430,300,log,-419.2667,7901.90826,7919.31603,-69.20183,-47.85917
0,3,0,0,1,0.1,1,-1864859.5391014677,1872178.0921664864,263507.43792404525,True,4420,300,log,-1241.36426,-1043082.60582,-820233.62866,-95.36213,-206.57824
0,3,0,0,1,0.3,1,-10467951.770147715,10482139.30540234,7433609.1850676015,True,3430,300,log,-352.5742,-3569908.69898,-6897584.01855,-63.44722,-43.0312
0,0,0,2,1,0.1,1,18702.25930738267,165.7147275041188,411.3937263584996,True,4420,300,log,-757.55515,9815.55311,9839.17559,-77.65809,-117.25616
0,0,0,2,1,0.3,1,15385.873647000788,28.164722121718107,368.8696164369442,True,3430,300,log,-413.51749,7937.69016,7933.09072,-39.07193,-32.31781
0,1,0,0,1,0.1,1,15968.725036286156,1024.370106395671,417.21132555538736,True,4420,300,log,-1280.56801,8722.37994,8813.3819,-107.51395,-178.95485
0,1,0,0,1,0.3,1,15376.095335506921,35.90079829567586,368.788995927553,False,3430,300,log,-420.03064,7931.28145,7934.85321,-37.15022,-32.85847
0,2,0,0,1,0.1,1,19198.353292426655,176.4942555927642,416.8519142883929,True,4420,300,log,-743.63536,10088.74193,10068.01113,-112.32359,-102.44082
0,2,0,0,1,0.3,1,15208.302764137248,64.31478762124607,369.2883052933124,True,3430,300,log,-416.61034,7924.64296,7916.29118,-166.88175,-49.13928
0,3,0,0,1,0.1,1,-265946903.12558568,265947121.49827427,138834059.82245067,True,4420,300,log,-759.63124,-116978178.09187,-148967530.27039,-307.48279,-127.6493
0,3,0,0,1,0.3,1,-146538.86076224956,162347.5511545476,91592.51292253766,True,3430,300,log,-371.1344,-65301.60047,-80756.75836,-64.14628,-45.22125
0,0,0,2,1,0.1,1,19271.31681566748,98.37952141701285,416.4365218475022,True,4420,300,log,-692.17191,10063.9486,10082.00227,-97.86543,-84.59672
0,0,0,2,1,0.3,1,15394.490002743083,28.2569935266732,369.0470970118412,True,3430,300,log,-412.40667,7941.85046,7938.20326,-36.28728,-36.86976
0,1,0,0,1,0.1,1,14548.066978678571,1397.544893698389,434.35866689567933,True,4420,300,log,-1121.237,7951.80484,7992.72129,-126.1349,-149.08725
0,1,0,0,1,0.3,1,15086.70555462721,105.1958699438375,368.28661250554705,True,3430,300,log,-522.7327,7850.42555,7856.87252,-56.81141,-41.04841
0,2,0,0,1,0.1,1,19205.86590859551,162.13460384895268,416.7005997825656,True,4420,300,log,-727.19524,10078.75448,10057.99917,-107.27431,-96.41819
0,2,0,0,1,0.3,1,15119.06355831904,70.23230188764519,364.976185712787,True,3430,300,log,-413.56664,7807.57456,7915.96317,-144.27533,-46.6322
0,3,0,0,1,0.1,1,-140816735.99905193,140820428.43175054,61388334.10198064,True,4420,300,log,-814.36497,-62703247.37344,-78112264.94918,-196.08771,-213.22375
0,3,0,0,1,0.3,1,-10218.233963880542,26173.561514366913,5556.345622631006,True,3430,300,log,-374.74899,-5367.87074,-4351.05187,-94.50432,-30.05804
0,0,0,2,1,0.1,1,16145.283165394716,1446.9921473866543,433.5516915058727,True,4420,300,log,-1237.54496,8820.88966,8850.62818,-130.30525,-158.38446
0,0,0,2,1,0.3,1,15377.255810577346,30.839602687167442,368.9525350843174,True,3430,300,log,-410.6269,7935.64117,7930.98735,-36.98624,-41.75957
0,1,0,0,1,0.1,1,18756.17150279592,196.72391214596885,414.1447536443906,True,4420,300,log,-826.92735,9875.82967,9876.67704,-62.26649,-107.14137
0,1,0,0,1,0.3,1,15372.023716838186,38.84291338989607,368.0687695328284,False,3430,300,log,-416.11448,7918.19837,7936.17367,-33.28268,-32.95116
0,2,0,0,1,0.1,1,19243.192286684734,163.68048190071067,416.54467101929606,True,4420,300,log,-739.86975,10085.43456,10065.1038,-77.9036,-89.57273
0,2,0,0,1,0.3,1,15224.28067105346,64.01872720302619,367.5295143399383,True,3430,300,log,-416.01839,7868.84637,7911.94079,-92.79404,-47.69406
0,3,0,0,1,0.1,1,-35372531299.78779,35372463334.05695,23022514789.447487,True,4420,300,log,-954.50463,-12430869349.66423,-22941660663.8199,-148.94279,-182.85621
0,3,0,0,1,0.3,1,-365386.6179526446,381544.5513546801,235048.8351231836,True,3430,300,log,-362.75416,-141585.95813,-223315.83621,-86.59371,-35.47574
