,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,weight,y0,y3,y4
2,1,0,0,1,0.3,quadratic,0.8468,0.8383,0.921
0,2,0,0,1,0.1,unweighted,0.3953,0.8593,0.8131
1,2,0,0,1,0.1,linear,0.6939,0.8593,0.8131
2,2,0,0,1,0.1,quadratic,0.8244,0.8593,0.8131
0,2,0,0,1,0.3,unweighted,0.4223,0.8493,0.9258
1,2,0,0,1,0.3,linear,0.7015,0.8493,0.9258
2,2,0,0,1,0.3,quadratic,0.8267,0.8493,0.9258
0,3,0,0,1,0.1,unweighted,0.5029,0.7242,0.6391
1,3,0,0,1,0.1,linear,0.7182,0.7242,0.6391
2,3,0,0,1,0.1,quadratic,0.818,0.7242,0.6391
0,3,0,0,1,0.3,unweighted,0.683,0.8476,0.8947
1,3,0,0,1,0.3,linear,0.8278,0.8476,0.8947
2,3,0,0,1,0.3,quadratic,0.8916,0.8476,0.8947
0,0,0,2,1,0.1,unweighted,0.3934,0.7939,0.843
1,0,0,2,1,0.1,linear,0.7023,0.7939,0.843
2,0,0,2,1,0.1,quadratic,0.8346,0.7939,0.843
0,0,0,2,1,0.3,unweighted,0.4521,0.9433,0.9286
1,0,0,2,1,0.3,linear,0.7193,0.9433,0.9286
2,0,0,2,1,0.3,quadratic,0.8392,0.9433,0.9286
0,1,0,0,1,0.1,unweighted,0.3426,0.7577,0.8339
1,1,0,0,1,0.1,linear,0.6577,0.7577,0.8339
2,1,0,0,1,0.1,quadratic,0.8014,0.7577,0.8339
0,1,0,0,1,0.3,unweighted,0.4381,0.9379,0.9405
1,1,0,0,1,0.3,linear,0.7157,0.9379,0.9405
2,1,0,0,1,0.3,quadratic,0.8399,0.9379,0.9405
0,2,0,0,1,0.1,unweighted,0.4153,0.799,0.8025
1,2,0,0,1,0.1,linear,0.7084,0.799,0.8025
2,2,0,0,1,0.1,quadratic,0.8363,0.799,0.8025
0,2,0,0,1,0.3,unweighted,0.4496,0.666,0.9399
1,2,0,0,1,0.3,linear,0.7153,0.666,0.9399
2,2,0,0,1,0.3,quadratic,0.8344,0.666,0.9399
0,3,0,0,1,0.1,unweighted,0.4259,0.7024,0.8345
1,3,0,0,1,0.1,linear,0.6808,0.7024,0.8345
2,3,0,0,1,0.1,quadratic,0.7943,0.7024,0.8345
0,3,0,0,1,0.3,unweighted,0.6425,0.8236,0.9036
1,3,0,0,1,0.3,linear,0.8075,0.8236,0.9036
2,3,0,0,1,0.3,quadratic,0.8772,0.8236,0.9036
0,0,0,2,1,0.1,unweighted,0.3346,0.8566,0.7741
1,0,0,2,1,0.1,linear,0.6655,0.8566,0.7741
2,0,0,2,1,0.1,quadratic,0.8114,0.8566,0.7741
0,0,0,2,1,0.3,unweighted,0.4511,0.9166,0.9473
1,0,0,2,1,0.3,linear,0.726,0.9166,0.9473
2,0,0,2,1,0.3,quadratic,0.8467,0.9166,0.9473
0,1,0,0,1,0.1,unweighted,0.2886,0.7523,0.8207
1,1,0,0,1,0.1,linear,0.6229,0.7523,0.8207
2,1,0,0,1,0.1,quadratic,0.7776,0.7523,0.8207
0,1,0,0,1,0.3,unweighted,0.3945,0.8968,0.9348
1,1,0,0,1,0.3,linear,0.6909,0.8968,0.9348
2,1,0,0,1,0.3,quadratic,0.8235,0.8968,0.9348
0,2,0,0,1,0.1,unweighted,0.3882,0.7301,0.8312
1,2,0,0,1,0.1,linear,0.6945,0.7301,0.8312
2,2,0,0,1,0.1,quadratic,0.8284,0.7301,0.8312
0,2,0,0,1,0.3,unweighted,0.43,0.932,0.9123
1,2,0,0,1,0.3,linear,0.7077,0.932,0.9123
2,2,0,0,1,0.3,quadratic,0.8318,0.932,0.9123
0,3,0,0,1,0.1,unweighted,0.4679,0.7936,0.7162
1,3,0,0,1,0.1,linear,0.6822,0.7936,0.7162
2,3,0,0,1,0.1,quadratic,0.7882,0.7936,0.7162
0,3,0,0,1,0.3,unweighted,0.6677,0.8753,0.8688
1,3,0,0,1,0.3,linear,0.819,0.8753,0.8688
2,3,0,0,1,0.3,quadratic,0.8862,0.8753,0.8688
0,0,0,2,1,0.1,unweighted,0.3213,0.9279,0.8478
1,0,0,2,1,0.1,linear,0.6441,0.9279,0.8478
2,0,0,2,1,0.1,quadratic,0.7915,0.9279,0.8478
0,0,0,2,1,0.3,unweighted,0.437,0.9166,0.9149
1,0,0,2,1,0.3,linear,0.7156,0.9166,0.9149
2,0,0,2,1,0.3,quadratic,0.8388,0.9166,0.9149
0,1,0,0,1,0.1,unweighted,0.3451,0.8417,0.8025
1,1,0,0,1,0.1,linear,0.6655,0.8417,0.8025
2,1,0,0,1,0.1,quadratic,0.8082,0.8417,0.8025
0,1,0,0,1,0.3,unweighted,0.4281,0.9219,0.9416
1,1,0,0,1,0.3,linear,0.7036,0.9219,0.9416
2,1,0,0,1,0.3,quadratic,0.8268,0.9219,0.9416
0,2,0,0,1,0.1,unweighted,0.4222,0.868,0.8132
1,2,0,0,1,0.1,linear,0.7074,0.868,0.8132
2,2,0,0,1,0.1,quadratic,0.8319,0.868,0.8132
0,2,0,0,1,0.3,unweighted,0.4277,0.8383,0.9342
1,2,0,0,1,0.3,linear,0.7081,0.8383,0.9342
2,2,0,0,1,0.3,quadratic,0.8327,0.8383,0.9342
0,3,0,0,1,0.1,unweighted,0.5238,0.8882,0.7569
1,3,0,0,1,0.1,linear,0.7293,0.8882,0.7569
2,3,0,0,1,0.1,quadratic,0.8229,0.8882,0.7569
0,3,0,0,1,0.3,unweighted,0.6542,0.8824,0.905
1,3,0,0,1,0.3,linear,0.8097,0.8824,0.905
2,3,0,0,1,0.3,quadratic,0.878,0.8824,0.905
0,0,0,2,1,0.1,unweighted,0.324,0.8647,0.8318
1,0,0,2,1,0.1,linear,0.6529,0.8647,0.8318
2,0,0,2,1,0.1,quadratic,0.8021,0.8647,0.8318
0,0,0,2,1,0.3,unweighted,0.4124,0.9433,0.921
1,0,0,2,1,0.3,linear,0.6999,0.9433,0.921
2,0,0,2,1,0.3,quadratic,0.8273,0.9433,0.921
0,1,0,0,1,0.1,unweighted,0.2823,0.823,0.7701
1,1,0,0,1,0.1,linear,0.6179,0.823,0.7701
2,1,0,0,1,0.1,quadratic,0.7719,0.823,0.7701
0,1,0,0,1,0.3,unweighted,0.4288,0.9173,0.9405
1,1,0,0,1,0.3,linear,0.7072,0.9173,0.9405
2,1,0,0,1,0.3,quadratic,0.8322,0.9173,0.9405
0,2,0,0,1,0.1,unweighted,0.4208,0.8308,0.8345
1,2,0,0,1,0.1,linear,0.7153,0.8308,0.8345
2,2,0,0,1,0.1,quadratic,0.8415,0.8308,0.8345
0,2,0,0,1,0.3,unweighted,0.4142,0.7351,0.9202
1,2,0,0,1,0.3,linear,0.7032,0.7351,0.9202
2,2,0,0,1,0.3,quadratic,0.8321,0.7351,0.9202
0,3,0,0,1,0.1,unweighted,0.4846,0.7127,0.7636
1,3,0,0,1,0.1,linear,0.717,0.7127,0.7636
2,3,0,0,1,0.1,quadratic,0.8234,0.7127,0.7636
0,3,0,0,1,0.3,unweighted,0.6411,0.8824,0.9342
1,3,0,0,1,0.3,linear,0.8,0.8824,0.9342
2,3,0,0,1,0.3,quadratic,0.8706,0.8824,0.9342
0,0,0,2,1,0.1,unweighted,0.3093,0.8315,0.8163
1,0,0,2,1,0.1,linear,0.6566,0.8315,0.8163
2,0,0,2,1,0.1,quadratic,0.8091,0.8315,0.8163
0,0,0,2,1,0.3,unweighted,0.4353,0.9219,0.9468
1,0,0,2,1,0.3,linear,0.7157,0.9219,0.9468
2,0,0,2,1,0.3,quadratic,0.8387,0.9219,0.9468
0,1,0,0,1,0.1,unweighted,0.2607,0.8407,0.7951
1,1,0,0,1,0.1,linear,0.6229,0.8407,0.7951
2,1,0,0,1,0.1,quadratic,0.7852,0.8407,0.7951
0,1,0,0,1,0.3,unweighted,0.4266,0.8773,0.9194
1,1,0,0,1,0.3,linear,0.7016,0.8773,0.9194
2,1,0,0,1,0.3,quadratic,0.8266,0.8773,0.9194
0,2,0,0,1,0.1,unweighted,0.4187,0.8184,0.8025
1,2,0,0,1,0.1,linear,0.7082,0.8184,0.8025
2,2,0,0,1,0.1,quadratic,0.8344,0.8184,0.8025
0,2,0,0,1,0.3,unweighted,0.4126,0.7335,0.9258
1,2,0,0,1,0.3,linear,0.7015,0.7335,0.9258
2,2,0,0,1,0.3,quadratic,0.8294,0.7335,0.9258
0,3,0,0,1,0.1,unweighted,0.5018,0.7114,0.7622
1,3,0,0,1,0.1,linear,0.7285,0.7114,0.7622
2,3,0,0,1,0.1,quadratic,0.8354,0.7114,0.7622
0,3,0,0,1,0.3,unweighted,0.6374,0.8146,0.9354
1,3,0,0,1,0.3,linear,0.7933,0.8146,0.9354
2,3,0,0,1,0.3,quadratic,0.8635,0.8146,0.9354
0,0,0,2,1,0.1,unweighted,0.2718,0.7745,0.8372
1,0,0,2,1,0.1,linear,0.6032,0.7745,0.8372
2,0,0,2,1,0.1,quadratic,0.7584,0.7745,0.8372
0,0,0,2,1,0.3,unweighted,0.4311,0.9219,0.9149
1,0,0,2,1,0.3,linear,0.7063,0.9219,0.9149
2,0,0,2,1,0.3,quadratic,0.8289,0.9219,0.9149
0,1,0,0,1,0.1,unweighted,0.3625,0.8847,0.8326
1,1,0,0,1,0.1,linear,0.6643,0.8847,0.8326
2,1,0,0,1,0.1,quadratic,0.805,0.8847,0.8326
0,1,0,0,1,0.3,unweighted,0.3977,0.9602,0.928
1,1,0,0,1,0.3,linear,0.6912,0.9602,0.928
2,1,0,0,1,0.3,quadratic,0.8218,0.9602,0.928
0,2,0,0,1,0.1,unweighted,0.4021,0.9244,0.8147
1,2,0,0,1,0.1,linear,0.7011,0.9244,0.8147
2,2,0,0,1,0.1,quadratic,0.8314,0.9244,0.8147
0,2,0,0,1,0.3,unweighted,0.4216,0.8265,0.9322
1,2,0,0,1,0.3,linear,0.7069,0.8265,0.9322
2,2,0,0,1,0.3,quadratic,0.8335,0.8265,0.9322
0,3,0,0,1,0.1,unweighted,0.5224,0.7612,0.7538
1,3,0,0,1,0.1,linear,0.7257,0.7612,0.7538
2,3,0,0,1,0.1,quadratic,0.8198,0.7612,0.7538
0,3,0,0,1,0.3,unweighted,0.6567,0.8313,0.9233
1,3,0,0,1,0.3,linear,0.8036,0.8313,0.9233
2,3,0,0,1,0.3,quadratic,0.8679,0.8313,0.9233
