,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3666,110,24,620,-1093.57105,9671.1056,9693.85126,,
0,1,0,0,1,0.3,1,15362.339917227942,38.73589940250167,368.4719523845918,True,3430,300,log,2847,1,0,582,-410.67127,7925.91684,7927.83425,-44.31802,-36.42189
0,2,0,0,1,0.1,1,19137.307268377364,213.6068701394397,416.8035958076391,True,4420,300,log,3831,388,147,54,-738.4033,10079.9386,10044.5537,-154.7734,-94.00834
0,2,0,0,1,0.3,1,,,,True,3430,300,log,3166,21,0,243,-415.31958,7925.39666,7912.11598,-38.99004,
0,3,0,0,1,0.1,1,,,,True,4420,300,log,1894,395,260,1871,-1580.85762,-2384052.226,-2492914.39896,,
0,3,0,0,1,0.3,1,8748.605429889209,7687.226353852424,1194.7283127899802,True,3430,300,log,2346,182,126,776,-375.99086,4625.05297,4600.97045,-49.03107,-52.39606
0,0,0,2,1,0.1,1,,,,True,4420,300,log,3847,61,7,505,-819.98913,9780.34068,9774.49439,,
0,0,0,2,1,0.3,1,15382.954394182443,28.940684343155226,368.9899660169209,True,3430,300,log,2680,6,0,744,-407.7073,7936.2244,7936.10703,-37.68826,-43.98147
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3630,70,26,694,-910.90642,8964.4624,8900.79676,-91.15498,
0,1,0,0,1,0.3,1,15358.04355376261,37.3824034048921,368.6432809293798,True,3430,300,log,2760,3,0,667,-426.75049,7936.84337,7916.29041,-37.04781,-31.29193
0,2,0,0,1,0.1,1,19156.402481754554,189.74869395001224,414.6934013112188,True,4420,300,log,4067,249,55,49,-733.21215,10031.68192,10058.72455,-96.50603,-104.28581
0,2,0,0,1,0.3,1,15284.229106427349,52.414677397191554,366.8863511524668,True,3430,300,log,3140,62,6,222,-419.4319,7901.74267,7919.17363,-69.32325,-47.93205
0,3,0,0,1,0.1,1,,,,True,4420,300,log,1941,404,319,1756,-1228.18589,-55623.63421,-46742.10588,,-206.3045
0,3,0,0,1,0.3,1,,,,True,3430,300,log,2342,156,113,819,-352.81327,-16996.68394,-20569.85104,-63.51789,
0,0,0,2,1,0.1,1,,,,True,4420,300,log,3744,41,2,633,-757.73547,9815.07179,9838.58414,-77.73617,
0,0,0,2,1,0.3,1,,,,True,3430,300,log,2728,2,0,700,-413.57374,7937.57505,7932.96042,,-32.34306
0,1,0,0,1,0.1,1,16066.729481111815,926.3656615700129,411.35252878763487,True,4420,300,log,3564,151,50,655,-1281.09062,8777.09233,8856.50239,-107.60521,-178.16941
0,1,0,0,1,0.3,1,,,,True,3430,300,log,2770,1,0,659,-420.09181,7931.12997,7934.67369,-37.17975,
0,2,0,0,1,0.1,1,19195.619956355473,179.22759166394462,416.8546931018147,True,4420,300,log,3868,398,123,31,-744.18256,10088.23495,10067.4954,-113.04694,-102.88089
0,2,0,0,1,0.3,1,,,,True,3430,300,log,3152,39,4,235,-416.78093,7924.46744,7916.11329,,-49.23409
0,3,0,0,1,0.1,1,,,,True,4420,300,log,2515,308,194,1403,-760.45973,-258312.57407,-307797.41191,,
0,3,0,0,1,0.3,1,,,,True,3430,300,log,2274,164,114,878,-371.36406,1976.95639,947.0102,-64.31784,
0,0,0,2,1,0.1,1,,,,True,4420,300,log,4217,15,0,188,-692.27614,10063.46581,10081.43579,-97.97885,
0,0,0,2,1,0.3,1,,,,True,3430,300,log,2699,4,0,727,-412.45772,7941.73992,7938.08343,-36.31575,
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3173,190,105,952,-1120.07998,8015.92166,8049.60643,-126.23184,
0,1,0,0,1,0.3,1,,,,True,3430,300,log,2687,11,3,729,-522.84313,7850.07041,7856.62174,,-41.07838
0,2,0,0,1,0.1,1,19203.865187966687,164.13532447777834,416.69519611905474,True,4420,300,log,3918,349,110,43,-727.74702,10078.21321,10057.49181,-107.4854,-96.60741
0,2,0,0,1,0.3,1,15118.235434756592,71.06042545009404,364.9720375309781,True,3430,300,log,3155,33,0,242,-413.69114,7807.29872,7915.80245,-144.48903,-46.68557
0,3,0,0,1,0.1,1,-444599.8171449031,448292.2498435317,78628.91852699612,True,4420,300,log,2180,303,194,1743,-814.19809,-212857.00839,-230521.0528,-195.09532,-212.46254
0,3,0,0,1,0.3,1,,,,True,3430,300,log,2505,148,91,686,-374.93131,4854.83947,5003.11763,,
0,0,0,2,1,0.1,1,,,,True,4420,300,log,3565,162,59,634,-1235.97834,8961.0921,9005.07259,,-158.38938
0,0,0,2,1,0.3,1,,,,True,3430,300,log,2713,6,0,711,-410.66996,7935.52085,7930.84599,,
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3735,36,8,641,-827.11281,9875.21732,9875.8454,,
0,1,0,0,1,0.3,1,15371.536016779766,39.33061344831549,368.06210314631124,True,3430,300,log,2822,2,0,606,-416.16289,7917.95661,7936.01679,-33.30393,-32.97057
0,2,0,0,1,0.1,1,19241.02852467855,165.84424390689674,416.5409030986526,True,4420,300,log,4150,198,30,42,-740.45044,10084.89206,10064.59718,-78.23548,-89.77479
0,2,0,0,1,0.3,1,,,,True,3430,300,log,3090,70,10,260,-416.18246,7868.66098,7911.77784,-92.78505,
0,3,0,0,1,0.1,1,,,,True,4420,300,log,2138,278,204,1800,-955.20212,-1603401.15863,-1877775.10746,-149.04177,
0,3,0,0,1,0.3,1,,,,True,3430,300,log,2269,166,108,887,-363.1544,1265.95678,439.16051,,
