,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,1,0,0,1,0.1,0,2204.956472823979,10.105892500100298,139.18554094109146,True,485,300,log,-40.93288,1124.89033,1126.4145,-4.78142,-0.63406
0,1,0,0,1,0.3,0,6547.588262141286,13.26612035752672,238.81893993532626,False,1475,300,log,-169.79762,3367.44333,3366.79364,-8.81057,-8.04051
0,2,0,0,1,0.1,0,2137.8586964942106,12.948077996001434,137.16434238509035,False,485,300,log,-51.54122,1102.43298,1102.47048,-12.98353,-2.52002
0,2,0,0,1,0.3,0,6423.945193079087,34.45384070784095,238.83423950452945,True,1475,300,log,-177.29425,3350.22728,3340.63466,-78.57769,-11.04482
0,3,0,0,1,0.1,0,2552.4707358441783,141.06494727552962,157.33065880679206,True,485,300,log,-22.35107,1293.89409,1288.20522,-5.32744,-1.95006
0,3,0,0,1,0.3,0,7360.872778464401,196.11340815003854,264.23544594669653,True,1475,300,log,-100.05965,3739.04064,3744.88011,-12.98715,-10.00118
0,0,0,2,1,0.1,0,2194.7658131914236,7.685745376883581,139.20607368956954,True,485,300,log,-44.36382,1123.27381,1124.61376,-8.19392,-0.56401
0,0,0,2,1,0.3,0,6535.866917889469,11.655404487537032,238.95361723693676,False,1475,300,log,-173.44056,3362.98031,3366.16884,-11.45623,-8.38545
0,1,0,0,1,0.1,0,2206.1586164754704,9.486579644054885,138.63824492983585,False,485,300,log,-38.53708,1122.18535,1126.16894,-2.85452,-0.80407
0,1,0,0,1,0.3,0,6521.4030329322395,14.128876814530742,238.90849605673563,False,1475,300,log,-177.58751,3360.80908,3363.23502,-16.44269,-8.61087
0,2,0,0,1,0.1,0,2135.6114186195095,15.213831737319925,137.04299690457296,True,485,300,log,-51.91728,1100.60298,1102.52066,-13.24956,-2.34538
0,2,0,0,1,0.3,0,6474.982689279392,19.454895591257994,237.5542434558221,False,1475,300,log,-179.35154,3349.4587,3339.37774,-22.13178,-12.37043
0,3,0,0,1,0.1,0,2584.427637507661,191.7404960937884,161.13329921683882,True,485,300,log,-15.66299,1299.07645,1305.00541,-2.79434,-1.19689
0,3,0,0,1,0.3,0,7385.850334685568,243.73916415126905,262.345262421277,True,1475,300,log,-75.37535,3734.76918,3747.60868,-11.95525,-9.19693
0,0,0,2,1,0.1,0,2198.1262583754105,9.67232307286033,139.4217536854879,False,485,300,log,-43.59646,1124.84348,1126.263,-8.26361,-1.12015
0,0,0,2,1,0.3,0,6547.044737800026,9.593052142015692,239.1546222499734,False,1475,300,log,-172.9935,3368.28187,3370.2726,-11.74757,-6.76868
