,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,0.3,0,6544.06629991727,9.045792717238328,239.21280376272824,True,1475,300,log,1160,1,0,314,-173.74217,3369.23197,3369.84611,-15.04245,-6.22715
0,1,0,0,1,0.1,0,2204.8258744559757,10.236490868103829,139.1826417406601,True,485,300,log,406,6,0,73,-40.96136,1124.83622,1126.38382,-4.79795,-0.63486
0,1,0,0,1,0.3,0,,,,True,1475,300,log,1155,0,0,320,-169.82248,3367.38585,3366.71465,,-8.04842
0,2,0,0,1,0.1,0,2137.6690818937395,13.137692596472789,137.1607081172113,True,485,300,log,451,23,6,5,-51.59407,1102.37601,1102.41622,-13.00423,-2.52484
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1365,21,2,87,-177.35975,3350.16451,3340.55429,,
0,3,0,0,1,0.1,0,2507.8600985141966,185.67558460551118,155.2096628385389,True,485,300,log,339,31,16,99,-22.39365,1272.3545,1265.2132,-5.35974,-1.95421
0,3,0,0,1,0.3,0,,,,True,1475,300,log,1104,46,23,302,-100.13642,3716.71766,3723.08794,,-10.02583
0,0,0,2,1,0.1,0,2194.6657657878877,7.785792780419342,139.2040812840296,True,485,300,log,402,9,6,68,-44.37944,1123.24177,1124.57939,-8.21094,-0.56502
0,0,0,2,1,0.3,0,,,,True,1475,300,log,1191,1,0,283,-173.46178,3362.91768,3366.1183,,-8.39568
0,1,0,0,1,0.1,0,2206.017029422109,9.628166697416418,138.63428186020758,True,485,300,log,413,3,1,68,-38.56938,1122.11794,1126.13542,-2.86222,-0.80473
0,1,0,0,1,0.3,0,6521.2135094039895,14.318400342781388,238.90435175561785,True,1475,300,log,1216,1,0,258,-177.60756,3360.73155,3363.15417,-16.4491,-8.61556
0,2,0,0,1,0.1,0,2135.396848891787,15.428401465042043,137.0395117560623,True,485,300,log,419,37,23,6,-51.96829,1100.52988,1102.46525,-13.28411,-2.34588
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1354,17,0,104,-179.42624,3349.39393,3339.28392,-22.17164,
0,3,0,0,1,0.1,0,2527.4284749335675,248.7396586678824,158.57238655255497,True,485,300,log,293,40,24,128,-15.869,1270.57628,1276.72138,-2.80129,-1.19891
0,3,0,0,1,0.3,0,,,,True,1475,300,log,1113,66,44,252,-75.49145,3698.64592,3711.37797,-11.96743,
0,0,0,2,1,0.1,0,2197.9995293540724,9.799052094198487,139.41786279900745,True,485,300,log,418,4,0,63,-43.62447,1124.79746,1126.21622,-8.26944,-1.12023
0,0,0,2,1,0.3,0,6546.918276378612,9.719513563430155,239.15330607064348,True,1475,300,log,1143,4,0,328,-173.01731,3368.24297,3370.23418,-11.76355,-6.77801
0,1,0,0,1,0.1,0,2213.5799992465736,9.157284826592331,140.1405440332451,True,485,300,log,410,3,1,71,-43.52587,1130.64917,1132.18185,-4.99075,-0.7344
0,1,0,0,1,0.3,0,6529.562743106596,13.878665046846436,238.64859605345342,True,1475,300,log,1179,0,0,296,-173.86997,3364.69146,3358.78392,-11.95485,-8.08782
0,2,0,0,1,0.1,0,2128.7757141382644,16.1701941628412,136.12960088461733,True,485,300,log,442,35,4,4,-51.18397,1094.43611,1100.61154,-12.53376,-2.5542
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1354,23,3,95,-179.48323,3342.67537,3343.48171,,
0,3,0,0,1,0.1,0,2525.065843201546,236.65581294002277,157.53264854953824,True,485,300,log,313,37,28,107,-19.84399,1265.42808,1283.65776,-3.29945,-0.87656
0,3,0,0,1,0.3,0,7509.56482153998,373.2117764161785,272.24416686629297,True,1475,300,log,1132,61,51,231,-95.13598,3818.87432,3819.03178,-17.90965,-15.29564
0,0,0,2,1,0.1,0,2183.629069410643,6.184936309374734,139.74548883008066,True,485,300,log,412,2,0,71,-53.22323,1122.56679,1123.59084,-7.90984,-1.39549
0,0,0,2,1,0.3,0,6541.3407101833545,10.399963344578282,239.1962883246018,True,1475,300,log,1170,0,0,305,-175.06138,3367.57291,3369.02186,-12.35464,-7.83804
0,1,0,0,1,0.1,0,2239.8029755618986,9.602030090134122,139.73365604243924,True,485,300,log,408,4,0,73,-28.76198,1135.99071,1136.91722,-3.61435,-0.72862
0,1,0,0,1,0.3,0,6533.009905141148,13.53200137235308,239.09691165954342,True,1475,300,log,1186,2,0,287,-174.39733,3364.491,3366.10479,-15.06009,-8.12846
0,2,0,0,1,0.1,0,2137.2777772264353,14.039048221065968,137.01142097600598,True,485,300,log,435,36,11,3,-51.08819,1101.93005,1102.59762,-13.46069,-2.70101
0,2,0,0,1,0.3,0,6414.823297749719,26.131623909069276,239.38898824769169,True,1475,300,log,1348,15,2,110,-178.30976,3351.57807,3341.9048,-88.69953,-11.65029
0,3,0,0,1,0.1,0,2517.4656822119323,152.5255914852114,159.78823069293682,True,485,300,log,339,27,27,92,-25.03759,1274.84191,1275.38877,-5.25012,-2.47729
0,3,0,0,1,0.3,0,7428.876636500339,339.8888630306483,263.1358705199559,True,1475,300,log,1073,61,45,296,-84.96918,3780.68476,3758.9399,-17.35681,-8.42203
0,0,0,2,1,0.1,0,2147.5118660298144,8.267774808296508,138.0858054654953,True,485,300,log,463,2,0,20,-56.84224,1108.79811,1108.06927,-9.05548,-3.45778
0,0,0,2,1,0.3,0,6542.494986874106,10.197400907701194,239.0202196041544,True,1475,300,log,1154,3,0,318,-174.61815,3366.73025,3368.15862,-11.02405,-6.75168
0,1,0,0,1,0.1,0,,,,True,485,300,log,382,5,1,97,-38.97046,1138.98565,1140.90619,,
0,1,0,0,1,0.3,0,,,,True,1475,300,log,1144,10,0,321,-146.14434,3376.32681,3381.31052,,-6.33663
0,2,0,0,1,0.1,0,2139.8918562493495,12.787518327520502,137.10241649563744,True,485,300,log,436,34,10,5,-50.74288,1103.4593,1102.15417,-12.40819,-2.57056
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1364,11,1,99,-177.5517,3287.94335,3340.98989,,-11.44333
0,3,0,0,1,0.1,0,2522.2193315447253,196.19301301228325,156.48810433815086,True,485,300,log,313,33,27,112,-19.65151,1276.81707,1270.33135,-3.26651,-2.01107
0,3,0,0,1,0.3,0,7340.88849475881,268.8208345019657,263.310210168595,True,1475,300,log,1158,56,18,243,-94.48412,3731.74996,3722.04134,-13.4806,-4.93809
0,0,0,2,1,0.1,0,,,,True,485,300,log,408,5,1,71,-33.52341,1138.93729,1140.88831,-5.4319,
0,0,0,2,1,0.3,0,6540.274842588005,10.67176395579554,239.1678307639272,True,1475,300,log,1155,2,0,318,-175.06582,3367.63569,3368.72349,-14.93793,-6.08058
0,1,0,0,1,0.1,0,2183.5798765574295,8.659976312921117,138.58498208806705,True,485,300,log,410,4,0,71,-45.00238,1117.1346,1118.79316,-6.03742,-1.30808
0,1,0,0,1,0.3,0,6523.534717366327,14.617941874384087,238.80879288771573,True,1475,300,log,1207,0,0,268,-174.94097,3358.06973,3364.71192,-14.62662,-9.67935
0,2,0,0,1,0.1,0,2140.5800052093373,12.703148727054213,137.00867755398102,True,485,300,log,448,26,6,5,-51.36188,1103.64482,1101.45638,-10.77027,-2.38904
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1333,28,3,111,-176.5595,3321.43304,3340.60889,,-10.95164
0,3,0,0,1,0.1,0,2537.708509761648,166.52168871653066,155.0904231107397,True,485,300,log,306,44,11,124,-12.77987,1267.48313,1287.96279,-4.06713,-0.89041
0,3,0,0,1,0.3,0,7336.976786818876,354.9562845793798,265.1718630073155,True,1475,300,log,1067,63,45,300,-98.73415,3734.32667,3726.49045,-18.09857,-7.00761
