,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,y0,y1,y2,y3,y4,total_nlpd
0,0.0,0.0,2.0,1.0,0.1,0.7829027498906217,-11.27053385421881,-11.351410620749267,0.07556342195142424,0.11081941896394473,-21.652658884162083
0,0.0,0.0,2.0,1.0,0.3,0.582591044068684,-11.575270764830044,-11.57656951175139,0.05104036008123571,0.046158877727533125,-22.472049994703987
0,1.0,0.0,0.0,1.0,0.1,0.9444180729342442,-11.11388221301734,-11.108409702138214,0.12196290491991124,0.14375147853275538,-21.012159458768643
0,1.0,0.0,0.0,1.0,0.3,0.6059309252450719,-11.559815513791103,-11.565180494386786,0.05940283109810573,0.060117610495562704,-22.399544641339148
0,2.0,0.0,0.0,1.0,0.1,0.7980320884716636,-11.36126998493934,-11.39136450267845,0.1635250783772911,0.10019950390320632,-21.69087781686563
0,2.0,0.0,0.0,1.0,0.3,0.5978831851308617,-11.557289648198525,-11.544111587852964,0.1856104627424831,0.06163519185997248,-22.256272396318167
0,3.0,0.0,0.0,1.0,0.1,0.7138346956205045,81.14969717844765,75.55436563399611,0.19701908228012863,0.16899496723576807,157.78391155758015
0,3.0,0.0,0.0,1.0,0.3,0.4488828554539511,18.59298380927721,16.102328801842948,0.09870265877380975,0.08928915288392536,35.33218727823185
0,0.0,0.0,2.0,1.0,0.1,1.0243602536647929,-10.639397757199015,-10.381402852088213,0.10305581528975062,0.24484390763874705,-19.648540632693937
0,0.0,0.0,2.0,1.0,0.3,0.6135409669386923,-11.557326319644009,-11.560051322016934,0.05870150051628021,0.05453009908293365,-22.390605075123034
0,1.0,0.0,0.0,1.0,0.1,1.2844742188680227,-9.894455394315424,-9.899507718647678,0.16698143661783404,0.18402974126083185,-18.15847771621641
0,1.0,0.0,0.0,1.0,0.3,0.6579253056086418,-11.538043298555648,-11.541096544527568,0.06253688295675058,0.045918736137024845,-22.3127589183808
0,2.0,0.0,0.0,1.0,0.1,0.7974662278244218,-11.414366956282166,-11.369250081762289,0.1524416560115922,0.09922579956251192,-21.734483354645928
0,2.0,0.0,0.0,1.0,0.3,0.6035597107720908,-11.572697459495219,-11.539832527432427,0.2937341346366726,0.06621590360450824,-22.149020237914375
0,3.0,0.0,0.0,1.0,0.1,0.7349512898505048,50.99989112160864,49.42229945238147,0.10937499557145602,0.12537008286289006,101.39188694227497
0,3.0,0.0,0.0,1.0,0.3,0.5114609203342099,2.0020741746397244,-2.607066474071042,0.10329164064841027,0.05065906151387951,0.06041932306518182
0,0.0,0.0,2.0,1.0,0.1,0.8445488787356338,-11.032109410256192,-11.098987930664737,0.14925145156024128,0.17628802785435732,-20.961008982770693
0,0.0,0.0,2.0,1.0,0.3,0.6136563291592547,-11.57570671870479,-11.571764424697536,0.06010442332946739,0.05178814142411737,-22.421922249489487
0,1.0,0.0,0.0,1.0,0.1,1.2529670499849554,-10.855304804277546,-10.910961393505378,0.09847175534197955,0.17766017379309193,-20.237167218662897
0,1.0,0.0,0.0,1.0,0.3,0.6021916139670318,-11.56590946155688,-11.568465119316464,0.05103798548486327,0.049393286413174,-22.431751695008273
0,2.0,0.0,0.0,1.0,0.1,0.7847136572460738,-11.346482119263566,-11.42073260544472,0.14786631125513078,0.10327128926913066,-21.731363466937946
0,2.0,0.0,0.0,1.0,0.3,0.6025978853930769,-11.574315624187244,-11.543971144971161,0.09872415417531612,0.064734264211331,-22.352230465378682
0,3.0,0.0,0.0,1.0,0.1,1.1685842908482273,426.2878575741474,437.52658062185185,0.31940658532526073,0.15768304830949206,865.4601121204822
0,3.0,0.0,0.0,1.0,0.3,0.4533177649662029,-8.808025453363783,-9.105039165969377,0.0959517300129173,0.0795888894354803,-17.284206234918557
0,0.0,0.0,2.0,1.0,0.1,0.8205509805638865,-11.349299977006416,-11.346130090809874,0.08264649566508248,0.1751935921609536,-21.617038999426367
0,0.0,0.0,2.0,1.0,0.3,0.5994924905684761,-11.566946478676634,-11.583397445311467,0.04772773812409139,0.050738001640129496,-22.4523856936554
0,1.0,0.0,0.0,1.0,0.1,0.9255978405664409,-11.188177602203453,-11.199961564484225,0.14417882942668248,0.13557655995557832,-21.182785936738977
0,1.0,0.0,0.0,1.0,0.3,0.6159067671674334,-11.5039886929829,-11.425869828517051,0.07133911880082389,0.058172537435626025,-22.184440098096065
0,2.0,0.0,0.0,1.0,0.1,0.8280447723472639,-11.401337634047232,-11.361569200084398,0.11164913372995482,0.0980725946906903,-21.72514033336372
0,2.0,0.0,0.0,1.0,0.3,0.5927977399228266,-11.50174550852808,-11.547479020051288,0.08797947948011241,0.06281263560291213,-22.30563467357352
0,3.0,0.0,0.0,1.0,0.1,1.2572098029131522,52.65739255473855,45.48701104635157,0.20868518109577122,0.40839571071611275,100.01869429581515
0,3.0,0.0,0.0,1.0,0.3,0.49671903563889636,-11.250260471370437,-11.224839920065898,0.1167943579084365,0.052872717201998834,-21.808714280687003
0,0.0,0.0,2.0,1.0,0.1,0.7438847402436728,-11.355100029947891,-11.368338328600828,0.10461637474219944,0.10884228223703717,-21.76609496132581
