,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4,subset
34,3,0,2,1,0,14624.945846838013,465.0729395560168,370.011319173986,True,2945,300,log,-194.91186,7428.42242,7445.02482,-20.73292,-32.85661,0.6
35,3,0,2,1,0,14575.626404641886,427.7677832605457,369.01469356595726,True,2945,300,log,-215.30321,7424.16486,7426.97995,-27.49465,-32.72055,0.6
36,3,0,2,1,0,14691.203170681238,473.9677786594144,373.4723692944849,True,2945,300,log,-191.03387,7472.80775,7473.36558,-34.12609,-29.81019,0.6
37,3,0,2,1,0,14554.408645861376,489.35535567707245,369.58376296362695,True,2945,300,log,-207.57101,7420.17057,7408.70656,-34.56875,-32.32872,0.6
38,3,0,2,1,0,14483.93334846152,481.15927087312326,371.8642243192708,True,2945,300,log,-191.43611,7358.38128,7375.88598,-22.18943,-36.70837,0.6
39,3,0,2,1,0,14476.680999960354,394.434086930481,369.3945562642572,True,2945,300,log,-219.04171,7391.37246,7394.73516,-48.38156,-42.00335,0.6
40,0,1,2,1,0,13089.469434509629,20.91253094512536,337.5241032337941,False,2945,300,log,-334.64184,6743.10534,6742.55157,-31.79134,-29.75429,0.6
41,0,1,2,1,0,13111.270640280423,18.095300542181256,337.9993819517355,False,2945,300,log,-328.93304,6750.55623,6752.20175,-29.60884,-32.94546,0.6
42,0,1,2,1,0,13136.267761167775,17.908376999770034,338.11525639379613,False,2945,300,log,-313.08362,6753.17948,6757.9983,-35.43799,-26.3884,0.6
43,0,1,2,1,0,13106.129053101316,18.57958597683292,338.1773874198011,False,2945,300,log,-329.67366,6748.14113,6752.37749,-36.07989,-28.63602,0.6
44,0,1,2,1,0,13125.730492725135,18.28440720310677,338.0122796219639,False,2945,300,log,-328.51151,6751.42218,6752.68279,-26.35679,-23.50617,0.6
45,0,1,2,1,0,12971.223359184269,28.73112154936625,336.1953017884516,False,2945,300,log,-362.87245,6700.32219,6710.30742,-38.28405,-38.24975,0.6
46,0,1,2,1,0,13092.587514440793,15.57910176923606,337.9787232633794,True,2945,300,log,-338.79235,6742.60922,6744.17056,-33.37864,-22.02128,0.6
