,test_id,kcid,lmc_prior_code,lengthscale_prior_code,y0,y1,y2,y3,y4,total_nlpd,subset
0,0.0,0.0,2.0,1.0,0.6804669944288171,-11.694919033476284,-11.687406294370184,0.0609007666454658,0.0778335878779318,-22.563123978894247,0.6
1,0.0,0.0,2.0,1.0,0.6735751044157208,-11.690545024060878,-11.68417901109676,0.0683873634967371,0.0677904508228724,-22.56497111642231,0.6
2,0.0,0.0,2.0,1.0,0.662858683513034,-11.678932444441074,-11.68148451683878,0.0607563407095962,0.0834694379484323,-22.55333249910879,0.6
3,0.0,0.0,2.0,1.0,0.6626287323809198,-11.692133904423844,-11.691096964916404,0.0682562630645582,0.0680685903357343,-22.58427728355904,0.6
4,0.0,0.0,2.0,1.0,0.6478178608199568,-11.695953017092076,-11.680179622890998,0.0816154985899647,0.077399222435905,-22.569300058137244,0.6
5,0.0,0.0,2.0,1.0,0.6933448776881509,-11.680259901191912,-11.685665465702815,0.0702902078560997,0.0804259403095338,-22.52186434104094,0.6
6,0.0,0.0,2.0,1.0,0.6888718364321861,-11.66412051569848,-11.658627141766807,0.0908774242971793,0.0782477170448565,-22.464750679691065,0.6
7,0.0,0.0,2.0,1.0,0.6799182698814845,-11.684468187296472,-11.682646804480326,0.0650437684949673,0.069369417820277,-22.55278353558007,0.6
8,0.0,0.0,2.0,1.0,0.6862907578902585,-11.675889798856916,-11.680817593027944,0.0846239205232465,0.0743957040575256,-22.51139700941383,0.6
9,0.0,0.0,2.0,1.0,0.6677539098318539,-11.688853388586825,-11.689085618050733,0.0631826469779312,0.0734394239292379,-22.573563025898533,0.6
10,1.0,0.0,0.0,1.0,0.6900956735096011,-11.691430392557262,-11.690580089846437,0.0632661604588915,0.0629888846171178,-22.56565976381809,0.6
11,1.0,0.0,0.0,1.0,0.6996348770231413,-11.680293177374368,-11.681016379262314,0.0840649253059014,0.0834055304861032,-22.494204223821534,0.6
12,1.0,0.0,0.0,1.0,0.6944752750586288,-11.691537810669464,-11.688232351655053,0.0642650234123841,0.0671093656021639,-22.553920498251337,0.6
13,1.0,0.0,0.0,1.0,0.6869324533715463,-11.657694250689882,-11.651321717593945,0.1212879831116162,0.1005695803410179,-22.40022595145965,0.6
14,1.0,0.0,0.0,1.0,0.6856185865792491,-11.68406790700494,-11.674076665181692,0.0765526643945711,0.0816406546827116,-22.514332666530105,0.6
15,1.0,0.0,0.0,1.0,0.6859565841685347,-11.67879768505794,-11.68698655479214,0.077123718146901,0.0849909470286646,-22.517712990505977,0.6
16,1.0,0.0,0.0,1.0,0.6866463666586649,-11.68720279572367,-11.686271718594494,0.0672312109259918,0.076079825208288,-22.54351711152521,0.6
17,1.0,0.0,0.0,1.0,0.7030818974606845,-11.688107569091985,-11.68173743483566,0.0686453004985696,0.0751955811790664,-22.522922224789323,0.6
18,1.0,0.0,0.0,1.0,0.6926380872843013,-11.663751900674535,-11.6809138326134,0.0643349779881274,0.0694295478149673,-22.518263120200537,0.6
19,1.0,0.0,0.0,1.0,0.7033070539946662,-11.682504277792916,-11.681853400647237,0.060468653722521,0.0725871716989289,-22.52799479902404,0.6
20,2.0,0.0,0.0,1.0,0.6910413071764063,-11.641276745978669,-11.678558996863105,0.058603224980937,0.0675497245497903,-22.502641486134635,0.6
21,2.0,0.0,0.0,1.0,0.7125876508769737,-11.662187286453182,-11.69241584547523,0.1014737915936158,0.0720381224340462,-22.46850356702377,0.6
22,2.0,0.0,0.0,1.0,0.7219749656538827,-11.67500625347199,-11.688800667581106,0.0582276816836966,0.0688194993594325,-22.514784774356084,0.6
23,2.0,0.0,0.0,1.0,0.7320273767002988,-11.672654286951436,-11.676250837866952,0.0485712117860971,0.0679447587159228,-22.500361777616067,0.6
24,2.0,0.0,0.0,1.0,0.7962754443081748,-11.614196736678783,-11.685010060432818,0.071371783517223,0.0684951905383578,-22.36306437874785,0.6
25,2.0,0.0,0.0,1.0,0.7455541780133587,-11.675950074581062,-11.668432063164357,0.0534194311598581,0.0659741694884278,-22.47943435908377,0.6
26,2.0,0.0,0.0,1.0,0.7551880007673081,-11.614171104865008,-11.6865838401496,0.1111132588190378,0.0729218499131123,-22.361531835515148,0.6
27,2.0,0.0,0.0,1.0,0.7590444676426547,-11.66245470502344,-11.68191556305707,0.0752056847162159,0.0714310071163741,-22.438689108605267,0.6
28,2.0,0.0,0.0,1.0,0.7767892652495565,-11.572658689407264,-11.679504516887016,0.0655862419267752,0.0719307989486394,-22.337856900169307,0.6
29,2.0,0.0,0.0,1.0,0.7899911956901529,-11.63927482787038,-11.679871617567784,0.0562857897406012,0.073448622947566,-22.399420837059843,0.6
30,3.0,0.0,2.0,1.0,0.4376031160417969,-12.777032037198948,-12.774801705816165,0.0942875303424974,0.0703065623307945,-24.949636534300023,0.6
31,3.0,0.0,2.0,1.0,0.4035690642244556,-12.861387608996054,-12.857041271691823,0.0783658513088329,0.0715126270456783,-25.16498133810892,0.6
32,3.0,0.0,2.0,1.0,0.4271924849145976,-12.77264050159122,-12.779012627038014,0.0647582177791192,0.0703597269785917,-24.989342698956925,0.6
33,3.0,0.0,2.0,1.0,0.438977450903277,-12.765209678123597,-12.758829617500306,0.0731463597150137,0.0633603711367353,-24.94855511386888,0.6
34,3.0,0.0,2.0,1.0,0.4075614764875903,-12.575887399957494,-12.57458215417201,0.0537676962577096,0.0794568203604964,-24.609683561023708,0.6
35,3.0,0.0,2.0,1.0,0.4123550868434767,-12.838380804126766,-12.83721001387656,0.0692859150240529,0.0670871975582323,-25.126862618577565,0.6
