,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge,subset
0,0.0,0.0,2.0,1.0,85.170476,794.0,0.6
1,0.0,0.0,2.0,1.0,64.012247,604.0,0.6
2,0.0,0.0,2.0,1.0,89.934145,841.0,0.6
3,0.0,0.0,2.0,1.0,76.852564,697.0,0.6
4,0.0,0.0,2.0,1.0,65.389529,620.0,0.6
5,0.0,0.0,2.0,1.0,89.44945,846.0,0.6
6,0.0,0.0,2.0,1.0,93.805544,889.0,0.6
7,0.0,0.0,2.0,1.0,76.481456,735.0,0.6
8,0.0,0.0,2.0,1.0,71.325435,684.0,0.6
9,0.0,0.0,2.0,1.0,112.314895,1000.0,0.6
10,1.0,0.0,0.0,1.0,70.413073,675.0,0.6
11,1.0,0.0,0.0,1.0,85.643491,793.0,0.6
12,1.0,0.0,0.0,1.0,75.528436,721.0,0.6
13,1.0,0.0,0.0,1.0,111.685908,1078.0,0.6
14,1.0,0.0,0.0,1.0,61.08879,595.0,0.6
15,1.0,0.0,0.0,1.0,89.94477,889.0,0.6
16,1.0,0.0,0.0,1.0,71.105805,715.0,0.6
17,1.0,0.0,0.0,1.0,69.188308,684.0,0.6
18,1.0,0.0,0.0,1.0,64.372814,635.0,0.6
19,1.0,0.0,0.0,1.0,70.689143,696.0,0.6
20,2.0,0.0,0.0,1.0,206.940418,2185.0,0.6
21,2.0,0.0,0.0,1.0,171.995728,1779.0,0.6
22,2.0,0.0,0.0,1.0,198.172652,2036.0,0.6
23,2.0,0.0,0.0,1.0,235.085642,2450.0,0.6
24,2.0,0.0,0.0,1.0,198.811475,2007.0,0.6
25,2.0,0.0,0.0,1.0,236.270041,2309.0,0.6
26,2.0,0.0,0.0,1.0,196.084501,2037.0,0.6
27,2.0,0.0,0.0,1.0,256.074785,2202.0,0.6
28,2.0,0.0,0.0,1.0,218.526306,2107.0,0.6
29,2.0,0.0,0.0,1.0,226.260221,2238.0,0.6
30,3.0,0.0,2.0,1.0,30.171648,725.0,0.6
31,3.0,0.0,2.0,1.0,30.442978,725.0,0.6
32,3.0,0.0,2.0,1.0,33.891562,815.0,0.6
33,3.0,0.0,2.0,1.0,29.758837,725.0,0.6
34,3.0,0.0,2.0,1.0,22.709034,547.0,0.6
35,3.0,0.0,2.0,1.0,29.790262,725.0,0.6
36,3.0,0.0,2.0,1.0,29.546668,725.0,0.6
37,3.0,0.0,2.0,1.0,29.615541,722.0,0.6
38,3.0,0.0,2.0,1.0,34.26207,815.0,0.6
39,3.0,0.0,2.0,1.0,33.323819,815.0,0.6
40,0.0,1.0,2.0,1.0,104.115585,889.0,0.6
41,0.0,1.0,2.0,1.0,83.316527,720.0,0.6
42,0.0,1.0,2.0,1.0,103.898919,904.0,0.6
43,0.0,1.0,2.0,1.0,72.876015,627.0,0.6
44,0.0,1.0,2.0,1.0,88.500183,769.0,0.6
45,0.0,1.0,2.0,1.0,97.972444,853.0,0.6
46,0.0,1.0,2.0,1.0,78.75668,684.0,0.6
47,0.0,1.0,2.0,1.0,68.613122,604.0,0.6
48,0.0,1.0,2.0,1.0,77.158293,635.0,0.6
49,0.0,1.0,2.0,1.0,81.013578,697.0,0.6
50,1.0,1.0,0.0,1.0,64.757329,556.0,0.6
51,1.0,1.0,0.0,1.0,84.697715,688.0,0.6
52,1.0,1.0,0.0,1.0,88.776915,721.0,0.6
53,1.0,1.0,0.0,1.0,84.744732,684.0,0.6
54,1.0,1.0,0.0,1.0,75.796867,611.0,0.6
